Mark,Competitor,DOB,Nat,Pos,Venue,Date
30.81,Wayde VAN NIEKERK,15 JUL 1992,RSA,1,"Mestský Stadion, Ostrava (CZE)",28 JUN 2017
30.85,Michael JOHNSON,13 SEP 1967,USA,1,Pretoria (RSA),24 MAR 2000
30.97,Usain BOLT,21 AUG 1986,JAM,1f1,"Mestský Stadion, Ostrava (CZE)",27 MAY 2010
31.03,Wayde VAN NIEKERK,15 JUL 1992,RSA,1,Kingston (JAM),11 JUN 2016
31.23,LaShawn MERRITT,27 JUN 1986,USA,2,Kingston (JAM),11 JUN 2016
31.3,LaShawn MERRITT,27 JUN 1986,USA,1,"Eugene, OR (USA)",07 JUN 2009
31.31,LaShawn MERRITT,27 JUN 1986,USA,1,"Eugene, OR (USA)",08 AUG 2006
31.44,Isaac MAKWALA,24 SEP 1985,BOT,2,"Mestský Stadion, Ostrava (CZE)",28 JUN 2017
31.48,Danny EVERETT,01 NOV 1966,USA,1,Jerez de la Frontera (ESP),03 SEP 1990
31.48,Roberto HERNÁNDEZ,06 MAR 1967,CUB,2,Jerez de la Frontera (ESP),03 SEP 1990
31.52,Steven GARDINER,12 SEP 1995,BAH,1,"Estadio Francisco Montaner, Ponce (PUR)",12 MAY 2022
31.52,Letsile TEBOGO,07 JUN 2003,BOT,1,"Pilditch Stadium, Pretoria (RSA)",18 FEB 2023
31.53,LaShawn MERRITT,27 JUN 1986,USA,1,"Atlanta, GA (USA)",01 AUG 2015
31.56,Michael JOHNSON,13 SEP 1967,USA,1,Salamanca (ESP),22 JUL 1994
31.56,Douglas WALKER,28 JUL 1973,GBR,1,Gateshead (GBR),19 JUL 1998
31.59,Steven GARDINER,12 SEP 1995,BAH,1,"Pista Basilio Rodriguez, Carolina (PUR)",17 MAR 2023
31.61,Anthuan MAYBANK,30 DEC 1969,USA,1,"Durham, NC (USA)",13 JUL 1996
31.61,Clarence MUNYAI,20 FEB 1998,RSA,3,"Mestský Stadion, Ostrava (CZE)",28 JUN 2017
31.63,Wayde VAN NIEKERK,15 JUL 1992,RSA,1,"Alexander Stadium, Birmingham (GBR)",07 JUN 2015
