Mark,Competitor,DOB,Nat,Pos,Venue,Date
2:11.96,Noah NGENY,02 NOV 1978,KEN,1,Rieti (ITA),05 SEP 1999
2:12.18,Sebastian COE,29 SEP 1956,GBR,1,Oslo (NOR),11 JUL 1981
2:12.66,Noah NGENY,02 NOV 1978,KEN,1,Nice (FRA),17 JUL 1999
2:12.88,Steve CRAM,14 OCT 1960,GBR,1,Gateshead (GBR),09 AUG 1985
2:13.08,Taoufik MAKHLOUFI,29 APR 1988,ALG,1,"Stade Raymond Petit, Tomblaine (FRA)",01 JUL 2015
2:13.40,Sebastian COE,29 SEP 1956,GBR,1,Oslo (NOR),01 JUL 1980
2:13.49,Ayanleh SOULEIMAN,03 DEC 1992,DJI,1,"Stade Olympique de la Pontaise, Lausanne (SUI)",25 AUG 2016
2:13.56,Kennedy KIMWETICH,1973,KEN,2,Nice (FRA),17 JUL 1999
2:13.62,Abubaker KAKI,21 JUN 1989,SUD,1,"Hayward Field, Eugene, OR (USA)",03 JUL 2010
2:13.73,Noureddine MORCELI,28 FEB 1970,ALG,1,Villeneuve d'Ascq (FRA),02 JUL 1993
2:13.88,Jake WIGHTMAN,11 JUL 1994,GBR,1,"Stade Louis II, Monaco (MON)",10 AUG 2022
2:13.89,Robert BIWOTT,28 JAN 1996,KEN,2,"Stade Olympique de la Pontaise, Lausanne (SUI)",25 AUG 2016
2:13.9h,Rick WOHLHUTER,23 DEC 1948,USA,1,Oslo (NOR),30 JUL 1974
2:13.93,Abubaker KAKI,21 JUN 1989,SUD,1,Stockholm (SWE),22 JUL 2008
2:13.95,Jonathan KITILIT,24 APR 1994,KEN,3,"Stade Olympique de la Pontaise, Lausanne (SUI)",25 AUG 2016
2:13.96,Mehdi BAALA,17 AUG 1978,FRA,1,Strasbourg (FRA),26 JUN 2003
2:14.09,Joaquim CRUZ,12 MAR 1963,BRA,1,Nice (FRA),20 AUG 1984
2:14.23,Asbel KIPROP,30 JUN 1989,KEN,4,"Stade Olympique de la Pontaise, Lausanne (SUI)",25 AUG 2016
2:14.28,Japheth KIMUTAI,20 DEC 1978,KEN,1,Stockholm (SWE),01 AUG 2000
2:14.30,Marcin LEWANDOWSKI,13 JUN 1987,POL,5,"Stade Olympique de la Pontaise, Lausanne (SUI)",25 AUG 2016
2:14.35,Marco AROP,20 SEP 1998,CAN,2,"Stade Louis II, Monaco (MON)",10 AUG 2022
2:14.41,William YIAMPOY,17 MAY 1974,KEN,2,Rieti (ITA),05 SEP 1999
2:14.43,Laban ROTICH,20 JAN 1969,KEN,1,Nice (FRA),16 JUL 1997
2:14.50,Abdi BILE,28 DEC 1962,SOM,1,Jerez de la Frontera (ESP),13 SEP 1989
2:14.51,Abdi BILE,28 DEC 1962,SOM,1,"Crystal Palace, London (GBR)",14 JUL 1989
2:14.52,Djabir SAID-GUERNI,29 MAR 1977,ALG,3,Rieti (ITA),05 SEP 1999
2:14.53,Willi WÜLBECK,18 DEC 1954,FRG,2,Oslo (NOR),01 JUL 1980
2:14.54,Joaquim CRUZ,12 MAR 1963,BRA,1,"Eugene, OR (USA)",21 JUL 1984
2:14.64,Laban ROTICH,20 JAN 1969,KEN,3,Nice (FRA),17 JUL 1999
2:14.69,El-Mahjoub HAIDA,01 JUL 1970,MAR,1,Nice (FRA),12 JUL 1995
2:14.72,Yusuf Saad KAMEL,29 MAR 1983,BRN,2,Stockholm (SWE),22 JUL 2008
2:14.73,Joseph TENGELEI,08 DEC 1972,KEN,2,Nice (FRA),12 JUL 1995
2:14.73,Patrick KONCHELLAH,20 APR 1968,KEN,2,Stockholm (SWE),01 AUG 2000
2:14.78,Noah NGENY,02 NOV 1978,KEN,1,Nice (FRA),08 JUL 2000
2:14.79,William YIAMPOY,17 MAY 1974,KEN,3,Stockholm (SWE),01 AUG 2000
2:14.83,Boaz Kiplagat LALANG,08 FEB 1989,KEN,2,"Hayward Field, Eugene, OR (USA)",03 JUL 2010
2:14.88,Ferguson Cheruiyot ROTICH,30 NOV 1989,KEN,1,"Olympiastadion, Stockholm (SWE)",10 JUN 2018
2:14.90,Sebastian COE,29 SEP 1956,GBR,1,Haringey (GBR),16 JUL 1986
2:14.95,Sammy KOSKEI,14 MAY 1961,KEN,1,Bruxelles (BEL),30 AUG 1985
2:14.96,Benson KOECH,10 NOV 1974,KEN,2,Nice (FRA),16 JUL 1997
2:14.99,William CHIRCHIR,06 FEB 1979,KEN,4,Nice (FRA),17 JUL 1999
2:14.99,Mehdi BAALA,17 AUG 1978,FRA,1,Villeneuve d'Ascq (FRA),09 JUN 2006
2:15.00,Benjamin KIPKURUI,28 DEC 1980,KEN,5,Nice (FRA),17 JUL 1999
2:15.05,Marko KOERS,03 NOV 1972,NED,3,Nice (FRA),16 JUL 1997
2:15.08,Ilham Tanui ÖZBILEN,05 MAR 1990,TUR,1,"Mestský Stadion, Ostrava (CZE)",17 JUN 2014
2:15.09,Steve CRAM,14 OCT 1960,GBR,1,Edinburgh (GBR),23 JUL 1985
2:15.09,Elkanah Onkware ANGWENYI,05 FEB 1983,KEN,2,Villeneuve d'Ascq (FRA),09 JUN 2006
2:15.11,Joaquim CRUZ,12 MAR 1963,BRA,1,Bern (SUI),16 AUG 1985
2:15.12,Steve CRAM,14 OCT 1960,GBR,1,London (GBR),17 SEP 1982
2:15.16,Saïd AOUITA,02 NOV 1959,MAR,1,London (GBR),28 AUG 1988
2:15.17,El-Mahjoub HAIDA,01 JUL 1970,MAR,1,Stockholm (SWE),05 AUG 1998
2:15.17,Mehdi BAALA,17 AUG 1978,FRA,1,Nancy (FRA),17 SEP 2002
2:15.21,Mehdi BAALA,17 AUG 1978,FRA,1,"Stade Raymond Petit, Tomblaine (FRA)",05 SEP 2006
2:15.23,Rob DRUPPERS,29 APR 1962,NED,1,Utrecht (NED),17 AUG 1985
2:15.23,Belal Mansoor ALI,17 OCT 1988,BRN,1,Stockholm (SWE),07 AUG 2007
2:15.25,Andreas BUSSE,06 MAY 1959,GDR,1,Berlin (GER),31 JUL 1983
2:15.26,Driss MAAZOUZI,15 OCT 1969,FRA,6,Nice (FRA),17 JUL 1999
2:15.28,Joaquim CRUZ,12 MAR 1963,BRA,1,Bern (SUI),29 JUL 1983
2:15.3h,Mike BOIT,06 JAN 1949,KEN,1,Wattenscheid (GER),23 SEP 1977
2:15.31,Amine LAALOU,13 MAY 1982,MAR,1,Rabat (MAR),05 JUN 2011
2:15.31,Pierre-Ambroise BOSSE,11 MAY 1992,FRA,2,"Mestský Stadion, Ostrava (CZE)",17 JUN 2014
2:15.33,Rob DRUPPERS,29 APR 1962,NED,2,Bruxelles (BEL),30 AUG 1985
2:15.39,Laban ROTICH,20 JAN 1969,KEN,2,Stockholm (SWE),05 AUG 1998
2:15.45,Japheth KIMUTAI,20 DEC 1978,KEN,1,Stockholm (SWE),30 JUL 1999
2:15.45,Mehdi BAALA,17 AUG 1978,FRA,2,Nice (FRA),08 JUL 2000
2:15.47,Japheth KIMUTAI,20 DEC 1978,KEN,3,Stockholm (SWE),05 AUG 1998
2:15.47,Mehdi BAALA,17 AUG 1978,FRA,1,Longeville (FRA),02 JUL 2006
2:15.48,Arthémon HATUNGIMANA,21 JAN 1974,BDI,3,Nice (FRA),12 JUL 1995
2:15.5h,Ivo VAN DAMME,21 FEB 1954,BEL,1,Namur (BEL),14 JUL 1976
2:15.50,Yuriy BORZAKOVSKIY,12 APR 1981,RUS,3,Stockholm (SWE),22 JUL 2008
2:15.51,Nadir BOSCH,16 MAY 1973,FRA,7,Nice (FRA),17 JUL 1999
2:15.53,Noah NGENY,02 NOV 1978,KEN,1,Athina (GRE),28 JUN 2000
2:15.55,Noureddine MORCELI,28 FEB 1970,ALG,1,Villeneuve d'Ascq (FRA),17 JUN 1995
2:15.57,James MCILROY,30 DEC 1976,IRL,4,Rieti (ITA),05 SEP 1999
2:15.63,Vénuste NIYONGABO,09 DEC 1973,BDI,1,"Helmántico, Salamanca (ESP)",18 JUL 1995
2:15.63,André BUCHER,19 OCT 1976,SUI,1,Langenthal (SUI),24 MAY 2001
2:15.66,André BUCHER,19 OCT 1976,SUI,1,Langenthal (SUI),13 MAY 1999
2:15.67,Benjamin KIPKURUI,28 DEC 1980,KEN,2,Stockholm (SWE),30 JUL 1999
2:15.72,William CHIRCHIR,06 FEB 1979,KEN,3,Stockholm (SWE),30 JUL 1999
2:15.72,Adam KSZCZOT,02 SEP 1989,POL,1,"Boudewijnstadion, Bruxelles (BEL)",05 SEP 2014
2:15.73,André BUCHER,19 OCT 1976,SUI,1,Langenthal (SUI),02 JUN 2000
2:15.73,Clayton MURPHY,26 FEB 1995,USA,3,"Stade Louis II, Monaco (MON)",10 AUG 2022
2:15.75,Saïd AOUITA,02 NOV 1959,MAR,1,Grosseto (ITA),18 AUG 1983
2:15.75,Mohammed AMAN,10 JAN 1994,ETH,2,"Boudewijnstadion, Bruxelles (BEL)",05 SEP 2014
2:15.76,Andrea BENVENUTI,13 DEC 1969,ITA,1,Nuoro (ITA),12 SEP 1992
2:15.76,Marcin LEWANDOWSKI,13 JUN 1987,POL,2,Rabat (MAR),05 JUN 2011
2:15.77,Steve CRAM,14 OCT 1960,GBR,1,London (GBR),11 JUL 1986
2:15.77,Noah NGENY,02 NOV 1978,KEN,4,Stockholm (SWE),05 AUG 1998
2:15.77,Ayanleh SOULEIMAN,03 DEC 1992,DJI,1,Sollentuna (SWE),05 AUG 2013
2:15.78,Jonathan KITILIT,24 APR 1994,KEN,2,"Stade Raymond Petit, Tomblaine (FRA)",01 JUL 2015
2:15.78,Wyclife KINYAMAL,02 JUL 1997,KEN,4,"Stade Louis II, Monaco (MON)",10 AUG 2022
2:15.79,Marcin LEWANDOWSKI,13 JUN 1987,POL,3,"Boudewijnstadion, Bruxelles (BEL)",05 SEP 2014
2:15.81,Agberto Conceiço GUIMARĂES,18 AUG 1957,BRA,2,Bern (SUI),29 JUL 1983
2:15.81,Robert FARKEN,20 SEP 1997,GER,1,"Nordanlage, Leipzig (GER)",21 JUL 2021
2:15.83,William TANUI,22 FEB 1964,KEN,1,Auckland (NZL),20 JAN 1990
2:15.83,Andrea LONGO,26 JUN 1975,ITA,4,Nice (FRA),16 JUL 1997
2:15.84,Steve CRAM,14 OCT 1960,GBR,1,London (GBR),07 AUG 1982
2:15.86,Steve CRAM,14 OCT 1960,GBR,1,Birmingham (GBR),19 AUG 1986
2:15.86,Mbulaeni MULAUDZI,08 SEP 1980,RSA,2,Stockholm (SWE),07 AUG 2007
2:15.87,Giuseppe D'URSO,15 SEP 1969,ITA,8,Nice (FRA),17 JUL 1999
2:15.87,Mehdi BAALA,17 AUG 1978,FRA,1,Metz (FRA),19 JUN 2000
2:15.89,Juma N'DIWA,28 NOV 1960,KEN,3,Bruxelles (BEL),30 AUG 1985
2:15.89,Abdi BILE,28 DEC 1962,SOM,1,Edinburgh (GBR),06 JUL 1990
2:15.89,Vincent MALAKWEN,19 JUL 1974,KEN,1,Sarajevo (BIH),09 SEP 1996
2:15.89,Driss MAAZOUZI,15 OCT 1969,FRA,5,Stockholm (SWE),05 AUG 1998
2:15.91,Steve OVETT,09 OCT 1955,GBR,1,Koblenz (GER),06 SEP 1979
2:15.91,Vénuste NIYONGABO,09 DEC 1973,BDI,1,Madrid (ESP),06 SEP 1994
2:15.91,Patrick KONCHELLAH,20 APR 1968,KEN,2,Athina (GRE),28 JUN 2000
2:15.91,William CHIRCHIR,06 FEB 1979,KEN,4,Stockholm (SWE),01 AUG 2000
2:15.97,David KRUMMENACKER,24 MAY 1975,USA,1,"Portland, OR (USA)",18 MAY 2002
2:15.97,Geoffrey Kipkoech RONO,21 APR 1987,KEN,4,Stockholm (SWE),22 JUL 2008
2:15.98,Mike BOIT,06 JAN 1949,KEN,1,Nice (FRA),20 AUG 1978
2:15.98,Steve CRAM,14 OCT 1960,GBR,1,Loughborough (GBR),17 JUN 1984
2:15.99,Jesús GÓMEZ,24 APR 1991,ESP,1,"Estadio Enrique Lopez Cuenca, Nerja (ESP)",12 MAY 2021
2:15.99,Bryce HOPPEL,05 SEP 1997,USA,5,"Stade Louis II, Monaco (MON)",10 AUG 2022
2:16.0h,Danie MALAN,26 JUN 1950,RSA,1,München (GER),24 JUN 1973
2:16.0h,Vladimir MALOZYEMLIN,26 JAN 1956,URS,1,Kiev (URS),10 JUN 1981
2:16.0h,Vladimir MALOZYEMLIN,26 JAN 1956,URS,1,Kiev (URS),27 JUN 1981
2:16.0h,Joaquim CRUZ,12 MAR 1963,BRA,1,Paris (FRA),13 JUL 1985
2:16.01,Andrea LONGO,26 JUN 1975,ITA,4,Stockholm (SWE),30 JUL 1999
2:16.03,Mike BOIT,06 JAN 1949,KEN,1,Nice (FRA),23 AUG 1981
2:16.08,Ayanleh SOULEIMAN,03 DEC 1992,DJI,1,"Bregyó Athletic Center, Székesfehérvár (HUN)",02 JUL 2018
2:16.09,Jeffrey RISELEY,11 NOV 1986,AUS,3,"Mestský Stadion, Ostrava (CZE)",17 JUN 2014
2:16.1h,Tom BYERS,12 MAY 1955,USA,1,København (DEN),06 AUG 1981
2:16.13,Fermín CACHO,16 FEB 1969,ESP,1,Andújar (ESP),06 SEP 1993
2:16.13,Tarek BOUKENSA,19 NOV 1981,ALG,3,Villeneuve d'Ascq (FRA),09 JUN 2006
2:16.14,Mike BOIT,06 JAN 1949,KEN,2,Koblenz (GER),06 SEP 1979
2:16.14,Japheth KIMUTAI,20 DEC 1978,KEN,2,"Portland, OR (USA)",18 MAY 2002
2:16.17,Nicholas Kiplangat KIPKOECH,22 OCT 1992,KEN,2,"Bregyó Athletic Center, Székesfehérvár (HUN)",02 JUL 2018
2:16.18,Bernard LAGAT,12 DEC 1974,USA,1,"International Stadium, Gateshead (GBR)",31 AUG 2008
2:16.19,Giuseppe D'URSO,15 SEP 1969,ITA,2,Villeneuve d'Ascq (FRA),02 JUL 1993
2:16.19,Timothy KIPTANUI,05 JAN 1980,KEN,1,Rethymno (GRE),06 JUL 2003
