Mark,Competitor,DOB,Nat,Pos,Venue,Date
2:21:31,Vladimir KANAYKIN,21 MAR 1985,RUS,1.0,"Adler, Sochi (RUS)",19 FEB 2006
2:22:55,Xianghong HE,01 JUL 1998,CHN,1.0,Huangshan (CHN),04 MAR 2023
2:23:13,Tomohiro NODA,24 JAN 1996,JPN,1.0,"Wajima Race Walk Course, Wajima (JPN)",16 APR 2023
2:23:14,Massimo STANO,27 FEB 1992,ITA,1.0,"Autzen Complex, Eugene, OR (USA)",24 JUL 2022
2:23:15,Masatora KAWANO,23 OCT 1998,JPN,2.0,"Autzen Complex, Eugene, OR (USA)",24 JUL 2022
2:23:44,Perseus KARLSTRÖM,02 MAY 1990,SWE,3.0,"Autzen Complex, Eugene, OR (USA)",24 JUL 2022
2:24:19,Sergey KOZHEVNIKOV,09 MAY 2001,RUS,1.0,"Avtodrom, Sochi (RUS)",13 FEB 2023
2:24:25,Sergey BAKULIN,13 NOV 1986,RUS,1.0,"Adler, Sochi (RUS)",01 MAR 2009
2:24:37,Brian Daniel PINTADO,29 JUL 1995,ECU,4.0,"Autzen Complex, Eugene, OR (USA)",24 JUL 2022
2:24:45,Xianghong HE,01 JUL 1998,CHN,5.0,"Autzen Complex, Eugene, OR (USA)",24 JUL 2022
2:24:53,Sergey BAKULIN,13 NOV 1986,RUS,1.0,Sochi (RUS),19 FEB 2018
2:24:56,Denis NIZHEGORODOV,26 JUL 1980,RUS,2.0,"Adler, Sochi (RUS)",01 MAR 2009
2:25:02,Evan DUNFEE,28 SEP 1990,CAN,6.0,"Autzen Complex, Eugene, OR (USA)",24 JUL 2022
2:25:14,Caio BONFIM,19 MAR 1991,BRA,7.0,"Autzen Complex, Eugene, OR (USA)",24 JUL 2022
2:25:19,Andrey RUZAVIN,28 MAR 1986,RUS,3.0,"Adler, Sochi (RUS)",01 MAR 2009
2:25:21,Eider ARÉVALO,09 MAR 1993,COL,8.0,"Autzen Complex, Eugene, OR (USA)",24 JUL 2022
2:25:29,Tomohiro NODA,24 JAN 1996,JPN,9.0,"Autzen Complex, Eugene, OR (USA)",24 JUL 2022
2:25:35,Álvaro MARTÍN,18 JUN 1994,ESP,1.0,Poděbrady (CZE),21 MAY 2023
2:25:49,Satoshi MARUO,28 NOV 1991,JPN,2.0,"Wajima Race Walk Course, Wajima (JPN)",16 APR 2023
2:25:58,Mikhail RYZHOV,17 DEC 1991,RUS,1.0,Sochi (RUS),18 FEB 2012
2:25:58,Miguel Ángel LÓPEZ,03 JUL 1988,ESP,10.0,"Autzen Complex, Eugene, OR (USA)",24 JUL 2022
2:25:59,Vladimir KANAYKIN,21 MAR 1985,RUS,1.0,"Adler, Sochi (RUS)",23 FEB 2008
2:26:10,Qin WANG,08 MAY 1994,CHN,2.0,Huangshan (CHN),04 MAR 2023
2:26:16,Alex SCHWAZER,26 NOV 1984,ITA,1.0,Montalto di Castro (ITA),24 JAN 2010
2:26:18,Toshikazu YAMANISHI,15 FEB 1996,JPN,1.0,Takahata (JPN),23 OCT 2022
2:26:29,Yuriy ANDRONOV,06 NOV 1971,RUS,4.0,"Adler, Sochi (RUS)",01 MAR 2009
2:26:32,Ivan NOSKOV,16 JUL 1988,RUS,2.0,Sochi (RUS),18 FEB 2012
2:26:37,José Luis DOCTOR,14 JUN 1996,MEX,1.0,Dudince (SVK),25 MAR 2023
2:26:40,Masatora KAWANO,23 OCT 1998,JPN,1.0,Wajima (JPN),17 APR 2022
2:26:40,Sergey KOZHEVNIKOV,09 MAY 2001,RUS,1.0,"Yelena Yelesina Stadium, Chelyabinsk (RUS)",27 AUG 2022
2:26:49,Miguel Ángel LÓPEZ,03 JUL 1988,ESP,1.0,"Odeonplatz, München (GER)",16 AUG 2022
2:26:51,Masatora KAWANO,23 OCT 1998,JPN,3.0,"Wajima Race Walk Course, Wajima (JPN)",16 APR 2023
2:27:05,Christopher LINKE,24 OCT 1988,GER,2.0,Poděbrady (CZE),21 MAY 2023
2:27:07,Sergey SHARYPOV,14 APR 1992,RUS,1.0,Sochi (RUS),18 FEB 2017
2:27:08,Denis NIZHEGORODOV,26 JUL 1980,RUS,1.0,Sochi (RUS),26 FEB 2011
2:27:09,Daisuke MATSUNAGA,24 MAR 1995,JPN,2.0,Wajima (JPN),17 APR 2022
2:27:11,Ricardo ORTIZ,07 FEB 1995,MEX,11.0,"Autzen Complex, Eugene, OR (USA)",24 JUL 2022
2:27:12,Igor YEROKHIN,04 SEP 1985,RUS,2.0,"Adler, Sochi (RUS)",23 FEB 2008
2:27:16,Sergey KOZHEVNIKOV,09 MAY 2001,RUS,1.0,Sochi (RUS),31 JAN 2022
2:27:18,Tomohiro NODA,24 JAN 1996,JPN,3.0,Wajima (JPN),17 APR 2022
2:27:22,Sergey KIRDYAPKIN,18 JUN 1980,RUS,5.0,"Adler, Sochi (RUS)",01 MAR 2009
2:27:26,Dementiy CHEPAREV,28 OCT 1992,RUS,1.0,Sochi (RUS),17 FEB 2020
2:27:29,Sergey KOZHEVNIKOV,09 MAY 2001,RUS,1.0,Cheboksary (RUS),21 MAY 2022
2:27:30,Caio BONFIM,19 MAR 1991,BRA,2.0,Dudince (SVK),25 MAR 2023
2:27:33,Satoshi MARUO,28 NOV 1991,JPN,2.0,Takahata (JPN),23 OCT 2022
2:27:33,Miguel Ángel LÓPEZ,03 JUL 1988,ESP,3.0,Poděbrady (CZE),21 MAY 2023
2:27:33,Rhydian COWLEY,04 JAN 1991,AUS,1.0,"Albert Park, Melbourne (AUS)",21 MAY 2023
2:27:41,Kirill FROLOV,29 SEP 1993,RUS,2.0,Sochi (RUS),17 FEB 2020
2:27:42,Sergey BAKULIN,13 NOV 1986,RUS,1.0,Sochi (RUS),20 FEB 2010
2:27:48,Aleksandr GARIN,28 DEC 1999,RUS,2.0,Cheboksary (RUS),21 MAY 2022
2:27:50,Aleksey BARTSAYKIN,22 MAR 1989,RUS,3.0,Sochi (RUS),18 FEB 2012
2:27:52,Denis STRELKOV,26 OCT 1990,RUS,2.0,Sochi (RUS),26 FEB 2011
2:27:52,Sergey KOZHEVNIKOV,09 MAY 2001,RUS,1.0,Saransk (RUS),20 MAY 2023
2:27:53,Miguel Ángel LÓPEZ,03 JUL 1988,ESP,1.0,Lepe (ESP),30 JAN 2022
2:27:55,Ever Jair PALMA OLIVARES,18 MAR 1992,MEX,12.0,"Autzen Complex, Eugene, OR (USA)",24 JUL 2022
2:27:59,Andrey RUZAVIN,28 MAR 1986,RUS,3.0,"Adler, Sochi (RUS)",23 FEB 2008
2:28:00,Denis NIZHEGORODOV,26 JUL 1980,RUS,4.0,"Adler, Sochi (RUS)",23 FEB 2008
2:28:00,Dementiy CHEPAREV,28 OCT 1992,RUS,2.0,Sochi (RUS),18 FEB 2017
2:28:10,Alex SCHWAZER,26 NOV 1984,ITA,1.0,Latina (ITA),29 JAN 2012
2:28:11,Yuriy ANDRONOV,06 NOV 1971,RUS,4.0,Sochi (RUS),18 FEB 2012
2:28:14,Sergey SHARYPOV,14 APR 1992,RUS,3.0,Sochi (RUS),17 FEB 2020
2:28:16,Álvaro MARTÍN,18 JUN 1994,ESP,1.0,Cieza (ESP),26 FEB 2023
2:28:17,Andrey RUZAVIN,28 MAR 1986,RUS,3.0,Sochi (RUS),26 FEB 2011
2:28:19,Aleksandr GARIN,28 DEC 1999,RUS,2.0,"Yelena Yelesina Stadium, Chelyabinsk (RUS)",27 AUG 2022
