Mark,Competitor,DOB,Nat,Pos,Venue,Date
12:48.25,Kenenisa BEKELE,13 JUN 1982,ETH,1,Zürich (SUI),18 AUG 2006
12:48.45,Jakob INGEBRIGTSEN,19 SEP 2000,NOR,1,"Stadio Luigi Ridolfi, Firenze (ITA)",10 JUN 2021
12:48.63,Jacob KIPLIMO,14 NOV 2000,UGA,1,"Mestský Stadion, Ostrava (CZE)",08 SEP 2020
12:48.64,Isiah Kiplangat KOECH,19 DEC 1993,KEN,3,Paris (FRA),06 JUL 2012
12:48.66,Isaac Kiprono SONGOK,25 APR 1984,KEN,2,Zürich (SUI),18 AUG 2006
12:48.77,Yenew ALAMIREW,27 MAY 1990,ETH,4,Paris (FRA),06 JUL 2012
12:48.81,Stephen CHERONO,15 OCT 1982,KEN,1,Ostrava (CZE),12 JUN 2003
12:48.98,Daniel KOMEN,17 MAY 1976,KEN,1,"Stadio Olimpico, Roma (ITA)",05 JUN 1997
12:49.02,Hagos GEBRHIWET,11 MAY 1994,ETH,2,"Stadio Luigi Ridolfi, Firenze (ITA)",10 JUN 2021
12:49.04,Thomas Pkemei LONGOSIWA,14 JAN 1982,KEN,5,Paris (FRA),06 JUL 2012
12:49.08,Selemon BAREGA,20 JAN 2000,ETH,2,"Mestský Stadion, Ostrava (CZE)",08 SEP 2020
12:49.28,Brahim LAHLAFI,15 APR 1968,MAR,1,Bruxelles (BEL),25 AUG 2000
12:49.50,John KIPKOECH,29 DEC 1991,KEN,6,Paris (FRA),06 JUL 2012
12:49.53,Kenenisa BEKELE,13 JUN 1982,ETH,1,Zaragoza (ESP),28 JUL 2007
12:49.64,Haile GEBRSELASSIE,18 APR 1973,ETH,1,Zürich (SUI),11 AUG 1999
12:49.71,Mohammed MOURHIT,10 OCT 1970,BEL,2,Bruxelles (BEL),25 AUG 2000
12:49.80,Hagos GEBRHIWET,11 MAY 1994,ETH,3,"Stade Olympique de la Pontaise, Lausanne (SUI)",30 JUN 2023
12:49.81,Telahun Haile BEKELE,13 MAY 1999,ETH,4,"Stade Olympique de la Pontaise, Lausanne (SUI)",30 JUN 2023
12:49.87,Paul TERGAT,17 JUN 1969,KEN,3,Zürich (SUI),13 AUG 1997
12:50.05,Berihu AREGAWI,28 FEB 2001,ETH,1,"Hayward Field, Eugene, OR (USA)",28 MAY 2022
12:50.12,Mohammed AHMED,05 JAN 1991,CAN,3,"Stadio Luigi Ridolfi, Firenze (ITA)",10 JUN 2021
12:50.16,Sileshi SIHINE,29 JAN 1983,ETH,1,"Boudewijnstadion, Bruxelles (BEL)",14 SEP 2007
12:50.18,Kenenisa BEKELE,13 JUN 1982,ETH,1,"Letzigrund, Zürich (SUI)",29 AUG 2008
12:50.22,Eliud KIPCHOGE,05 NOV 1984,KEN,1,"Boudewijnstadion, Bruxelles (BEL)",26 AUG 2005
12:50.24,Hicham EL GUERROUJ,14 SEP 1974,MAR,2,Ostrava (CZE),12 JUN 2003
12:50.25,Abderrahim GOUMRI,21 MAY 1976,MAR,2,"Boudewijnstadion, Bruxelles (BEL)",26 AUG 2005
12:50.38,Eliud KIPCHOGE,05 NOV 1984,KEN,2,"Boudewijnstadion, Bruxelles (BEL)",14 SEP 2007
12:50.55,Moses Ndiema MASAI,01 JUN 1986,KEN,1,"Olympiastadion, Berlin (GER)",01 JUN 2008
12:50.72,Moses Ndiema KIPSIRO,02 SEP 1986,UGA,3,"Boudewijnstadion, Bruxelles (BEL)",14 SEP 2007
12:50.79,Mohamed KATIR,17 FEB 1998,ESP,4,"Stadio Luigi Ridolfi, Firenze (ITA)",10 JUN 2021
12:50.80,Salah HISSOU,16 JAN 1972,MAR,1,Roma (ITA),05 JUN 1996
12:50.86,Ali SAIDI-SIEF,15 MAR 1978,ALG,1,"Stadio Olimpico, Roma (ITA)",30 JUN 2000
12:50.97,Nicholas KIPKORIR,29 SEP 1998,KEN,3,"Boudewijnstadion, Bruxelles (BEL)",02 SEP 2022
12:51.00,Joseph EBUYA,20 JUN 1987,KEN,4,"Boudewijnstadion, Bruxelles (BEL)",14 SEP 2007
12:51.21,Eliud KIPCHOGE,05 NOV 1984,KEN,1,"Suhaim bin Hamad Stadium, Doha (QAT)",14 MAY 2010
12:51.32,Kenenisa BEKELE,13 JUN 1982,ETH,1,Paris (FRA),08 JUL 2006
12:51.34,Edwin Cheruiyot SOI,03 MAR 1986,KEN,1,"Stade Louis II, Monaco (MON)",19 JUL 2013
12:51.44,Kenenisa BEKELE,13 JUN 1982,ETH,1,"Stadio Olimpico, Roma (ITA)",14 JUL 2006
12:51.45,Vincent Kiprop CHEPKOK,05 JUL 1988,KEN,2,"Suhaim bin Hamad Stadium, Doha (QAT)",14 MAY 2010
12:51.60,Daniel KOMEN,17 MAY 1976,KEN,1,Stockholm (SWE),08 JUL 1996
12:51.78,Nicholas KIPKORIR,29 SEP 1998,KEN,2,"Stade Louis II, Monaco (MON)",14 AUG 2020
12:51.93,Justyn KNIGHT,19 JUL 1996,CAN,5,"Stadio Luigi Ridolfi, Firenze (ITA)",10 JUN 2021
12:51.95,Thomas Pkemei LONGOSIWA,14 JAN 1982,KEN,5,"Boudewijnstadion, Bruxelles (BEL)",14 SEP 2007
12:51.96,Albert ROP,17 JUL 1992,BRN,2,"Stade Louis II, Monaco (MON)",19 JUL 2013
12:51.98,Saif Saaeed SHAHEEN,15 OCT 1982,QAT,2,"Stadio Olimpico, Roma (ITA)",14 JUL 2006
12:52.09,Mohamed KATIR,17 FEB 1998,ESP,1,"Stadio Luigi Ridolfi, Firenze (ITA)",02 JUN 2023
12:52.10,Yomif KEJELCHA,01 AUG 1997,ETH,3,"Stadio Olimpico, Roma (ITA)",09 JUN 2022
12:52.12,Yomif KEJELCHA,01 AUG 1997,ETH,2,"Stadio Luigi Ridolfi, Firenze (ITA)",02 JUN 2023
12:52.15,Domnic Lokinyomo LOBALU,16 AUG 1998,SSD,4,"Boudewijnstadion, Bruxelles (BEL)",02 SEP 2022
12:52.26,Kenenisa BEKELE,13 JUN 1982,ETH,1,Oslo (NOR),27 JUN 2003
12:52.29,Isaac Kiprono SONGOK,25 APR 1984,KEN,1,"Stadio Olimpico, Roma (ITA)",08 JUL 2005
12:52.32,Kenenisa BEKELE,13 JUN 1982,ETH,1,"Letzigrund, Zürich (SUI)",28 AUG 2009
12:52.33,Sammy KIPKETER,29 SEP 1981,KEN,2,Oslo (NOR),27 JUN 2003
12:52.38,Daniel KOMEN,17 MAY 1976,KEN,1,"Arena Civica, Milano (ITA)",07 SEP 1996
12:52.39,Salah HISSOU,16 JAN 1972,MAR,2,"Stadio Olimpico, Roma (ITA)",05 JUN 1997
12:52.39,Isaac Kiprono SONGOK,25 APR 1984,KEN,3,"Stadio Olimpico, Roma (ITA)",14 JUL 2006
12:52.40,Edwin Cheruiyot SOI,03 MAR 1986,KEN,2,Paris (FRA),08 JUL 2006
12:52.45,Tariku BEKELE,28 FEB 1987,ETH,2,"Olympiastadion, Berlin (GER)",01 JUN 2008
12:52.53,Salah HISSOU,16 JAN 1972,MAR,1,Milano (ITA),09 JUN 1999
12:52.61,Eliud KIPCHOGE,05 NOV 1984,KEN,3,Oslo (NOR),27 JUN 2003
12:52.70,Haile GEBRSELASSIE,18 APR 1973,ETH,2,Zürich (SUI),14 AUG 1996
12:52.76,Eliud KIPCHOGE,05 NOV 1984,KEN,2,"Stadio Olimpico, Roma (ITA)",08 JUL 2005
12:52.79,Eliud KIPCHOGE,05 NOV 1984,KEN,1,"Stade de France, Paris-St-Denis (FRA)",31 AUG 2003
12:52.80,Gebregziabher GEBREMARIAM,12 OCT 1984,ETH,3,"Stadio Olimpico, Roma (ITA)",08 JUL 2005
12:52.83,Hicham EL GUERROUJ,14 SEP 1974,MAR,2,"Stade de France, Paris-St-Denis (FRA)",31 AUG 2003
12:52.97,Luis GRIJALVA,10 APR 1999,GUA,3,"Stadio Luigi Ridolfi, Firenze (ITA)",02 JUN 2023
12:52.98,Telahun Haile BEKELE,13 MAY 1999,ETH,1,"Stadio Olimpico, Roma (ITA)",06 JUN 2019
12:52.99,Abraham CHEBII,23 DEC 1979,KEN,4,Oslo (NOR),27 JUN 2003
12:53.04,Selemon BAREGA,20 JAN 2000,ETH,2,"Stadio Olimpico, Roma (ITA)",06 JUN 2019
12:53.11,Mo FARAH,23 MAR 1983,GBR,1,"Stade Louis II, Monaco (MON)",22 JUL 2011
12:53.12,Kenenisa BEKELE,13 JUN 1982,ETH,3,"Stade de France, Paris-St-Denis (FRA)",31 AUG 2003
12:53.19,Haile GEBRSELASSIE,18 APR 1973,ETH,1,"Olympiastadion, Berlin (GER)",01 SEP 1995
12:53.28,Getnet WALE,16 JUL 2000,ETH,1,"FBK Stadium, Hengelo (NED)",08 JUN 2021
12:53.37,Abraham CHEBII,23 DEC 1979,KEN,1,Paris (FRA),04 JUL 2003
12:53.41,Khalid BOULAMI,07 AUG 1969,MAR,4,Zürich (SUI),13 AUG 1997
12:53.45,Salah HISSOU,16 JAN 1972,MAR,2,Zürich (SUI),11 AUG 1999
12:53.46,Mark Kosgei KIPTOO,21 JUN 1976,KEN,1,"Olympiastadion, Stockholm (SWE)",06 AUG 2010
12:53.56,Dejen GEBREMESKEL,24 NOV 1989,ETH,2,"Olympiastadion, Stockholm (SWE)",06 AUG 2010
12:53.58,Imane MERGA,15 OCT 1988,ETH,3,"Olympiastadion, Stockholm (SWE)",06 AUG 2010
12:53.60,Bernard LAGAT,12 DEC 1974,USA,2,"Stade Louis II, Monaco (MON)",22 JUL 2011
12:53.66,Augustine Kiprono CHOGE,21 JAN 1987,KEN,4,"Stadio Olimpico, Roma (ITA)",08 JUL 2005
12:53.72,Philip MOSIMA,02 JAN 1977,KEN,2,Roma (ITA),05 JUN 1996
12:53.81,Tariku BEKELE,28 FEB 1987,ETH,4,"Stadio Olimpico, Roma (ITA)",14 JUL 2006
12:53.81,Imane MERGA,15 OCT 1988,ETH,1,"Bislett Stadion, Oslo (NOR)",04 JUN 2010
12:53.81,Joshua CHEPTEGEI,12 SEP 1996,UGA,4,"Stadio Luigi Ridolfi, Firenze (ITA)",02 JUN 2023
12:53.84,Assefa MEZGEBU,19 JUN 1978,ETH,1,Bruxelles (BEL),28 AUG 1998
12:53.92,Haile GEBRSELASSIE,18 APR 1973,ETH,1,Oslo (NOR),30 JUN 1999
12:53.97,Tariku BEKELE,28 FEB 1987,ETH,2,"Bislett Stadion, Oslo (NOR)",04 JUN 2010
12:53.98,Yomif KEJELCHA,01 AUG 1997,ETH,1,"Boudewijnstadion, Bruxelles (BEL)",11 SEP 2015
12:54.07,Sammy KIPKETER,29 SEP 1981,KEN,2,"Stadio Olimpico, Roma (ITA)",30 JUN 2000
12:54.07,John Kemboi KIBOWEN,21 APR 1969,KEN,4,"Stade de France, Paris-St-Denis (FRA)",31 AUG 2003
12:54.08,Haile GEBRSELASSIE,18 APR 1973,ETH,1,Zürich (SUI),12 AUG 1998
12:54.12,Bernard LAGAT,12 DEC 1974,USA,3,"Bislett Stadion, Oslo (NOR)",04 JUN 2010
12:54.13,Tariku BEKELE,28 FEB 1987,ETH,7,Paris (FRA),06 JUL 2012
12:54.15,Dejene BIRHANU,12 DEC 1980,ETH,3,"Stadio Olimpico, Roma (ITA)",02 JUL 2004
12:54.18,Isiah Kiplangat KOECH,19 DEC 1993,KEN,3,"Stade Louis II, Monaco (MON)",22 JUL 2011
12:54.19,Abraham CHERKOS,23 SEP 1989,ETH,5,"Stadio Olimpico, Roma (ITA)",14 JUL 2006
12:54.21,Imane MERGA,15 OCT 1988,ETH,1,"Stadio Olimpico, Roma (ITA)",26 MAY 2011
12:54.22,Nibret MELAK,09 OCT 1999,ETH,2,"FBK Stadium, Hengelo (NED)",08 JUN 2021
12:54.31,Telahun Haile BEKELE,13 MAY 1999,ETH,5,"Stadio Luigi Ridolfi, Firenze (ITA)",02 JUN 2023
12:54.36,Haile GEBRSELASSIE,18 APR 1973,ETH,2,Paris (FRA),04 JUL 2003
12:54.36,Eliud KIPCHOGE,05 NOV 1984,KEN,4,"Olympiastadion, Stockholm (SWE)",06 AUG 2010
12:54.40,William KINCAID,21 SEP 1992,USA,6,"Stadio Luigi Ridolfi, Firenze (ITA)",02 JUN 2023
12:54.46,Moses MOSOP,07 JUL 1985,KEN,3,Paris (FRA),08 JUL 2006
12:54.58,James Kwalia C'KURUI,12 JUN 1984,KEN,5,Oslo (NOR),27 JUN 2003
12:54.59,Isiah Kiplangat KOECH,19 DEC 1993,KEN,2,"Stadio Olimpico, Roma (ITA)",26 MAY 2011
12:54.60,Haile GEBRSELASSIE,18 APR 1973,ETH,1,Nürnberg (GER),13 JUN 1997
12:54.69,Joshua CHEPTEGEI,12 SEP 1996,UGA,6,"Stadio Luigi Ridolfi, Firenze (ITA)",10 JUN 2021
12:54.70,Dieter BAUMANN,09 FEB 1965,GER,5,Zürich (SUI),13 AUG 1997
12:54.70,Moses Ndiema KIPSIRO,02 SEP 1986,UGA,3,"Olympiastadion, Berlin (GER)",01 JUN 2008
12:54.70,Hagos GEBRHIWET,11 MAY 1994,ETH,2,"Boudewijnstadion, Bruxelles (BEL)",11 SEP 2015
12:54.72,Paul TERGAT,17 JUN 1969,KEN,3,Zürich (SUI),14 AUG 1996
12:54.82,Daniel KOMEN,17 MAY 1976,KEN,2,Bruxelles (BEL),28 AUG 1998
12:54.83,Salah HISSOU,16 JAN 1972,MAR,2,"Arena Civica, Milano (ITA)",07 SEP 1996
12:54.83,Muktar EDRIS,14 JAN 1994,ETH,1,"Olympiastadion, Stockholm (SWE)",21 AUG 2014
12:54.85,Moses KIPTANUI,01 OCT 1970,KEN,3,Roma (ITA),05 JUN 1996
12:54.87,Selemon BAREGA,20 JAN 2000,ETH,4,"Stadio Olimpico, Roma (ITA)",09 JUN 2022
12:54.90,Daniel Simiu EBENYO,18 SEP 1995,KEN,5,"Boudewijnstadion, Bruxelles (BEL)",02 SEP 2022
12:54.92,Hagos GEBRHIWET,11 MAY 1994,ETH,3,"Stadio Olimpico, Roma (ITA)",06 JUN 2019
12:54.94,Eliud KIPCHOGE,05 NOV 1984,KEN,6,"Stadio Olimpico, Roma (ITA)",14 JUL 2006
12:54.95,Yenew ALAMIREW,27 MAY 1990,ETH,1,"Stadio Olimpico, Roma (ITA)",06 JUN 2013
12:54.99,Benjamin LIMO,23 AUG 1974,KEN,3,Paris (FRA),04 JUL 2003
12:55.03,Sammy KIPKETER,29 SEP 1981,KEN,1,"Bislett Stadion, Oslo (NOR)",28 JUL 2000
12:55.03,Edwin Cheruiyot SOI,03 MAR 1986,KEN,2,"Letzigrund, Zürich (SUI)",28 AUG 2009
12:55.03,Tariku BEKELE,28 FEB 1987,ETH,1,"Letzigrund, Zürich (SUI)",19 AUG 2010
12:55.06,Lucas Kimeli ROTICH,16 APR 1990,KEN,4,"Bislett Stadion, Oslo (NOR)",04 JUN 2010
12:55.14,Haile GEBRSELASSIE,18 APR 1973,ETH,1,"Olympiastadion, Berlin (GER)",26 AUG 1997
12:55.16,Daniel KOMEN,17 MAY 1976,KEN,1,"Stadio Olimpico, Roma (ITA)",07 JUL 1999
12:55.16,Joe KLECKER,16 NOV 1996,USA,7,"Stadio Luigi Ridolfi, Firenze (ITA)",02 JUN 2023
12:55.18,Daniel KOMEN,17 MAY 1976,KEN,2,Milano (ITA),09 JUN 1999
12:55.18,Paul TERGAT,17 JUN 1969,KEN,3,"Stadio Olimpico, Roma (ITA)",30 JUN 2000
12:55.18,Muktar EDRIS,14 JAN 1994,ETH,4,"Boudewijnstadion, Bruxelles (BEL)",31 AUG 2018
12:55.23,Muktar EDRIS,14 JAN 1994,ETH,1,"Stade Olympique de la Pontaise, Lausanne (SUI)",06 JUL 2017
12:55.26,Benjamin LIMO,23 AUG 1974,KEN,3,"Boudewijnstadion, Bruxelles (BEL)",26 AUG 2005
12:55.29,Vincent Kiprop CHEPKOK,05 JUL 1988,KEN,3,"Stadio Olimpico, Roma (ITA)",26 MAY 2011
12:55.30,Moses KIPTANUI,01 OCT 1970,KEN,1,"Stadio Olimpico, Roma (ITA)",08 JUN 1995
12:55.31,Kenenisa BEKELE,13 JUN 1982,ETH,1,"Boudewijnstadion, Bruxelles (BEL)",04 SEP 2009
12:55.34,Eliud KIPCHOGE,05 NOV 1984,KEN,8,Paris (FRA),06 JUL 2012
12:55.37,Paul TERGAT,17 JUN 1969,KEN,2,"Stadio Olimpico, Roma (ITA)",07 JUL 1999
12:55.39,Salah HISSOU,16 JAN 1972,MAR,3,"Stadio Olimpico, Roma (ITA)",07 JUL 1999
12:55.47,Imane MERGA,15 OCT 1988,ETH,4,"Stade Louis II, Monaco (MON)",22 JUL 2011
12:55.51,Haile GEBRSELASSIE,18 APR 1973,ETH,1,"Crystal Palace, London (GBR)",30 JUL 2004
12:55.52,Eliud KIPCHOGE,05 NOV 1984,KEN,4,Paris (FRA),04 JUL 2003
12:55.52,Hicham BELLANI,15 SEP 1979,MAR,7,"Stadio Olimpico, Roma (ITA)",14 JUL 2006
12:55.53,Chris SOLINSKY,05 DEC 1984,USA,5,"Olympiastadion, Stockholm (SWE)",06 AUG 2010
12:55.55,Kenenisa BEKELE,13 JUN 1982,ETH,1,"Crystal Palace, London (GBR)",22 JUL 2005
12:55.57,Jacob KROP,04 JUN 2001,KEN,8,"Stadio Luigi Ridolfi, Firenze (ITA)",02 JUN 2023
12:55.58,Abebe DINKESA,06 MAR 1984,ETH,2,Paris (FRA),01 JUL 2005
12:55.58,Selemon BAREGA,20 JAN 2000,ETH,2,"Stade Olympique de la Pontaise, Lausanne (SUI)",06 JUL 2017
12:55.59,Gebregziabher GEBREMARIAM,12 OCT 1984,ETH,4,"Stadio Olimpico, Roma (ITA)",02 JUL 2004
12:55.60,Jacob KIPLIMO,14 NOV 2000,UGA,1,"Stadion Allmend, Luzern (SUI)",29 JUN 2021
12:55.63,Mark Kipkinyor BETT,22 DEC 1976,KEN,2,"Bislett Stadion, Oslo (NOR)",28 JUL 2000
12:55.66,Imane MERGA,15 OCT 1988,ETH,2,"Boudewijnstadion, Bruxelles (BEL)",04 SEP 2009
12:55.69,Tariku BEKELE,28 FEB 1987,ETH,4,Paris (FRA),08 JUL 2006
12:55.72,Moses Ndiema MASAI,01 JUN 1986,KEN,1,Barcelona (ESP),19 JUL 2008
12:55.73,Hagos GEBRHIWET,11 MAY 1994,ETH,2,"Stadio Olimpico, Roma (ITA)",06 JUN 2013
12:55.76,Khalid BOULAMI,07 AUG 1969,MAR,4,Zürich (SUI),14 AUG 1996
12:55.76,Craig MOTTRAM,18 JUN 1980,AUS,2,"Crystal Palace, London (GBR)",30 JUL 2004
12:55.79,Isaac Kiprono SONGOK,25 APR 1984,KEN,1,Oslo (NOR),02 JUN 2006
12:55.79,Kenenisa BEKELE,13 JUN 1982,ETH,9,Paris (FRA),06 JUL 2012
12:55.82,Benjamin LIMO,23 AUG 1974,KEN,3,"Bislett Stadion, Oslo (NOR)",28 JUL 2000
12:55.84,Mohammed AHMED,05 JAN 1991,CAN,5,"Stadio Olimpico, Roma (ITA)",09 JUN 2022
12:55.85,Salah HISSOU,16 JAN 1972,MAR,1,"Stadio Olimpico, Roma (ITA)",12 JUL 2002
12:55.85,Boniface Kiprotich SONGOK,25 DEC 1980,KEN,4,"Boudewijnstadion, Bruxelles (BEL)",26 AUG 2005
12:55.86,Benjamin LIMO,23 AUG 1974,KEN,3,Zürich (SUI),11 AUG 1999
12:55.88,Daniel Simiu EBENYO,18 SEP 1995,KEN,2,"Stadion Allmend, Luzern (SUI)",29 JUN 2021
12:55.89,Dejen GEBREMESKEL,24 NOV 1989,ETH,4,"Stadio Olimpico, Roma (ITA)",26 MAY 2011
12:55.93,Salah HISSOU,16 JAN 1972,MAR,1,Paris (FRA),28 JUN 1996
12:55.94,Tom NYARIKI,27 SEP 1971,KEN,1,Stockholm (SWE),07 JUL 1997
12:55.95,Josphat Kiprono MENJO,20 AUG 1979,KEN,1,Turku (FIN),18 AUG 2010
12:55.98,Vincent Kiprop CHEPKOK,05 JUL 1988,KEN,3,"Boudewijnstadion, Bruxelles (BEL)",04 SEP 2009
12:55.99,Edwin Cheruiyot SOI,03 MAR 1986,KEN,10,Paris (FRA),06 JUL 2012
12:56.08,Thomas Pkemei LONGOSIWA,14 JAN 1982,KEN,5,"Stade Louis II, Monaco (MON)",22 JUL 2011
12:56.08,Isiah Kiplangat KOECH,19 DEC 1993,KEN,3,"Stade Louis II, Monaco (MON)",19 JUL 2013
12:56.13,Craig MOTTRAM,18 JUN 1980,AUS,2,"Crystal Palace, London (GBR)",22 JUL 2005
12:56.15,Daniel KOMEN,17 MAY 1976,KEN,2,"Stadio Olimpico, Roma (ITA)",08 JUN 1995
12:56.16,Thomas Pkemei LONGOSIWA,14 JAN 1982,KEN,2,"Olympiastadion, Stockholm (SWE)",21 AUG 2014
12:56.18,Brahim LAHLAFI,15 APR 1968,MAR,4,"Bislett Stadion, Oslo (NOR)",28 JUL 2000
12:56.18,Selemon BAREGA,20 JAN 2000,ETH,9,"Stadio Luigi Ridolfi, Firenze (ITA)",02 JUN 2023
12:56.19,Selemon BAREGA,20 JAN 2000,ETH,1,"Stade Charléty, Paris (FRA)",18 JUN 2022
12:56.23,Kenenisa BEKELE,13 JUN 1982,ETH,1,"Stadio Olimpico, Roma (ITA)",10 JUL 2009
12:56.24,Dejene BIRHANU,12 DEC 1980,ETH,5,"Stadio Olimpico, Roma (ITA)",08 JUL 2005
12:56.26,Birhanu BALEW,27 FEB 1996,BRN,4,"Stadio Olimpico, Roma (ITA)",06 JUN 2019
12:56.27,Ahmad Hassan ABDULLAH,04 APR 1981,KEN,6,Oslo (NOR),27 JUN 2003
12:56.27,Dathan RITZENHEIN,30 DEC 1982,USA,3,"Letzigrund, Zürich (SUI)",28 AUG 2009
12:56.27,Abadi HADIS,06 NOV 1997,ETH,5,"Boudewijnstadion, Bruxelles (BEL)",31 AUG 2018
12:56.29,Paul KOECH,25 JUN 1969,KEN,6,Zürich (SUI),13 AUG 1997
12:56.32,Vincent Kiprop CHEPKOK,05 JUL 1988,KEN,5,"Bislett Stadion, Oslo (NOR)",04 JUN 2010
12:56.34,Imane MERGA,15 OCT 1988,ETH,2,"Letzigrund, Zürich (SUI)",19 AUG 2010
12:56.41,Augustine Kiprono CHOGE,21 JAN 1987,KEN,1,Melbourne (AUS),20 MAR 2006
12:56.45,Chris SOLINSKY,05 DEC 1984,USA,3,"Letzigrund, Zürich (SUI)",19 AUG 2010
12:56.46,Eliud KIPCHOGE,05 NOV 1984,KEN,1,Milano (ITA),25 JUN 2009
12:56.46,Mohammed AHMED,05 JAN 1991,CAN,10,"Stadio Luigi Ridolfi, Firenze (ITA)",02 JUN 2023
12:56.48,Abadi HADIS,06 NOV 1997,ETH,5,"Stadio Olimpico, Roma (ITA)",06 JUN 2019
12:56.50,Luke KIPKOSGEI,27 NOV 1975,KEN,5,"Bislett Stadion, Oslo (NOR)",28 JUL 2000
12:56.50,Stewart MCSWEYN,01 JUN 1995,AUS,6,"Boudewijnstadion, Bruxelles (BEL)",02 SEP 2022
12:56.52,Haile GEBRSELASSIE,18 APR 1973,ETH,1,"Olympiastadion, Berlin (GER)",01 SEP 1998
12:56.53,Ali ABDOSH,25 AUG 1987,ETH,4,"Boudewijnstadion, Bruxelles (BEL)",04 SEP 2009
12:56.55,Benjamin LIMO,23 AUG 1974,KEN,4,"Stadio Olimpico, Roma (ITA)",07 JUL 1999
12:56.59,Paul KOECH,25 JUN 1969,KEN,2,"Olympiastadion, Berlin (GER)",26 AUG 1997
12:56.59,Joe KLECKER,16 NOV 1996,USA,4,"Bislett Stadion, Oslo (NOR)",15 JUN 2023
12:56.60,Mohammed MOURHIT,10 OCT 1970,BEL,6,"Bislett Stadion, Oslo (NOR)",28 JUL 2000
12:56.63,Luis GRIJALVA,10 APR 1999,GUA,5,"Bislett Stadion, Oslo (NOR)",15 JUN 2023
12:56.66,Tom NYARIKI,27 SEP 1971,KEN,1,Bratislava (SVK),10 JUN 1997
12:56.66,Chris SOLINSKY,05 DEC 1984,USA,6,"Bislett Stadion, Oslo (NOR)",04 JUN 2010
12:56.72,Richard LIMO,18 NOV 1980,KEN,1,"Letzigrund, Zürich (SUI)",17 AUG 2001
12:56.96,Haile GEBRSELASSIE,18 APR 1973,ETH,1,"FBK Stadium, Hengelo (NED)",04 JUN 1994
12:56.98,Mo FARAH,23 MAR 1983,GBR,1,"Hayward Field, Eugene, OR (USA)",02 JUN 2012
