Mark,Competitor,DOB,Nat,Pos,Venue,Date
12:35.36,Joshua CHEPTEGEI,12 SEP 1996,UGA,1,"Stade Louis II, Monaco (MON)",14 AUG 2020
12:37.35,Kenenisa BEKELE,13 JUN 1982,ETH,1,"FBK Stadium, Hengelo (NED)",31 MAY 2004
12:39.36,Haile GEBRSELASSIE,18 APR 1973,ETH,1,Helsinki (FIN),13 JUN 1998
12:39.74,Daniel KOMEN,17 MAY 1976,KEN,1,Bruxelles (BEL),22 AUG 1997
12:40.18,Kenenisa BEKELE,13 JUN 1982,ETH,1,Paris (FRA),01 JUL 2005
12:40.45,Berihu AREGAWI,28 FEB 2001,ETH,1,"Stade Olympique de la Pontaise, Lausanne (SUI)",30 JUN 2023
12:41.61,Joshua CHEPTEGEI,12 SEP 1996,UGA,2,"Stade Olympique de la Pontaise, Lausanne (SUI)",30 JUN 2023
12:41.73,Yomif KEJELCHA,01 AUG 1997,ETH,1,"Bislett Stadion, Oslo (NOR)",15 JUN 2023
12:41.73,Jacob KIPLIMO,14 NOV 2000,UGA,2,"Bislett Stadion, Oslo (NOR)",15 JUN 2023
12:41.86,Haile GEBRSELASSIE,18 APR 1973,ETH,1,Zürich (SUI),13 AUG 1997
12:43.02,Selemon BAREGA,20 JAN 2000,ETH,1,"Boudewijnstadion, Bruxelles (BEL)",31 AUG 2018
12:44.39,Haile GEBRSELASSIE,18 APR 1973,ETH,1,Zürich (SUI),16 AUG 1995
12:44.90,Daniel KOMEN,17 MAY 1976,KEN,2,Zürich (SUI),13 AUG 1997
12:45.09,Daniel KOMEN,17 MAY 1976,KEN,1,Zürich (SUI),14 AUG 1996
12:45.71,Jacob KROP,04 JUN 2001,KEN,1,"Boudewijnstadion, Bruxelles (BEL)",02 SEP 2022
12:45.82,Hagos GEBRHIWET,11 MAY 1994,ETH,2,"Boudewijnstadion, Bruxelles (BEL)",31 AUG 2018
12:46.21,Telahun Haile BEKELE,13 MAY 1999,ETH,3,"Bislett Stadion, Oslo (NOR)",15 JUN 2023
12:46.33,Nicholas KIPKORIR,29 SEP 1998,KEN,1,"Stadio Olimpico, Roma (ITA)",09 JUN 2022
12:46.53,Eliud KIPCHOGE,05 NOV 1984,KEN,1,"Stadio Olimpico, Roma (ITA)",02 JUL 2004
12:46.79,Yomif KEJELCHA,01 AUG 1997,ETH,3,"Boudewijnstadion, Bruxelles (BEL)",31 AUG 2018
12:46.79,Jacob KROP,04 JUN 2001,KEN,2,"Stadio Olimpico, Roma (ITA)",09 JUN 2022
12:46.81,Dejen GEBREMESKEL,24 NOV 1989,ETH,1,Paris (FRA),06 JUL 2012
12:46.96,Grant FISHER,22 APR 1997,USA,2,"Boudewijnstadion, Bruxelles (BEL)",02 SEP 2022
12:47.04,Sileshi SIHINE,29 JAN 1983,ETH,2,"Stadio Olimpico, Roma (ITA)",02 JUL 2004
12:47.20,Mohammed AHMED,05 JAN 1991,CAN,1,"Jesuit High School Track, Portland, OR (USA)",10 JUL 2020
12:47.53,Hagos GEBRHIWET,11 MAY 1994,ETH,2,Paris (FRA),06 JUL 2012
12:48.09,Kenenisa BEKELE,13 JUN 1982,ETH,1,"Boudewijnstadion, Bruxelles (BEL)",25 AUG 2006
