Mark,Competitor,DOB,Nat,Pos,Venue,Date
18:21,Robert KORZENIOWSKI,30 JUL 1968,POL,,Bad Salzdefürth (GER),15 SEP 1990
18:33,Erik TYSSE,04 DEC 1980,NOR,1.0,Bergen (NOR),23 AUG 2006
18:37,Vasiliy MIZINOV,29 DEC 1997,ANA,1.0,Voronovo (RUS),24 AUG 2019
18:45,Maksim KRASNOV,10 FEB 1996,RUS,2.0,Voronovo (RUS),24 AUG 2019
18:57,Ivan TROTSKI,27 MAY 1976,BLR,1.0,Hildesheim (GER),14 SEP 2003
19:01,Erik TYSSE,04 DEC 1980,NOR,2.0,Hildesheim (GER),14 SEP 2003
19:01,Anton KUČMÍN,07 JUN 1984,SVK,1.0,Nitra (SVK),04 OCT 2013
19:02,Kirill FROLOV,29 SEP 1993,RUS,3.0,Voronovo (RUS),24 AUG 2019
19:04,Matej TÓTH,10 FEB 1983,SVK,2.0,Nitra (SVK),04 OCT 2013
19:09,Tim SEAMAN,14 MAY 1972,USA,3.0,Hildesheim (GER),14 SEP 2003
19:14,Salih KORKMAZ,01 JAN 1997,TUR,1.0,Van (TUR),03 SEP 2022
19:18,Jiří MALYSA,14 AUG 1966,CZE,4.0,Hildesheim (GER),14 SEP 2003
19:20,Miloš HOLUŠA,02 MAY 1965,CZE,5.0,Hildesheim (GER),14 SEP 2003
19:22,Grzegorz SUDOŁ,28 AUG 1978,POL,1.0,Biala Podlaska (POL),31 AUG 2013
19:22,Grzegorz SUDOŁ,28 AUG 1978,POL,1.0,Gdansk (POL),31 AUG 2013
19:22,Vasiliy MIZINOV,29 DEC 1997,ANA,1.0,Simnas (LTU),10 JUN 2018
19:23,Dane BIRD-SMITH,15 JUL 1992,AUS,1.0,Sunshine Coast (AUS),26 AUG 2018
19:24,Zdeno BABÍK,09 JAN 1984,SVK,6.0,Hildesheim (GER),14 SEP 2003
19:24,Alessio WRUSS,1990,ITA,1.0,Remanzacco (ITA),04 SEP 2011
19:24,Marc TUR,30 NOV 1994,ESP,1.0,Toledo (ESP),06 NOV 2021
19:25,Valdas KAZLAUSKAS,23 FEB 1958,URS,1.0,Hildesheim (GER),11 JUN 1989
19:29,Andi DRAKE,06 FEB 1965,GBR,,Søfteland (NOR),27 MAY 1990
19:29,David HURTADO,21 APR 1999,ECU,1.0,"Hauppauge, NY (USA)",22 OCT 2017
19:29,Aliaksandr LIAKHOVICH,04 JUL 1989,BLR,1.0,Lazdijai (LTU),21 SEP 2019
19:30,Andrey MAKAROV,02 JAN 1971,BLR,7.0,Hildesheim (GER),14 SEP 2003
19:31,Alexandros PAPAMICHAIL,18 SEP 1988,GRE,2.0,Simnas (LTU),10 JUN 2018
19:33,Alberto AMEZCUA,10 MAY 1992,ESP,2.0,Toledo (ESP),06 NOV 2021
19:36,Nassir HASNAOUI,,MAR,1.0,Rabat (MAR),17 FEB 1991
19:36,Ivan LOSEV,26 JAN 1986,UKR,3.0,Simnas (LTU),10 JUN 2018
19:36,Kiril SHUTOV,24 SEP 1997,RUS,4.0,Voronovo (RUS),24 AUG 2019
19:36,Tim FRASER,22 FEB 2000,AUS,1.0,"Lennox Gardens, Canberra (AUS)",07 MAY 2022
19:37,Diego GARCÍA CARRERA,19 JAN 1996,ESP,1.0,Toledo (ESP),19 NOV 2016
19:39,Rafał SIKORA,17 FEB 1987,POL,2.0,Biala Podlaska (POL),31 AUG 2013
19:39,Rafał SIKORA,17 FEB 1987,POL,2.0,Gdansk (POL),31 AUG 2013
19:39,Salih KORKMAZ,01 JAN 1997,TUR,1.0,Konya (TUR),27 APR 2019
19:40,Dušan MAJDAN,08 SEP 1987,SVK,3.0,Nitra (SVK),04 OCT 2013
19:41,Alberto AMEZCUA,10 MAY 1992,ESP,1.0,Guadix (ESP),28 DEC 2019
19:42,Alberto AMEZCUA,10 MAY 1992,ESP,2.0,Toledo (ESP),19 NOV 2016
19:42,Karl JUNGHANNß,06 APR 1996,GER,4.0,Simnas (LTU),10 JUN 2018
19:43,Miroslav ÚRADNÍK,24 MAR 1996,SVK,1.0,Hlohovec (SVK),02 JUN 2019
19:43,José Manuel PÉREZ,10 SEP 1999,ESP,3.0,Toledo (ESP),06 NOV 2021
19:44,Rafał AUGUSTYN,14 MAY 1984,POL,1.0,Bratkowice (POL),12 SEP 2009
19:44,Anton KUČMÍN,07 JUN 1984,SVK,1.0,Hlohovec (SVK),01 JUN 2014
19:44,Anton KUČMÍN,07 JUN 1984,SVK,1.0,Nitra (SVK),25 SEP 2014
19:46,Yevgeniy MISYULYA,13 MAR 1964,BLR,8.0,Hildesheim (GER),14 SEP 2003
19:46,Sándor RÁCZ,14 SEP 1986,HUN,4.0,Nitra (SVK),04 OCT 2013
19:46,Iván LÓPEZ,29 MAR 1997,ESP,4.0,Toledo (ESP),06 NOV 2021
19:48,Łukasz NOWAK,18 DEC 1988,POL,1.0,Pila (POL),06 OCT 2012
19:50,Luis Manuel CORCHETE,14 MAY 1984,ESP,5.0,Toledo (ESP),06 NOV 2021
