Mark,Competitor,DOB,Nat,Pos,Venue,Date,WIND
19.19,Usain BOLT,21 AUG 1986,JAM,1,"Olympiastadion, Berlin (GER)",20 AUG 2009,-0.3
19.26,Yohan BLAKE,26 DEC 1989,JAM,1,"Boudewijnstadion, Bruxelles (BEL)",16 SEP 2011,0.7
19.3,Usain BOLT,21 AUG 1986,JAM,1,"National Stadium, Beijing (CHN)",20 AUG 2008,-0.9
19.31,Noah LYLES,18 JUL 1997,USA,1,"Hayward Field, Eugene, OR (USA)",21 JUL 2022,0.4
19.32,Michael JOHNSON,13 SEP 1967,USA,1,"Olympic Stadium, Atlanta, GA (USA)",01 AUG 1996,0.4
19.32,Usain BOLT,21 AUG 1986,JAM,1,"Olympic Stadium, London (GBR)",09 AUG 2012,0.4
19.4,Usain BOLT,21 AUG 1986,JAM,1,"DS, Daegu (KOR)",03 SEP 2011,0.8
19.44,Yohan BLAKE,26 DEC 1989,JAM,2,"Olympic Stadium, London (GBR)",09 AUG 2012,0.4
19.46,Noah LYLES,18 JUL 1997,USA,1,"Stade Louis II, Monaco (MON)",10 AUG 2022,0.8
19.49,Erriyon KNIGHTON,29 JAN 2004,USA,1f1,"LSU Bernie Moore Stadium, Baton Rouge, LA (USA)",30 APR 2022,1.4
19.5,Noah LYLES,18 JUL 1997,USA,1,"Stade Olympique de la Pontaise, Lausanne (SUI)",05 JUL 2019,-0.1
19.52,Noah LYLES,18 JUL 1997,USA,1,"Hayward Field, Eugene, OR (USA)",21 AUG 2021,1.5
19.52,Noah LYLES,18 JUL 1997,USA,1,"Letzigrund, Zürich (SUI)",08 SEP 2022,-0.6
19.53,Walter DIX,31 JAN 1986,USA,2,"Boudewijnstadion, Bruxelles (BEL)",16 SEP 2011,0.7
19.54,Yohan BLAKE,26 DEC 1989,JAM,1,"Boudewijnstadion, Bruxelles (BEL)",07 SEP 2012,0.0
19.55,Usain BOLT,21 AUG 1986,JAM,1,"National Stadium, Beijing (CHN)",27 AUG 2015,-0.1
19.56,Usain BOLT,21 AUG 1986,JAM,1,Kingston (JAM),01 MAY 2010,-0.8
19.56,Noah LYLES,18 JUL 1997,USA,1,"Stade Olympique de la Pontaise, Lausanne (SUI)",26 AUG 2022,1.3
19.57,Usain BOLT,21 AUG 1986,JAM,1,"Boudewijnstadion, Bruxelles (BEL)",04 SEP 2009,0.0
19.57,Justin GATLIN,10 FEB 1982,USA,1,"Hayward Field, Eugene, OR (USA)",28 JUN 2015,0.4
19.58,Tyson GAY,09 AUG 1982,USA,1,"Icahn Stadium, New York, NY (USA)",30 MAY 2009,1.3
19.58,Usain BOLT,21 AUG 1986,JAM,1,"Stade Olympique de la Pontaise, Lausanne (SUI)",23 AUG 2012,1.4
19.59,Usain BOLT,21 AUG 1986,JAM,1f1,"Stade Olympique de la Pontaise, Lausanne (SUI)",07 JUL 2009,-0.9
19.61,Noah LYLES,18 JUL 1997,USA,1,"Icahn Stadium, New York, NY (USA)",12 JUN 2022,1.3
19.62,Tyson GAY,09 AUG 1982,USA,1,"Indianapolis, IN (USA)",24 JUN 2007,-0.3
19.62,Andre DE GRASSE,10 NOV 1994,CAN,1,"National Stadium, Tokyo (JPN)",04 AUG 2021,-0.5
19.62,Noah LYLES,18 JUL 1997,USA,1sf2,"Hayward Field, Eugene, OR (USA)",19 JUL 2022,1.1
19.63,Xavier CARTER,08 DEC 1985,USA,1,"Stade Olympique de la Pontaise, Lausanne (SUI)",11 JUL 2006,0.4
19.63,Usain BOLT,21 AUG 1986,JAM,1,"Stade Olympique de la Pontaise, Lausanne (SUI)",02 SEP 2008,-0.9
19.63,Reynier MENA,21 NOV 1996,CUB,1f1,"Stade de La Charrière, La Chaux-de-Fonds (SUI)",03 JUL 2022,1.2
19.65,Wallace SPEARMON,24 DEC 1984,USA,1,Daegu (KOR),28 SEP 2006,0.0
19.65,Noah LYLES,18 JUL 1997,USA,1,"Stade Louis II, Monaco (MON)",20 JUL 2018,0.9
19.65,Noah LYLES,18 JUL 1997,USA,1,"Stade Charléty, Paris (FRA)",24 AUG 2019,0.2
19.66,Michael JOHNSON,13 SEP 1967,USA,1,"Atlanta, GA (USA)",23 JUN 1996,1.7
19.66,Usain BOLT,21 AUG 1986,JAM,1,"Letzigrund, Zürich (SUI)",30 AUG 2012,0.0
19.66,Usain BOLT,21 AUG 1986,JAM,1,"Luzhniki Stadion, Moskva (RUS)",17 AUG 2013,0.0
19.67,Usain BOLT,21 AUG 1986,JAM,1,"Olympic Stadium, Athina (GRE)",13 JUL 2008,-0.5
19.67,Noah LYLES,18 JUL 1997,USA,1,"Letzigrund, Zürich (SUI)",30 AUG 2018,-0.2
19.67,Noah LYLES,18 JUL 1997,USA,1,"Hayward Field, Eugene, OR (USA)",26 JUN 2022,-0.3
19.67,Noah LYLES,18 JUL 1997,USA,1,"National Stadium, Kingston (JAM)",03 JUN 2023,0.3
19.68,Frank FREDERICKS,02 OCT 1967,NAM,2,"Olympic Stadium, Atlanta, GA (USA)",01 AUG 1996,0.4
19.68,Tyson GAY,09 AUG 1982,USA,1,"Gottlieb-Daimler Stadion, Stuttgart (GER)",10 SEP 2006,-0.1
19.68,Usain BOLT,21 AUG 1986,JAM,1,Thessaloniki (GRE),13 SEP 2009,-0.3
19.68,Justin GATLIN,10 FEB 1982,USA,1,"Stade Louis II, Monaco (MON)",18 JUL 2014,-0.5
19.68,Justin GATLIN,10 FEB 1982,USA,1,"Hayward Field, Eugene, OR (USA)",30 MAY 2015,0.9
19.68,Kenneth BEDNAREK,14 OCT 1998,USA,2,"National Stadium, Tokyo (JPN)",04 AUG 2021,-0.5
19.69,Walter DIX,31 JAN 1986,USA,1,"Gainesville, FL (USA)",26 MAY 2007,0.9
19.69,Clarence MUNYAI,20 FEB 1998,RSA,1sf1,Pretoria (RSA),16 MAR 2018,-0.5
19.69,Noah LYLES,18 JUL 1997,USA,1,"Hayward Field, Eugene, OR (USA)",26 MAY 2018,2.0
19.69,Noah LYLES,18 JUL 1997,USA,1,"Stade Olympique de la Pontaise, Lausanne (SUI)",05 JUL 2018,0.4
19.69,Erriyon KNIGHTON,29 JAN 2004,USA,2,"Hayward Field, Eugene, OR (USA)",26 JUN 2022,-0.3
19.7,Tyson GAY,09 AUG 1982,USA,2,"Stade Olympique de la Pontaise, Lausanne (SUI)",11 JUL 2006,0.4
19.7,Walter DIX,31 JAN 1986,USA,2,"DS, Daegu (KOR)",03 SEP 2011,0.8
19.7,Michael NORMAN,03 DEC 1997,USA,1,"Stadio Olimpico, Roma (ITA)",06 JUN 2019,0.7
19.7,Kenneth BEDNAREK,14 OCT 1998,USA,1,"Letzigrund, Zürich (SUI)",09 SEP 2021,0.5
19.71,Michael JOHNSON,13 SEP 1967,USA,1,Pietersburg (RSA),18 MAR 2000,1.8
19.71,Justin GATLIN,10 FEB 1982,USA,1,"Boudewijnstadion, Bruxelles (BEL)",05 SEP 2014,0.0
19.72,Pietro MENNEA,28 JUN 1952,ITA,1,Ciudad de México (MEX),12 SEP 1979,1.8
19.72,Walter DIX,31 JAN 1986,USA,1,"Hayward Field, Eugene, OR (USA)",03 JUL 2010,1.8
19.72,Tyson GAY,09 AUG 1982,USA,1,"Stade Louis II, Monaco (MON)",22 JUL 2010,0.1
19.72,Noah LYLES,18 JUL 1997,USA,2,"Stadio Olimpico, Roma (ITA)",06 JUN 2019,0.7
19.72,Andre DE GRASSE,10 NOV 1994,CAN,2,"Letzigrund, Zürich (SUI)",09 SEP 2021,0.5
19.73,Michael MARSH,04 AUG 1967,USA,1sf1,"Estadio Olímpico, Barcelona (ESP)",05 AUG 1992,-0.2
19.73,Usain BOLT,21 AUG 1986,JAM,1,Paris (FRA),06 JUL 2013,0.2
19.73,Divine ODUDURU,07 OCT 1996,NGR,1,"Austin, TX (USA)",07 JUN 2019,0.8
19.73,Andre DE GRASSE,10 NOV 1994,CAN,1sf3,"National Stadium, Tokyo (JPN)",03 AUG 2021,0.2
19.74,Justin GATLIN,10 FEB 1982,USA,2,"National Stadium, Beijing (CHN)",27 AUG 2015,-0.1
19.74,LaShawn MERRITT,27 JUN 1986,USA,1sf3,"Hayward Field, Eugene, OR (USA)",08 JUL 2016,1.4
19.74,Noah LYLES,18 JUL 1997,USA,1,"Boudewijnstadion, Bruxelles (BEL)",06 SEP 2019,0.8
19.74,Noah LYLES,18 JUL 1997,USA,1,"Hayward Field, Eugene, OR (USA)",27 JUN 2021,0.3
19.74,Noah LYLES,18 JUL 1997,USA,3,"National Stadium, Tokyo (JPN)",04 AUG 2021,-0.5
19.75,Carl LEWIS,01 JUL 1961,USA,1,"Indianapolis, IN (USA)",19 JUN 1983,1.5
19.75,Joe DELOACH,05 JUN 1967,USA,1,"Olympic Stadium, Jamsil, Seoul (KOR)",28 SEP 1988,1.7
19.75,Usain BOLT,21 AUG 1986,JAM,1,Kingston (JAM),24 JUN 2007,0.2
19.75,Justin GATLIN,10 FEB 1982,USA,1,"Hayward Field, Eugene, OR (USA)",09 JUL 2016,1.6
19.75,Steven GARDINER,12 SEP 1995,BAH,1f1,"Coral Gables, FL (USA)",07 APR 2018,0.3
19.76,Tyson GAY,09 AUG 1982,USA,1,"Yanmar Stadium Nagai, Osaka (JPN)",30 AUG 2007,-0.8
19.76,Usain BOLT,21 AUG 1986,JAM,1,"Crystal Palace, London (GBR)",26 JUL 2008,-0.4
19.76,Usain BOLT,21 AUG 1986,JAM,1,"Shanghai Stadium, Shanghai (CHN)",23 MAY 2010,-0.8
19.76,Tyson GAY,09 AUG 1982,USA,2,"Hayward Field, Eugene, OR (USA)",03 JUL 2010,1.8
19.76,Ramil GULIYEV,29 MAY 1990,TUR,1,"Olympiastadion, Berlin (GER)",09 AUG 2018,0.7
19.76,Divine ODUDURU,07 OCT 1996,NGR,1f5,"Waco, TX (USA)",20 APR 2019,0.8
19.76,Noah LYLES,18 JUL 1997,USA,1,"Stade Louis II, Monaco (MON)",14 AUG 2020,0.7
19.76,Fred KERLEY,07 MAY 1995,USA,1,"Moi International Sports Centre, Kasarani, Nairobi (KEN)",18 SEP 2021,2.0
19.76,Michael NORMAN,03 DEC 1997,USA,2,"Stade Olympique de la Pontaise, Lausanne (SUI)",26 AUG 2022,1.3
19.76,Udodi Chudi ONWUZURIKE,29 JAN 2003,NGR,1sf2,"Mike A. Myers Stadium, Austin, TX (USA)",07 JUN 2023,0.6
19.77,Michael JOHNSON,13 SEP 1967,USA,1,Stockholm (SWE),08 JUL 1996,0.6
19.77,Ato BOLDON,30 DEC 1973,TTO,1f1,Stuttgart (GER),13 JUL 1997,0.7
19.77,Isaac MAKWALA,24 SEP 1985,BOT,1,"Moratalaz, Madrid (ESP)",14 JUL 2017,0.0
19.77,Erriyon KNIGHTON,29 JAN 2004,USA,1sf3,"Hayward Field, Eugene, OR (USA)",19 JUL 2022,0.3
19.77,Kenneth BEDNAREK,14 OCT 1998,USA,2,"Hayward Field, Eugene, OR (USA)",21 JUL 2022,0.4
19.77,Erriyon KNIGHTON,29 JAN 2004,USA,1,"Bislett Stadion, Oslo (NOR)",15 JUN 2023,0.6
19.78,Tyson GAY,09 AUG 1982,USA,1,"Stade Olympique de la Pontaise, Lausanne (SUI)",10 JUL 2007,0.0
19.78,Yohan BLAKE,26 DEC 1989,JAM,2,"Stade Louis II, Monaco (MON)",22 JUL 2010,0.1
19.78,LaShawn MERRITT,27 JUN 1986,USA,1f1,Nassau (BAH),16 APR 2016,0.9
19.78,Usain BOLT,21 AUG 1986,JAM,1sf2,"Estádio Olímpico, Rio de Janeiro (BRA)",17 AUG 2016,-0.3
19.78,Usain BOLT,21 AUG 1986,JAM,1,"Estádio Olímpico, Rio de Janeiro (BRA)",18 AUG 2016,-0.5
19.78,Noah LYLES,18 JUL 1997,USA,1,"Drake Stadium, Des Moines, IA (USA)",28 JUL 2019,-0.7
19.78,Kenneth BEDNAREK,14 OCT 1998,USA,2,"Hayward Field, Eugene, OR (USA)",27 JUN 2021,0.3
19.79,Carl LEWIS,01 JUL 1961,USA,2,"Olympic Stadium, Jamsil, Seoul (KOR)",28 SEP 1988,1.7
19.79,Michael JOHNSON,13 SEP 1967,USA,1,"New Orleans, LA (USA)",28 JUN 1992,1.0
19.79,Michael JOHNSON,13 SEP 1967,USA,1,"Ullevi Stadium, Göteborg (SWE)",11 AUG 1995,0.5
19.79,Shawn CRAWFORD,14 JAN 1978,USA,1,"Olympic Stadium, Athina (GRE)",26 AUG 2004,1.2
19.79,Tyson GAY,09 AUG 1982,USA,1,"Boudewijnstadion, Bruxelles (BEL)",25 AUG 2006,0.2
19.79,Wallace SPEARMON,24 DEC 1984,USA,1,"Letzigrund, Zürich (SUI)",19 AUG 2010,0.4
19.79,Usain BOLT,21 AUG 1986,JAM,1,"Bislett Stadion, Oslo (NOR)",13 JUN 2013,1.7
19.79,Warren WEIR,31 OCT 1989,JAM,1,Kingston (JAM),23 JUN 2013,0.9
19.79,Warren WEIR,31 OCT 1989,JAM,2,"Luzhniki Stadion, Moskva (RUS)",17 AUG 2013,0.0
19.79,LaShawn MERRITT,27 JUN 1986,USA,2,"Hayward Field, Eugene, OR (USA)",09 JUL 2016,1.6
19.79,Fred KERLEY,07 MAY 1995,USA,1,"Stade Charléty, Paris (FRA)",28 AUG 2021,1.6
19.79,Kenneth BEDNAREK,14 OCT 1998,USA,2,"Stade Charléty, Paris (FRA)",28 AUG 2021,1.6
19.79,James DADZIE,17 MAY 2001,GHA,1f1,"Terry & Linda Fuller T&F Complex, Lubbock, TX (USA)",29 APR 2023,1.3
19.8,Carl LEWIS,01 JUL 1961,USA,1,"Memorial Coliseum, Los Angeles, CA (USA)",08 AUG 1984,-0.9
19.8,Ato BOLDON,30 DEC 1973,TTO,3,"Olympic Stadium, Atlanta, GA (USA)",01 AUG 1996,0.4
19.8,Christophe LEMAITRE,11 JUN 1990,FRA,3,"DS, Daegu (KOR)",03 SEP 2011,0.8
19.8,Yohan BLAKE,26 DEC 1989,JAM,1,Kingston (JAM),01 JUL 2012,-0.5
19.8,Rasheed DWYER,29 JAN 1989,JAM,1sf1,"CIBC, Toronto (CAN)",23 JUL 2015,2.0
