Mark,Competitor,DOB,Nat,Pos,Venue,Date,WIND
19.8,Andre DE GRASSE,10 NOV 1994,CAN,2sf2,"Estádio Olímpico, Rio de Janeiro (BRA)",17 AUG 2016,-0.3
19.8,Kenneth BEDNAREK,14 OCT 1998,USA,1f1,"Montverde Academy, Montverde, FL (USA)",10 AUG 2020,1.0
19.8,Kenneth BEDNAREK,14 OCT 1998,USA,2,"Hayward Field, Eugene, OR (USA)",21 AUG 2021,1.5
19.8,Fred KERLEY,07 MAY 1995,USA,1,"Hilmer Lodge Stadium, Walnut, CA (USA)",16 APR 2022,1.6
19.8,Erriyon KNIGHTON,29 JAN 2004,USA,3,"Hayward Field, Eugene, OR (USA)",21 JUL 2022,0.4
19.8,Jereem RICHARDS,13 JAN 1994,TTO,1,"Alexander Stadium, Birmingham (GBR)",06 AUG 2022,1.1
19.81,Frank FREDERICKS,02 OCT 1967,NAM,1,Fukuoka (JPN),13 SEP 1997,0.3
19.81,Alonso EDWARD,08 DEC 1989,PAN,2,"Olympiastadion, Berlin (GER)",20 AUG 2009,-0.3
19.81,Churandy MARTINA,03 JUL 1984,NED,1,"Stade Olympique de la Pontaise, Lausanne (SUI)",25 AUG 2016,0.4
19.81,Akeem BLOOMFIELD,10 NOV 1997,JAM,1,"Olympic Stadium, London (GBR)",22 JUL 2018,0.1
19.81,Terrance LAIRD,12 OCT 1998,USA,1,"Mike A. Myers Stadium, Austin, TX (USA)",27 MAR 2021,0.8
19.81,Noah LYLES,18 JUL 1997,USA,1sf1,"Hayward Field, Eugene, OR (USA)",26 JUN 2022,1.2
19.82,Carl LEWIS,01 JUL 1961,USA,1,Sestriere (ITA),11 AUG 1988,2.0
19.82,Frank FREDERICKS,02 OCT 1967,NAM,1,Oslo (NOR),05 JUL 1996,1.1
19.82,Ato BOLDON,30 DEC 1973,TTO,1f1,Stockholm (SWE),07 JUL 1997,1.6
19.82,Wallace SPEARMON,24 DEC 1984,USA,1,"Icahn Stadium, New York, NY (USA)",02 JUN 2007,1.3
19.82,Warren WEIR,31 OCT 1989,JAM,1,"Icahn Stadium, New York, NY (USA)",14 JUN 2014,-0.2
19.82,Kenneth BEDNAREK,14 OCT 1998,USA,1,"Hobbs, NM (USA)",18 MAY 2019,-0.8
19.82,Terrance LAIRD,12 OCT 1998,USA,1,"Cushing Stadium, College Station, TX (USA)",15 MAY 2021,1.7
19.82,Luxolo ADAMS,01 AUG 1996,RSA,1,"Stade Charléty, Paris (FRA)",18 JUN 2022,0.6
19.83,Tommie SMITH,06 JUN 1944,USA,1,"Estadio Olímpico, Ciudad de México (MEX)",16 OCT 1968,0.9
19.83,Michael JOHNSON,13 SEP 1967,USA,1,"Atlanta, GA (USA)",18 MAY 1996,1.7
19.83,Usain BOLT,21 AUG 1986,JAM,1,Ostrava (CZE),12 JUN 2008,0.3
19.83,Usain BOLT,21 AUG 1986,JAM,2,Kingston (JAM),01 JUL 2012,-0.5
19.83,Noah LYLES,18 JUL 1997,USA,1,"Suhaim bin Hamad Stadium, Doha (QAT)",04 MAY 2018,1.3
19.83,Noah LYLES,18 JUL 1997,USA,1,"Khalifa International Stadium, Doha (QAT)",01 OCT 2019,0.3
19.83,Kenneth BEDNAREK,14 OCT 1998,USA,2sf3,"National Stadium, Tokyo (JPN)",03 AUG 2021,0.2
19.83,Fred KERLEY,07 MAY 1995,USA,3,"Letzigrund, Zürich (SUI)",09 SEP 2021,0.5
19.83,Michael NORMAN,03 DEC 1997,USA,2,"Hilmer Lodge Stadium, Walnut, CA (USA)",16 APR 2022,1.6
19.83,Joseph FAHNBULLEH,11 SEP 2001,LBR,1,"Hayward Field, Eugene, OR (USA)",10 JUN 2022,0.6
19.83,Fred KERLEY,07 MAY 1995,USA,3,"Hayward Field, Eugene, OR (USA)",26 JUN 2022,-0.3
19.83,Jereem RICHARDS,13 JAN 1994,TTO,1f1,"Hasely Crawford Stadium, Port-of-Spain (TTO)",26 JUN 2022,0.3
19.83,Noah LYLES,18 JUL 1997,USA,1,"Icahn Stadium, New York, NY (USA)",24 JUN 2023,0.8
19.84,Carl LEWIS,01 JUL 1961,USA,1qf3,"Los Angeles, CA (USA)",19 JUN 1984,0.2
19.84,Francis OBIKWELU,22 NOV 1978,NGR,1sf2,"La Cartuja, Sevilla (ESP)",25 AUG 1999,1.7
19.84,Tyson GAY,09 AUG 1982,USA,1,"Crystal Palace, London (GBR)",28 JUL 2006,0.2
19.84,Warren WEIR,31 OCT 1989,JAM,3,"Olympic Stadium, London (GBR)",09 AUG 2012,0.4
19.84,Alonso EDWARD,08 DEC 1989,PAN,1,"Stade Olympique de la Pontaise, Lausanne (SUI)",03 JUL 2014,1.2
19.84,Wayde VAN NIEKERK,15 JUL 1992,RSA,1,Kingston (JAM),10 JUN 2017,1.2
19.84,Michael NORMAN,03 DEC 1997,USA,1,"Stade Charléty, Paris (FRA)",30 JUN 2018,-0.6
19.84,Michael NORMAN,03 DEC 1997,USA,1,"Yanmar Stadium Nagai, Osaka (JPN)",19 MAY 2019,-0.4
19.84,Erriyon KNIGHTON,29 JAN 2004,USA,3,"Hayward Field, Eugene, OR (USA)",27 JUN 2021,0.3
19.84,Kenneth BEDNAREK,14 OCT 1998,USA,2sf2,"Hayward Field, Eugene, OR (USA)",19 JUL 2022,1.1
19.84,Joseph FAHNBULLEH,11 SEP 2001,LBR,4,"Hayward Field, Eugene, OR (USA)",21 JUL 2022,0.4
19.84,Erriyon KNIGHTON,29 JAN 2004,USA,2,"Stade Louis II, Monaco (MON)",10 AUG 2022,0.8
19.84,Udodi Chudi ONWUZURIKE,29 JAN 2003,NGR,1,"Mike A. Myers Stadium, Austin, TX (USA)",09 JUN 2023,0.9
19.85,Michael JOHNSON,13 SEP 1967,USA,1,Edinburgh (GBR),06 JUL 1990,0.4
19.85,Frank FREDERICKS,02 OCT 1967,NAM,1,"Gottlieb-Daimler Stadion, Stuttgart (GER)",20 AUG 1993,0.3
19.85,Ato BOLDON,30 DEC 1973,TTO,1,Lausanne (SUI),03 JUL 1996,-0.9
19.85,Michael JOHNSON,13 SEP 1967,USA,2,Oslo (NOR),05 JUL 1996,1.1
19.85,John CAPEL,27 OCT 1978,USA,1,"Sacramento, CA (USA)",23 JUL 2000,-0.3
19.85,Shawn CRAWFORD,14 JAN 1978,USA,1,Pretoria (RSA),12 APR 2002,0.0
19.85,Konstantinos KENTERIS,11 JUL 1973,GRE,1,"Olympiastadion, München (GER)",09 AUG 2002,-0.5
19.85,Wallace SPEARMON,24 DEC 1984,USA,3,"Olympiastadion, Berlin (GER)",20 AUG 2009,-0.3
19.85,Wallace SPEARMON,24 DEC 1984,USA,1,"Stadio Guidobaldi, Rieti (ITA)",29 AUG 2010,0.6
19.85,Churandy MARTINA,03 JUL 1984,NED,2,"Stade Olympique de la Pontaise, Lausanne (SUI)",23 AUG 2012,1.4
19.85,Nickel ASHMEADE,07 APR 1990,JAM,2,"Letzigrund, Zürich (SUI)",30 AUG 2012,0.0
19.85,Ameer WEBB,19 MAR 1991,USA,1,"Suhaim bin Hamad Stadium, Doha (QAT)",06 MAY 2016,1.9
19.85,Christian COLEMAN,06 MAR 1996,USA,1sf1,"Lexington, KY (USA)",27 MAY 2017,-0.5
19.86,Don QUARRIE,25 FEB 1951,JAM,1,Cali (COL),03 AUG 1971,1.0
19.86,Carl LEWIS,01 JUL 1961,USA,1,"Los Angeles, CA (USA)",21 JUN 1984,-0.2
19.86,Michael MARSH,04 AUG 1967,USA,2,"New Orleans, LA (USA)",28 JUN 1992,1.0
19.86,Maurice GREENE,23 JUL 1974,USA,2f1,Stockholm (SWE),07 JUL 1997,1.6
19.86,Ato BOLDON,30 DEC 1973,TTO,1f2,Athina (GRE),16 JUN 1999,0.4
19.86,Walter DIX,31 JAN 1986,USA,1,"Eugene, OR (USA)",06 JUL 2008,1.7
19.86,Shawn CRAWFORD,14 JAN 1978,USA,2,"Eugene, OR (USA)",06 JUL 2008,1.7
19.86,Walter DIX,31 JAN 1986,USA,1,"Stadio Olimpico, Roma (ITA)",10 JUN 2010,0.5
19.86,Walter DIX,31 JAN 1986,USA,1,"Stade Olympique de la Pontaise, Lausanne (SUI)",08 JUL 2010,0.4
19.86,Yohan BLAKE,26 DEC 1989,JAM,2,"Letzigrund, Zürich (SUI)",19 AUG 2010,0.4
19.86,Usain BOLT,21 AUG 1986,JAM,1,"Bislett Stadion, Oslo (NOR)",09 JUN 2011,0.7
19.86,Jason YOUNG,21 MAR 1991,JAM,1f1,Luzern (SUI),17 JUL 2012,1.5
19.86,Isiah YOUNG,05 JAN 1990,USA,1,"Drake Stadium, Des Moines, IA (USA)",23 JUN 2013,1.6
19.86,Ramil GULIYEV,29 MAY 1990,TUR,2,"Boudewijnstadion, Bruxelles (BEL)",06 SEP 2019,0.8
19.86,Noah LYLES,18 JUL 1997,USA,1sf2,"Khalifa International Stadium, Doha (QAT)",30 SEP 2019,0.1
19.86,Noah LYLES,18 JUL 1997,USA,1f1,"National Training Center, Clermont, FL (USA)",01 MAY 2022,0.8
19.86,Jereem RICHARDS,13 JAN 1994,TTO,3sf2,"Hayward Field, Eugene, OR (USA)",19 JUL 2022,1.1
19.86,Courtney LINDSEY,18 NOV 1998,USA,2,"Mike A. Myers Stadium, Austin, TX (USA)",09 JUN 2023,0.9
19.87,Lorenzo DANIEL,23 MAR 1966,USA,1,"Eugene, OR (USA)",03 JUN 1988,0.8
19.87,John REGIS,13 OCT 1966,GBR,1,Sestriere (ITA),31 JUL 1994,1.8
19.87,Jeff WILLIAMS,31 DEC 1965,USA,1,"Fresno, CA (USA)",13 APR 1996,1.2
19.87,Frank FREDERICKS,02 OCT 1967,NAM,1,Osaka (JPN),08 MAY 1999,-1.2
19.87,John CAPEL,27 OCT 1978,USA,1,"Boise, ID (USA)",05 JUN 1999,1.4
19.87,Wallace SPEARMON,24 DEC 1984,USA,1,"Olympic Stadium, Athina (GRE)",17 SEP 2006,0.1
19.87,Warren WEIR,31 OCT 1989,JAM,1,"Boudewijnstadion, Bruxelles (BEL)",06 SEP 2013,-0.2
19.87,Justin GATLIN,10 FEB 1982,USA,1sf2,"National Stadium, Beijing (CHN)",26 AUG 2015,-0.2
19.87,Anaso JOBODWANA,30 JUL 1992,RSA,3,"National Stadium, Beijing (CHN)",27 AUG 2015,-0.1
19.87,Alonso EDWARD,08 DEC 1989,PAN,4,"National Stadium, Beijing (CHN)",27 AUG 2015,-0.1
19.87,Alex QUIÑÓNEZ,11 AUG 1989,ECU,2,"Stade Olympique de la Pontaise, Lausanne (SUI)",05 JUL 2019,-0.1
19.87,Andre DE GRASSE,10 NOV 1994,CAN,3,"Boudewijnstadion, Bruxelles (BEL)",06 SEP 2019,0.8
19.87,Kenneth BEDNAREK,14 OCT 1998,USA,4,"Hayward Field, Eugene, OR (USA)",26 JUN 2022,-0.3
19.87,Andrew HUDSON,14 DEC 1996,JAM,1,"Grand Bahama Sports Complex, Freeport (BAH)",21 AUG 2022,0.6
19.87,Letsile TEBOGO,07 JUN 2003,BOT,1f1,"National Stadium, Gaborone (BOT)",29 APR 2023,-0.3
19.87,Terrence JONES,08 NOV 2002,BAH,3,"Mike A. Myers Stadium, Austin, TX (USA)",09 JUN 2023,0.9
19.88,Michael JOHNSON,13 SEP 1967,USA,1f1,Sestriere (ITA),08 AUG 1990,1.5
19.88,Michael JOHNSON,13 SEP 1967,USA,1,Barcelona (ESP),20 SEP 1991,-0.9
19.88,Michael MARSH,04 AUG 1967,USA,2,"Atlanta, GA (USA)",18 MAY 1996,1.7
19.88,Ato BOLDON,30 DEC 1973,TTO,1,Athina (GRE),17 JUN 1998,0.4
19.88,Floyd HEARD,24 MAR 1966,USA,2,"Sacramento, CA (USA)",23 JUL 2000,-0.3
19.88,Joshua J. JOHNSON,10 MAY 1976,USA,1,Bruxelles (BEL),24 AUG 2001,0.1
19.88,Shawn CRAWFORD,14 JAN 1978,USA,1h3,"Sacramento, CA (USA)",16 JUL 2004,0.3
19.88,Usain BOLT,21 AUG 1986,JAM,3,"Stade Olympique de la Pontaise, Lausanne (SUI)",11 JUL 2006,0.4
19.88,Wallace SPEARMON,24 DEC 1984,USA,2,"Gottlieb-Daimler Stadion, Stuttgart (GER)",10 SEP 2006,-0.1
19.88,Wallace SPEARMON,24 DEC 1984,USA,1,"Boudewijnstadion, Bruxelles (BEL)",14 SEP 2007,0.7
19.88,Wallace SPEARMON,24 DEC 1984,USA,1,Daegu (KOR),03 OCT 2007,0.1
19.88,Andre DE GRASSE,10 NOV 1994,CAN,1,"CIBC, Toronto (CAN)",24 JUL 2015,0.3
19.88,Ramil GULIYEV,29 MAY 1990,TUR,1,"Sports Park Mladost, Zagreb (CRO)",08 SEP 2015,-0.4
19.88,Miguel FRANCIS,28 MAR 1995,ANT,1,Kingston (JAM),11 JUN 2016,1.2
19.88,Michael NORMAN,03 DEC 1997,USA,2,"Stade Olympique de la Pontaise, Lausanne (SUI)",05 JUL 2018,0.4
19.88,Zhenye XIE,17 AUG 1993,CHN,1,"Olympic Stadium, London (GBR)",21 JUL 2019,0.9
19.88,Divine ODUDURU,07 OCT 1996,NGR,1f1,"Jax Track at Hodges Stadium, Jacksonville, FL (USA)",29 APR 2021,1.6
19.88,Kenneth BEDNAREK,14 OCT 1998,USA,1,"Suhaim bin Hamad Stadium, Doha (QAT)",28 MAY 2021,0.4
19.88,Erriyon KNIGHTON,29 JAN 2004,USA,1sf2,"Hayward Field, Eugene, OR (USA)",26 JUN 2021,1.1
19.88,Erriyon KNIGHTON,29 JAN 2004,USA,1,"Bregyó Athletic Center, Székesfehérvár (HUN)",08 AUG 2022,0.8
