Mark,Competitor,DOB,Nat,Pos,Venue,Date
26:11.00,Joshua CHEPTEGEI,12 SEP 1996,UGA,1,"Estadio de Atletismo del Turia, Valencia (ESP)",07 OCT 2020
26:17.53,Kenenisa BEKELE,13 JUN 1982,ETH,1,"Boudewijnstadion, Bruxelles (BEL)",26 AUG 2005
26:20.31,Kenenisa BEKELE,13 JUN 1982,ETH,1,Ostrava (CZE),08 JUN 2004
26:22.75,Haile GEBRSELASSIE,18 APR 1973,ETH,1,"FBK Stadium, Hengelo (NED)",01 JUN 1998
26:25.97,Kenenisa BEKELE,13 JUN 1982,ETH,1,"Eugene, OR (USA)",08 JUN 2008
26:27.85,Paul TERGAT,17 JUN 1969,KEN,1,Bruxelles (BEL),22 AUG 1997
26:28.72,Kenenisa BEKELE,13 JUN 1982,ETH,1,"FBK Stadium, Hengelo (NED)",29 MAY 2005
26:29.22,Haile GEBRSELASSIE,18 APR 1973,ETH,1,"Boudewijnstadion, Bruxelles (BEL)",05 SEP 2003
26:30.03,Nicholas KEMBOI,25 NOV 1983,KEN,2,"Boudewijnstadion, Bruxelles (BEL)",05 SEP 2003
26:30.74,Abebe DINKESA,06 MAR 1984,ETH,2,"FBK Stadium, Hengelo (NED)",29 MAY 2005
26:31.32,Haile GEBRSELASSIE,18 APR 1973,ETH,1,Oslo (NOR),04 JUL 1997
26:33.84,Grant FISHER,22 APR 1997,USA,1,"JSerra Catholic HS, San Juan Capistrano, CA (USA)",06 MAR 2022
26:33.93,Jacob KIPLIMO,14 NOV 2000,UGA,1,"Mestský Stadion, Ostrava (CZE)",19 MAY 2021
26:34.14,Mohammed AHMED,05 JAN 1991,CAN,2,"JSerra Catholic HS, San Juan Capistrano, CA (USA)",06 MAR 2022
26:35.63,Micah Kemboi KOGO,30 JUN 1986,KEN,1,"Boudewijnstadion, Bruxelles (BEL)",25 AUG 2006
26:36.26,Paul KOECH,25 JUN 1969,KEN,2,Bruxelles (BEL),22 AUG 1997
26:37.25,Zersenay TADESE,01 JAN 1982,ERI,2,"Boudewijnstadion, Bruxelles (BEL)",25 AUG 2006
26:38.08,Salah HISSOU,16 JAN 1972,MAR,1,Bruxelles (BEL),23 AUG 1996
26:38.76,Ahmad Hassan ABDULLAH,04 APR 1981,QAT,3,"Boudewijnstadion, Bruxelles (BEL)",05 SEP 2003
26:39.69,Sileshi SIHINE,29 JAN 1983,ETH,1,"FBK Stadium, Hengelo (NED)",31 MAY 2004
26:39.77,Boniface KIPROP,12 OCT 1985,UGA,2,"Boudewijnstadion, Bruxelles (BEL)",26 AUG 2005
26:41.58,Haile GEBRSELASSIE,18 APR 1973,ETH,2,"FBK Stadium, Hengelo (NED)",31 MAY 2004
26:41.75,Samuel Kamau WANJIRU,10 NOV 1986,KEN,3,"Boudewijnstadion, Bruxelles (BEL)",26 AUG 2005
26:41.95,Boniface KIPROP,12 OCT 1985,UGA,3,"Boudewijnstadion, Bruxelles (BEL)",25 AUG 2006
26:43.16,Kenenisa BEKELE,13 JUN 1982,ETH,1,"Boudewijnstadion, Bruxelles (BEL)",16 SEP 2011
26:43.53,Haile GEBRSELASSIE,18 APR 1973,ETH,1,"FBK Stadium, Hengelo (NED)",05 JUN 1995
26:43.98,Lucas Kimeli ROTICH,16 APR 1990,KEN,2,"Boudewijnstadion, Bruxelles (BEL)",16 SEP 2011
26:44.36,Galen RUPP,08 MAY 1986,USA,1,"Hayward Field, Eugene, OR (USA)",30 MAY 2014
26:44.73,Selemon BAREGA,20 JAN 2000,ETH,1,"FBK Stadium, Hengelo (NED)",05 JUN 2022
26:45.91,Tadese WORKU,20 JAN 2002,ETH,2,"FBK Stadium, Hengelo (NED)",05 JUN 2022
26:46.13,Berihu AREGAWI,28 FEB 2001,ETH,3,"FBK Stadium, Hengelo (NED)",05 JUN 2022
26:46.19,Kenenisa BEKELE,13 JUN 1982,ETH,1,"Boudewijnstadion, Bruxelles (BEL)",14 SEP 2007
26:46.31,Kenenisa BEKELE,13 JUN 1982,ETH,1,"Olympiastadion, Berlin (GER)",17 AUG 2009
26:46.44,Paul TERGAT,17 JUN 1969,KEN,1,Bruxelles (BEL),28 AUG 1998
26:46.57,Mo FARAH,23 MAR 1983,GBR,1,"Hayward Field, Eugene, OR (USA)",03 JUN 2011
26:47.89,Paul KOECH,25 JUN 1969,KEN,2,Bruxelles (BEL),28 AUG 1998
26:48.00,Galen RUPP,08 MAY 1986,USA,3,"Boudewijnstadion, Bruxelles (BEL)",16 SEP 2011
26:48.35,Imane MERGA,15 OCT 1988,ETH,2,"Hayward Field, Eugene, OR (USA)",03 JUN 2011
26:48.36,Joshua CHEPTEGEI,12 SEP 1996,UGA,1,"Khalifa International Stadium, Doha (QAT)",06 OCT 2019
26:48.73,Sileshi SIHINE,29 JAN 1983,ETH,1,"FBK Stadium, Hengelo (NED)",26 MAY 2007
26:48.95,Hagos GEBRHIWET,11 MAY 1994,ETH,1,Hengelo (NED),17 JUL 2019
26:48.99,Josphat Kipkoech BETT,12 JUN 1990,KEN,3,"Hayward Field, Eugene, OR (USA)",03 JUN 2011
26:49.02,Eliud KIPCHOGE,05 NOV 1984,KEN,2,"FBK Stadium, Hengelo (NED)",26 MAY 2007
26:49.20,Moses Ndiema MASAI,01 JUN 1986,KEN,2,"Boudewijnstadion, Bruxelles (BEL)",14 SEP 2007
26:49.34,Yomif KEJELCHA,01 AUG 1997,ETH,2,"Khalifa International Stadium, Doha (QAT)",06 OCT 2019
26:49.38,Sammy KIPKETER,29 SEP 1981,KEN,1,Bruxelles (BEL),30 AUG 2002
