Mark,Competitor,DOB,Nat,Pos,Venue,Date
43.03,Wayde VAN NIEKERK,15 JUL 1992,RSA,1,"Estádio Olímpico, Rio de Janeiro (BRA)",14 AUG 2016
43.18,Michael JOHNSON,13 SEP 1967,USA,1,"La Cartuja, Sevilla (ESP)",26 AUG 1999
43.29,Butch REYNOLDS,08 JUN 1964,USA,1f1,"Letzigrund, Zürich (SUI)",17 AUG 1988
43.39,Michael JOHNSON,13 SEP 1967,USA,1,"Ullevi Stadium, Göteborg (SWE)",09 AUG 1995
43.44,Michael JOHNSON,13 SEP 1967,USA,1,"Atlanta, GA (USA)",19 JUN 1996
43.45,Jeremy WARINER,31 JAN 1984,USA,1,"Yanmar Stadium Nagai, Osaka (JPN)",31 AUG 2007
43.45,Michael NORMAN,03 DEC 1997,USA,1f3,"Torrance, CA (USA)",20 APR 2019
43.48,Wayde VAN NIEKERK,15 JUL 1992,RSA,1,"National Stadium, Beijing (CHN)",26 AUG 2015
43.48,Steven GARDINER,12 SEP 1995,BAH,1,"Khalifa International Stadium, Doha (QAT)",04 OCT 2019
43.49,Michael JOHNSON,13 SEP 1967,USA,1,"Olympic Stadium, Atlanta, GA (USA)",29 JUL 1996
43.5,Quincy WATTS,19 JUN 1970,USA,1,"Estadio Olímpico, Barcelona (ESP)",05 AUG 1992
43.5,Jeremy WARINER,31 JAN 1984,USA,1f1,Stockholm (SWE),07 AUG 2007
43.56,Michael NORMAN,03 DEC 1997,USA,1,"Hayward Field, Eugene, OR (USA)",25 JUN 2022
43.6,Michael NORMAN,03 DEC 1997,USA,1,"Hayward Field, Eugene, OR (USA)",28 MAY 2022
43.61,Michael NORMAN,03 DEC 1997,USA,1,"Eugene, OR (USA)",08 JUN 2018
43.62,Jeremy WARINER,31 JAN 1984,USA,1f1,"Stadio Olimpico, Roma (ITA)",14 JUL 2006
43.62,Wayde VAN NIEKERK,15 JUL 1992,RSA,1,"Stade Olympique de la Pontaise, Lausanne (SUI)",06 JUL 2017
43.64,Fred KERLEY,07 MAY 1995,USA,1,"Drake Stadium, Des Moines, IA (USA)",27 JUL 2019
43.65,Michael JOHNSON,13 SEP 1967,USA,1,"Gottlieb-Daimler Stadion, Stuttgart (GER)",17 AUG 1993
43.65,LaShawn MERRITT,27 JUN 1986,USA,2,"National Stadium, Beijing (CHN)",26 AUG 2015
43.66,Michael JOHNSON,13 SEP 1967,USA,1,"Sacramento, CA (USA)",16 JUN 1995
43.66,Michael JOHNSON,13 SEP 1967,USA,1f1,Lausanne (SUI),03 JUL 1996
43.68,Michael JOHNSON,13 SEP 1967,USA,1f1,Zürich (SUI),12 AUG 1998
43.68,Michael JOHNSON,13 SEP 1967,USA,1,"Sacramento, CA (USA)",16 JUL 2000
43.7,Fred KERLEY,07 MAY 1995,USA,1sf1,"Austin, TX (USA)",26 MAY 2017
43.7,Champion ALLISON,05 NOV 1998,USA,2,"Hayward Field, Eugene, OR (USA)",25 JUN 2022
43.71,Quincy WATTS,19 JUN 1970,USA,1sf2,"Estadio Olímpico, Barcelona (ESP)",03 AUG 1992
43.72,Isaac MAKWALA,24 SEP 1985,BOT,1f1,La Chaux-de-Fonds (SUI),05 JUL 2015
43.73,Wayde VAN NIEKERK,15 JUL 1992,RSA,1,"Stade Louis II, Monaco (MON)",21 JUL 2017
43.74,Michael JOHNSON,13 SEP 1967,USA,1,"Eugene, OR (USA)",19 JUN 1993
43.74,LaShawn MERRITT,27 JUN 1986,USA,1,"Luzhniki Stadion, Moskva (RUS)",13 AUG 2013
43.74,Kirani JAMES,01 SEP 1992,GRN,1,"Stade Olympique de la Pontaise, Lausanne (SUI)",03 JUL 2014
43.75,Michael JOHNSON,13 SEP 1967,USA,1,"Waco, TX (USA)",19 APR 1997
43.75,LaShawn MERRITT,27 JUN 1986,USA,1,"National Stadium, Beijing (CHN)",21 AUG 2008
43.76,Michael JOHNSON,13 SEP 1967,USA,1,"New York, NY (USA)",21 JUL 1998
43.76,Kirani JAMES,01 SEP 1992,GRN,2,"Estádio Olímpico, Rio de Janeiro (BRA)",14 AUG 2016
43.78,Kirani JAMES,01 SEP 1992,GRN,3,"National Stadium, Beijing (CHN)",26 AUG 2015
43.79,Michael NORMAN,03 DEC 1997,USA,2,"Drake Stadium, Des Moines, IA (USA)",27 JUL 2019
43.81,Danny EVERETT,01 NOV 1966,USA,1,"New Orleans, LA (USA)",26 JUN 1992
43.82,Jeremy WARINER,31 JAN 1984,USA,1,"Letzigrund, Zürich (SUI)",29 AUG 2008
43.83,Quincy WATTS,19 JUN 1970,USA,1,Zürich (SUI),19 AUG 1992
43.84,Michael JOHNSON,13 SEP 1967,USA,1,"Olympic Stadium, Sydney (AUS)",25 SEP 2000
43.84,Isaac MAKWALA,24 SEP 1985,BOT,2,"Stade Louis II, Monaco (MON)",21 JUL 2017
43.85,LaShawn MERRITT,27 JUN 1986,USA,3,"Estádio Olímpico, Rio de Janeiro (BRA)",14 AUG 2016
43.85,Randolph ROSS,01 JAN 2001,USA,1,"Hayward Field, Eugene, OR (USA)",11 JUN 2021
43.85,Steven GARDINER,12 SEP 1995,BAH,1,"National Stadium, Tokyo (JPN)",05 AUG 2021
43.86,Lee EVANS,25 FEB 1947,USA,1,"Estadio Olímpico, Ciudad de México (MEX)",18 OCT 1968
43.86,Michael JOHNSON,13 SEP 1967,USA,1,Oslo (NOR),21 JUL 1995
43.86,Jeremy WARINER,31 JAN 1984,USA,1,Paris (FRA),18 JUL 2008
43.87,Steve LEWIS,16 MAY 1969,USA,1,"Olympic Stadium, Jamsil, Seoul (KOR)",28 SEP 1988
43.87,Steven GARDINER,12 SEP 1995,BAH,1,"Suhaim bin Hamad Stadium, Doha (QAT)",04 MAY 2018
43.88,Michael JOHNSON,13 SEP 1967,USA,1,Zürich (SUI),16 AUG 1995
43.88,Kirani JAMES,01 SEP 1992,GRN,1sf1,"National Stadium, Tokyo (JPN)",02 AUG 2021
43.89,Steven GARDINER,12 SEP 1995,BAH,1sf1,"Olympic Stadium, London (GBR)",06 AUG 2017
43.9,Michael JOHNSON,13 SEP 1967,USA,1,Madrid (ESP),06 SEP 1994
43.91,Butch REYNOLDS,08 JUN 1964,USA,2,"Atlanta, GA (USA)",19 JUN 1996
43.91,Jeremy WARINER,31 JAN 1984,USA,1,Paris (FRA),08 JUL 2006
43.91,Muzala SAMUKONGA,09 DEC 2002,ZAM,1f1,"National Stadium, Gaborone (BOT)",29 APR 2023
43.92,Michael JOHNSON,13 SEP 1967,USA,1f2,"Stade Olympique de la Pontaise, Lausanne (SUI)",02 JUL 1999
43.92,Michael JOHNSON,13 SEP 1967,USA,1,"Eugene, OR (USA)",24 JUN 2000
43.92,LaShawn MERRITT,27 JUN 1986,USA,2,"Stade Olympique de la Pontaise, Lausanne (SUI)",03 JUL 2014
43.92,Isaac MAKWALA,24 SEP 1985,BOT,1f1,"Moratalaz, Madrid (ESP)",14 JUL 2017
43.93,Butch REYNOLDS,08 JUN 1964,USA,1,"Indianapolis, IN (USA)",20 JUL 1988
43.93,Butch REYNOLDS,08 JUN 1964,USA,2,"Olympic Stadium, Jamsil, Seoul (KOR)",28 SEP 1988
43.93,Jeremy WARINER,31 JAN 1984,USA,1,"Olympiastadion, Helsinki (FIN)",12 AUG 2005
43.93,Youssef Ahmed MASRAHI,31 DEC 1987,KSA,1h2,"National Stadium, Beijing (CHN)",23 AUG 2015
43.93,Rusheen MCDONALD,17 AUG 1992,JAM,2h2,"National Stadium, Beijing (CHN)",23 AUG 2015
43.93,Anthony José ZAMBRANO,17 JAN 1998,COL,2sf1,"National Stadium, Tokyo (JPN)",02 AUG 2021
43.94,Michael JOHNSON,13 SEP 1967,USA,1,"Olympiastadion, Berlin (GER)",27 AUG 1993
43.94,Kirani JAMES,01 SEP 1992,GRN,1,"Olympic Stadium, London (GBR)",06 AUG 2012
43.94,Akeem BLOOMFIELD,10 NOV 1997,JAM,2,"Eugene, OR (USA)",08 JUN 2018
43.95,Michael JOHNSON,13 SEP 1967,USA,1sf1,"La Cartuja, Sevilla (ESP)",24 AUG 1999
43.95,Kirani JAMES,01 SEP 1992,GRN,1,"Hayward Field, Eugene, OR (USA)",30 MAY 2015
43.95,Isaac MAKWALA,24 SEP 1985,BOT,1,"Letzigrund, Zürich (SUI)",24 AUG 2017
43.96,Michael JOHNSON,13 SEP 1967,USA,1,"Stade Louis II, Monaco (MON)",08 AUG 1998
43.96,LaShawn MERRITT,27 JUN 1986,USA,2,"Yanmar Stadium Nagai, Osaka (JPN)",31 AUG 2007
43.96,Kirani JAMES,01 SEP 1992,GRN,1,Paris (FRA),06 JUL 2013
43.96,Wayde VAN NIEKERK,15 JUL 1992,RSA,1,Paris (FRA),04 JUL 2015
43.97,Larry JAMES,06 NOV 1947,USA,2,"Estadio Olímpico, Ciudad de México (MEX)",18 OCT 1968
43.97,Quincy WATTS,19 JUN 1970,USA,1sf1,"New Orleans, LA (USA)",24 JUN 1992
43.97,Kirani JAMES,01 SEP 1992,GRN,1,"Hayward Field, Eugene, OR (USA)",31 MAY 2014
43.97,LaShawn MERRITT,27 JUN 1986,USA,2,"Hayward Field, Eugene, OR (USA)",31 MAY 2014
