Mark,Competitor,DOB,Nat,Pos,Venue,Date
4:44.79,Hicham EL GUERROUJ,14 SEP 1974,MAR,1.0,"Olympiastadion, Berlin (GER)",07 SEP 1999
4:46.88,Ali SAIDI-SIEF,15 MAR 1978,ALG,1.0,Strasbourg (FRA),19 JUN 2001
4:47.88,Noureddine MORCELI,28 FEB 1970,ALG,1.0,Paris (FRA),03 JUL 1995
4:48.36,Hicham EL GUERROUJ,14 SEP 1974,MAR,1.0,Gateshead (GBR),19 JUL 1998
4:48.69,Vénuste NIYONGABO,09 DEC 1973,BDI,1.0,Nice (FRA),12 JUL 1995
4:48.74,John Kemboi KIBOWEN,21 APR 1969,KEN,,Hechtel (BEL),01 AUG 1998
4:49.00,Vénuste NIYONGABO,09 DEC 1973,BDI,1.0,Rieti (ITA),03 SEP 1997
4:49.55,Noureddine MORCELI,28 FEB 1970,ALG,1.0,Nice (FRA),10 JUL 1996
4:50.01,Jakob INGEBRIGTSEN,19 SEP 2000,NOR,1.0,"Bislett Stadion, Oslo (NOR)",11 JUN 2020
4:50.08,Noah NGENY,02 NOV 1978,KEN,1.0,Stockholm (SWE),30 JUL 1999
4:50.76,Craig MOTTRAM,18 JUN 1980,AUS,1.0,Melbourne (AUS),09 MAR 2006
4:50.81,Saïd AOUITA,02 NOV 1959,MAR,1.0,Paris (FRA),16 JUL 1987
4:51.17,Hicham EL GUERROUJ,14 SEP 1974,MAR,1.0,"Olympiastadion, Berlin (GER)",31 AUG 2001
4:51.30,Daniel KOMEN,17 MAY 1976,KEN,1.0,Milano (ITA),05 JUN 1998
4:51.39,Steve CRAM,14 OCT 1960,GBR,1.0,Budapest (HUN),04 AUG 1985
4:51.52,John WALKER,12 JAN 1952,NZL,1.0,Oslo (NOR),30 JUN 1976
4:51.98,Saïd AOUITA,02 NOV 1959,MAR,1.0,Bruxelles (BEL),05 SEP 1986
4:52.20,Thomas WESSINGHAGE,22 FEB 1952,FRG,1.0,Ingelheim (FRG),31 AUG 1982
4:52.23,Daniel KOMEN,17 MAY 1976,KEN,1.0,Bratislava (SVK),09 JUN 1998
4:52.30,Vénuste NIYONGABO,09 DEC 1973,BDI,1.0,Bratislava (SVK),29 MAY 1996
4:52.40,José Manuel ABASCAL,17 MAR 1958,ESP,1.0,Santander (ESP),07 SEP 1986
4:52.44,Jim SPIVEY,07 MAR 1960,USA,1.0,Lausanne (SUI),15 SEP 1987
4:52.53,Moses KIPTANUI,01 OCT 1970,KEN,1.0,"Olympiastadion, Berlin (GER)",21 AUG 1992
4:52.82,Peter ELLIOTT,09 OCT 1962,GBR,2.0,Lausanne (SUI),15 SEP 1987
4:52.82,Luke KIPKOSGEI,27 NOV 1975,KEN,2.0,Bratislava (SVK),09 JUN 1998
4:52.88,Ismail SGHYR,16 MAR 1972,MAR,2.0,Nice (FRA),12 JUL 1995
4:53.06,Jack BUCKNER,22 SEP 1961,GBR,3.0,Lausanne (SUI),15 SEP 1987
4:53.12,Mehdi BAALA,17 AUG 1978,FRA,1.0,Strasbourg (FRA),23 JUN 2005
4:53.21,Vénuste NIYONGABO,09 DEC 1973,BDI,1.0,Selargius (ITA),20 SEP 1995
4:53.44,Luke KIPKOSGEI,27 NOV 1975,KEN,2.0,Milano (ITA),05 JUN 1998
4:53.69,Gary STAINES,03 JUL 1963,GBR,4.0,Lausanne (SUI),15 SEP 1987
