Mark,Competitor,DOB,Nat,Pos,Venue,Date
11:41.85,Norica CÎMPEAN,22 MAR 1972,ROU,1,Bucureşti (ROU),06 FEB 1999
11:48.24,Ileana SALVADOR,16 JAN 1962,ITA,1,Padova (ITA),29 AUG 1993
11:50.30,Marina NOVIKOVA,01 MAR 1989,RUS,1,Moskva (RUS),18 JUL 2016
11:52.01,Beate ANDERS,04 FEB 1968,GER,1,Lapinlahti (FIN),27 JUN 1993
11:52.38,Anežka DRAHOTOVÁ,22 JUL 1995,CZE,1,"Mestský Stadion, Ostrava (CZE)",26 MAY 2015
11:57.00,Elisa RIGAUDO,17 JUN 1980,ITA,1,Genova (ITA),21 FEB 2004
11:57.36,Yelena NIKOLAYEVA,01 FEB 1966,RUS,1,Formia (ITA),18 MAY 1996
11:57.80,Erica ALFRIDI,22 FEB 1968,ITA,1,Milano (ITA),06 JUN 2001
11:58.17,Elisabetta PERRONE,09 JUL 1968,ITA,2,Milano (ITA),06 JUN 2001
11:59.25,Olimpiada IVANOVA,29 AUG 1970,RUS,3,Milano (ITA),06 JUN 2001
11:59.60,Sari ESSAYAH,21 FEB 1967,FIN,2,Lapinlahti (FIN),27 JUN 1993
11:59.96,Melanie SEEGER,08 JAN 1977,GER,1,Leipzig (GER),22 FEB 2003
12:00.13,Erica ALFRIDI,22 FEB 1968,ITA,1,Genova (ITA),22 FEB 1997
12:00.53,Kjersti TYSSE-PLÄTZER,18 JAN 1972,NOR,1,Lillehammer (NOR),31 JUL 2009
12:00.58,Claudia IOVAN,25 FEB 1978,ROU,2,Milano (ITA),09 JUN 1999
12:00.87,María PÉREZ,29 APR 1996,ESP,1,Huelva (ESP),08 JUN 2018
12:02.4h,Irina PETROVA,25 MAY 1985,RUS,1,St. Petersburg (RUS),22 MAY 2006
12:04.86,Sabine ZIMMER-KRANTZ,06 FEB 1981,GER,1,Sindelfingen (GER),19 FEB 2005
12:05.72,Brigita VIRBALYTĖ-DIMSIENĖ,01 FEB 1985,LTU,,Utena (LTU),02 JUN 2018
12:06.05,Raquel GONZÁLEZ,16 NOV 1989,ESP,1,Mataró (ESP),06 JUL 2016
12:06.63,Yelena NIKOLAYEVA,01 FEB 1966,RUS,1,Formia (ITA),13 JUL 1997
12:07.41,Eleonora Anna GIORGI,14 SEP 1989,ITA,,"San Diego, CA (USA)",17 JAN 2015
12:08.30,Susana FEITOR,28 JAN 1975,POR,1,Vila Real de Santo António (POR),03 JUN 2001
12:08.58,Beate GUMMELT,04 FEB 1968,GER,2,Formia (ITA),18 MAY 1996
12:10.31,Zhuo CHEN,,CHN,1,Zhengzhou (CHN),27 AUG 2005
12:11.12,Brigita VIRBALYTĖ-DIMSIENĖ,01 FEB 1985,LTU,2,"Mestský Stadion, Ostrava (CZE)",26 MAY 2015
12:11.27,Júlia TAKÁCS,29 JUN 1989,ESP,1,Huelva (ESP),12 JUN 2014
12:11.3h,Olimpiada IVANOVA,29 AUG 1970,RUS,1,Moskva (RUS),23 JAN 1997
12:11.70,Miao YU,02 APR 1989,CHN,2,Zhengzhou (CHN),27 AUG 2005
12:14.42,Annarita SIDOTI,25 JUL 1969,ITA,3,Formia (ITA),18 MAY 1996
12:14.48,Kerry SAXBY,02 JUN 1961,AUS,1,Sydney (AUS),20 FEB 1988
12:15.89,Clémence BERETTA,22 DEC 1997,FRA,1,"Parc de La Colombiere, Epinal (FRA)",07 MAY 2023
12:16.00,Katarzyna RADTKE,31 AUG 1969,POL,,Sopot (POL),01 MAY 1993
