Mark,Competitor,DOB,Nat,Pos,Venue,Date
12:16.10,Laura GARCÍA-CARO,16 APR 1995,ESP,1,Huelva (ESP),14 JUN 2017
12:17.50,Ana CABECINHA,29 APR 1984,POR,2,Huelva (ESP),12 JUN 2014
12:17.59,Vera SANTOS,03 DEC 1981,POR,1,Lisboa (POR),12 JUN 2010
12:17.81,Natalya FEDOSKINA,25 JUN 1980,RUS,1,Formia (ITA),03 JUN 2000
12:18.15,Rossella GIORDANO,01 DEC 1972,ITA,4,Formia (ITA),18 MAY 1996
12:18.18,Hong LIU,12 MAY 1987,CHN,3,Zhengzhou (CHN),27 AUG 2005
12:18.19,Gillian O'SULLIVAN,21 AUG 1976,IRL,1,Castleisland (IRL),11 JUN 2000
12:18.86,Kate VEALE,05 JAN 1994,IRL,1,Tullamore (IRL),23 JUL 2011
12:19.3h,Tamara KOVALENKO,05 JUN 1964,RUS,2,Moskva (RUS),23 JAN 1997
12:20.09,Júlia TAKÁCS,29 JUN 1989,ESP,1,Huelva (ESP),10 JUN 2015
12:20.3h,Natalya TROFIMOVA,17 JAN 1975,RUS,3,Moskva (RUS),23 JAN 1997
12:20.44,María VASCO,26 DEC 1975,ESP,,Gavá (ESP),13 JUN 2004
12:20.57,Cristiana PELLINO,21 SEP 1970,ITA,1,San Marino (SMR),04 JUL 1996
12:20.66,Sari ESSAYAH,21 FEB 1967,FIN,1,Lapinlahti (FIN),24 JUN 1990
12:20.9h,Rimma MAKAROVA,18 JUL 1963,RUS,4,Moskva (RUS),23 JAN 1997
12:21.26,Annarita SIDOTI,25 JUL 1969,ITA,2,Formia (ITA),13 JUL 1997
12:21.84,Brigita VIRBALYTĖ-DIMSIENĖ,01 FEB 1985,LTU,1,Kaunas (LTU),10 MAY 2014
12:22.49,Sylwia KORZENIOWSKA,25 APR 1980,POL,1,Sotteville-lès-Rouen (FRA),07 MAY 2006
12:23.42,Taika NUMMI,12 OCT 1997,FIN,1,Espoo (FIN),06 JUN 2016
12:23.69,Yang LIU,26 FEB 1992,CHN,1,Yantai (CHN),11 OCT 2006
12:23.71,Olga RYABINKINA,24 SEP 1976,RUS,2,Formia (ITA),03 JUN 2000
12:23.93,Laura GARCÍA-CARO,16 APR 1995,ESP,2,Huelva (ESP),08 JUN 2018
12:24.51,Raquel GONZÁLEZ,16 NOV 1989,ESP,2,Huelva (ESP),10 JUN 2015
12:24.70,Lijun ZHAI,28 NOV 1986,CHN,4,Zhengzhou (CHN),27 AUG 2005
12:24.70,Bethan DAVIES,07 NOV 1990,GBR,1,Cardiff (GBR),11 JUN 2016
12:25.01,Mayumi KAWASAKI,10 MAY 1980,JPN,1,Naka (JPN),02 JUN 2007
12:25.1h,Madelein SVENSSON,20 JUL 1969,SWE,1,Strömstad (SWE),18 JUL 1993
12:25.50,Michaela HAFNER,02 AUG 1973,ITA,2,San Marino (SMR),04 JUL 1996
12:26.24,Sabine ZIMMER-KRANTZ,06 FEB 1981,GER,1,Berlin (GER),26 JUN 1998
12:26.32,Anne MANNING,13 NOV 1959,AUS,3,Melbourne (AUS),07 FEB 1991
12:26.45,Bethan DAVIES,07 NOV 1990,GBR,1,Cardiff (GBR),10 JUN 2017
12:27.0h,Anita LIEPIŅA,17 NOV 1967,LAT,1,Ventspils (LAT),16 AUG 1997
12:27.73,Tanya HOLLIDAY,21 SEP 1988,AUS,1,Adelaide (AUS),19 JAN 2013
12:28.11,Li ZHANG,22 MAY 1990,CHN,2,Yantai (CHN),11 OCT 2006
12:28.37,Sonata MILUŠAUSKAITĖ,21 AUG 1973,LTU,1,Alcanena (POR),11 MAR 2006
12:28.7h,Nadezhda RYASHKINA,22 JAN 1967,RUS,1,Moskva (RUS),06 JAN 1998
12:28.92,Elisa RIGAUDO,17 JUN 1980,ITA,1,Torino (ITA),07 JUN 2002
12:28.97,Sofiya BRODATSKAYA,24 OCT 1994,RUS,2,Moskva (RUS),18 JUL 2016
12:29.00,María José POVES,16 MAR 1978,ESP,2,Mataró (ESP),06 JUL 2016
12:29.38,Laura GARCÍA-CARO,16 APR 1995,ESP,3,Huelva (ESP),10 JUN 2015
12:30.58,Živilė VAICIUKEVIČIŪTĖ,03 APR 1996,LTU,1,Utena (LTU),02 JUN 2018
12:30.81,Taika NUMMI,12 OCT 1997,FIN,1,Turku (FIN),29 JUN 2016
12:31.89,Agnieszka DYGACZ,18 JUL 1985,POL,1,Kraków (POL),08 SEP 2012
12:32.07,Teresa ZUREK,29 JUL 1998,GER,1,Dessau (GER),16 JUN 2017
12:32.18,Vera SANTOS,03 DEC 1981,POR,1,Lisboa (POR),10 JUN 2009
12:33.51,Viktória MADARÁSZ,12 MAY 1985,HUN,3,"Mestský Stadion, Ostrava (CZE)",26 MAY 2015
12:34.20,Viktória MADARÁSZ,12 MAY 1985,HUN,1,Dubnica nad Váhom (SVK),30 AUG 2014
12:34.69,Kjersti TYSSE-PLÄTZER,18 JAN 1972,NOR,1,Askim (NOR),10 AUG 2007
12:35.03,Clémence BERETTA,22 DEC 1997,FRA,1,"Parc de La Colombiere, Epinal (FRA)",27 SEP 2020
12:35.17,Hua LI,15 JAN 1991,CHN,3,Yantai (CHN),11 OCT 2006
12:35.47,Emilie MENUET,27 SEP 1991,FRA,1,Vineuil (FRA),10 MAY 2015
12:35.6h,Yevdokiya KOROTKOVA,28 FEB 1979,RUS,1,Yerino (RUS),02 JUN 2013
12:35.62,Emilie MENUET,27 SEP 1991,FRA,1f2,Blois (FRA),07 MAY 2017
12:35.8h,Anna DRABENYA,15 AUG 1987,BLR,2,Yerino (RUS),02 JUN 2013
12:35.99,Mária KATERINKA CZAKOVÁ,02 OCT 1988,SVK,1,"x-bionic sphere, Šamorín (SVK)",11 SEP 2020
12:36.02,Paulina BUZIAK,16 DEC 1986,POL,1,Rzeszów (POL),15 SEP 2012
12:36.21,Natalie SAVILLE,07 SEP 1978,AUS,1,Sydney (CAN),09 DEC 1995
12:36.27,Olive LOUGHNANE,14 JAN 1976,IRL,1,Cork (IRL),17 JUL 2012
12:36.32,Emilie MENUET,27 SEP 1991,FRA,1,Blois (FRA),22 MAY 2016
12:36.83,Ainhoa PINEDO,17 FEB 1983,ESP,2,Huelva (ESP),14 JUN 2017
12:36.89,Emilie MENUET,27 SEP 1991,FRA,1f1,Laval (FRA),20 MAY 2018
12:36.97,Xinhua SONG,03 MAR 1991,CHN,4,Yantai (CHN),11 OCT 2006
12:37.1h,Nadezhda SERGEYEVA,12 MAR 1994,RUS,3,Yerino (RUS),02 JUN 2013
12:37.41,Viktória MADARÁSZ,12 MAY 1985,HUN,1,"x-bionic sphere, Šamorín (SVK)",02 JUN 2021
12:37.82,Alana BARBER,08 JUL 1987,NZL,1,Auckland (NZL),05 MAR 2017
12:38.68,Eliška MARTÍNKOVÁ,27 JAN 2002,CZE,1,"Atletický stadion Turnov, Turnov (CZE)",24 MAY 2022
12:38.72,Camille MOUTARD,11 JUL 2001,FRA,1,"Stade Colette Besson, Dijon (FRA)",07 MAY 2023
12:38.83,Raquel GONZÁLEZ,16 NOV 1989,ESP,1.0,Mataró (ESP),18 JUL 2015
12:39.62,Sara STEVENSON,15 OCT 1979,USA,,Abbotsford (CAN),25 MAY 2000
