Mark,Competitor,DOB,Nat,Pos,Venue,Date
29:01.03,Letesenbet GIDEY,20 MAR 1998,ETH,1,"FBK Stadium, Hengelo (NED)",08 JUN 2021
29:06.82,Sifan HASSAN,01 JAN 1993,NED,1,"FBK Stadium, Hengelo (NED)",06 JUN 2021
29:17.45,Almaz AYANA,21 NOV 1991,ETH,1,"Estádio Olímpico, Rio de Janeiro (BRA)",12 AUG 2016
29:29.73,Gudaf TSEGAY,23 JUN 1997,ETH,1,"Estadio Enrique Lopez Cuenca, Nerja (ESP)",23 JUN 2023
29:31.78,Junxia WANG,09 JAN 1973,CHN,1,Beijing (CHN),08 SEP 1993
29:32.53,Vivian Jepkemoi CHERUIYOT,11 SEP 1983,KEN,2,"Estádio Olímpico, Rio de Janeiro (BRA)",12 AUG 2016
29:36.67,Sifan HASSAN,01 JAN 1993,NED,1,"FBK Stadium, Hengelo (NED)",10 OCT 2020
29:37.80,Sifan HASSAN,01 JAN 1993,NED,1,"FBK Stadium, Hengelo (NED)",03 JUN 2023
29:39.42,Gudaf TSEGAY,23 JUN 1997,ETH,1,"Estádio José Vieira de Carvalho, Maia (POR)",08 MAY 2021
29:42.56,Tirunesh DIBABA,01 OCT 1985,ETH,3,"Estádio Olímpico, Rio de Janeiro (BRA)",12 AUG 2016
29:47.42,Grace Loibach NAWOWUNA,10 NOV 2003,KEN,2,"FBK Stadium, Hengelo (NED)",03 JUN 2023
29:50.77,Kalkidan GEZAHEGNE,08 MAY 1991,BRN,2,"Estádio José Vieira de Carvalho, Maia (POR)",08 MAY 2021
29:53.51,Alice Aprot NAWOWUNA,02 JAN 1994,KEN,4,"Estádio Olímpico, Rio de Janeiro (BRA)",12 AUG 2016
29:53.80,Meselech MELKAMU,19 APR 1985,ETH,1,Utrecht (NED),14 JUN 2009
29:54.66,Tirunesh DIBABA,01 OCT 1985,ETH,1,"National Stadium, Beijing (CHN)",15 AUG 2008
29:55.32,Sifan HASSAN,01 JAN 1993,NED,1,"National Stadium, Tokyo (JPN)",07 AUG 2021
