Mark,Competitor,DOB,Nat,Pos,Venue,Date
3:49.11,Faith KIPYEGON,10 JAN 1994,KEN,1,"Stadio Luigi Ridolfi, Firenze (ITA)",02 JUN 2023
3:50.07,Genzebe DIBABA,08 FEB 1991,ETH,1,"Stade Louis II, Monaco (MON)",17 JUL 2015
3:50.37,Faith KIPYEGON,10 JAN 1994,KEN,1,"Stade Louis II, Monaco (MON)",10 AUG 2022
3:50.46,Yunxia QU,25 DEC 1972,CHN,1,Beijing (CHN),11 SEP 1993
3:50.98,Jiang BO,13 MAR 1977,CHN,1,Shanghai (CHN),18 OCT 1997
3:51.07,Faith KIPYEGON,10 JAN 1994,KEN,1,"Stade Louis II, Monaco (MON)",09 JUL 2021
3:51.34,Yinglai LANG,22 AUG 1979,CHN,2,Shanghai (CHN),18 OCT 1997
3:51.92,Junxia WANG,09 JAN 1973,CHN,2,Beijing (CHN),11 SEP 1993
3:51.95,Sifan HASSAN,01 JAN 1993,NED,1,"Khalifa International Stadium, Doha (QAT)",05 OCT 2019
3:52.47,Tatyana KAZANKINA,17 DEC 1951,URS,1,Zürich (SUI),13 AUG 1980
3:52.59,Faith KIPYEGON,10 JAN 1994,KEN,1,"Hayward Field, Eugene, OR (USA)",28 MAY 2022
3:52.96,Faith KIPYEGON,10 JAN 1994,KEN,1,"Hayward Field, Eugene, OR (USA)",18 JUL 2022
3:53.11,Faith KIPYEGON,10 JAN 1994,KEN,1,"National Stadium, Tokyo (JPN)",06 AUG 2021
3:53.23,Faith KIPYEGON,10 JAN 1994,KEN,1,"Hayward Field, Eugene, OR (USA)",21 AUG 2021
3:53.60,Sifan HASSAN,01 JAN 1993,NED,2,"Stade Louis II, Monaco (MON)",09 JUL 2021
3:53.63,Sifan HASSAN,01 JAN 1993,NED,1,"Stadio Luigi Ridolfi, Firenze (ITA)",10 JUN 2021
3:53.91,Lili YIN,11 NOV 1979,CHN,3,Shanghai (CHN),18 OCT 1997
3:53.91,Faith KIPYEGON,10 JAN 1994,KEN,2,"Stadio Luigi Ridolfi, Firenze (ITA)",10 JUN 2021
3:53.96,Paula IVAN,20 JUL 1963,ROU,1,"Olympic Stadium, Jamsil, Seoul (KOR)",01 OCT 1988
3:53.97,Lixin LAN,14 FEB 1979,CHN,4,Shanghai (CHN),18 OCT 1997
3:54.01,Gudaf TSEGAY,23 JUN 1997,ETH,1,"Stadion Śląski, Chorzów (POL)",20 JUN 2021
3:54.03,Gudaf TSEGAY,23 JUN 1997,ETH,1,"Complexe Sportif Prince Moulay Abdellah, Rabat (MAR)",28 MAY 2023
3:54.11,Genzebe DIBABA,08 FEB 1991,ETH,1,Barcelona (ESP),08 JUL 2015
3:54.21,Gudaf TSEGAY,23 JUN 1997,ETH,2,"Hayward Field, Eugene, OR (USA)",28 MAY 2022
3:54.22,Faith KIPYEGON,10 JAN 1994,KEN,2,"Khalifa International Stadium, Doha (QAT)",05 OCT 2019
3:54.23,Olga DVIRNA,11 FEB 1953,URS,1f1,Kiev (URS),27 JUL 1982
3:54.38,Gudaf TSEGAY,23 JUN 1997,ETH,3,"Khalifa International Stadium, Doha (QAT)",05 OCT 2019
3:54.50,Laura MUIR,09 MAY 1993,GBR,2,"National Stadium, Tokyo (JPN)",06 AUG 2021
3:54.52,Ling ZHANG,13 APR 1980,CHN,5,Shanghai (CHN),18 OCT 1997
3:54.52,Gudaf TSEGAY,23 JUN 1997,ETH,2,"Hayward Field, Eugene, OR (USA)",18 JUL 2022
3:54.99,Shelby HOULIHAN,08 FEB 1993,USA,4,"Khalifa International Stadium, Doha (QAT)",05 OCT 2019
3:55.0h,Tatyana KAZANKINA,17 DEC 1951,URS,1,Moskva (URS),06 JUL 1980
3:55.01,Lixin LAN,14 FEB 1979,CHN,h,Shanghai (CHN),17 OCT 1997
3:55.07,Yanmei DONG,16 FEB 1977,CHN,6,Shanghai (CHN),18 OCT 1997
3:55.22,Laura MUIR,09 MAY 1993,GBR,1,Paris (FRA),27 AUG 2016
3:55.28,Laura MUIR,09 MAY 1993,GBR,3,"Hayward Field, Eugene, OR (USA)",18 JUL 2022
3:55.30,Hassiba BOULMERKA,10 JUL 1968,ALG,1,"Estadio Olímpico, Barcelona (ESP)",08 AUG 1992
3:55.30,Sifan HASSAN,01 JAN 1993,NED,,"Stade Louis II, Monaco (MON)",12 JUL 2019
3:55.33,Süreyya AYHAN-KOP,06 SEP 1978,TUR,1,"Boudewijnstadion, Bruxelles (BEL)",05 SEP 2003
3:55.38,Yunxia QU,25 DEC 1972,CHN,h,Shanghai (CHN),17 OCT 1997
3:55.47,Ling ZHANG,13 APR 1980,CHN,h,Shanghai (CHN),17 OCT 1997
3:55.47,Genzebe DIBABA,08 FEB 1991,ETH,1,"Complexe Sportif Prince Moulay Abdellah, Rabat (MAR)",16 JUN 2019
3:55.59,Laura MUIR,09 MAY 1993,GBR,3,"Stadio Luigi Ridolfi, Firenze (ITA)",10 JUN 2021
3:55.60,Süreyya AYHAN-KOP,06 SEP 1978,TUR,1,Zürich (SUI),15 AUG 2003
3:55.68,Yuliya CHIZHENKO,30 AUG 1979,RUS,1,Paris (FRA),08 JUL 2006
3:55.76,Laura MUIR,09 MAY 1993,GBR,5,"Khalifa International Stadium, Doha (QAT)",05 OCT 2019
3:55.82,Yanmei DONG,16 FEB 1977,CHN,h,Shanghai (CHN),17 OCT 1997
3:55.86,Sifan HASSAN,01 JAN 1993,NED,3,"National Stadium, Tokyo (JPN)",06 AUG 2021
3:55.93,Sifan HASSAN,01 JAN 1993,NED,2,"Complexe Sportif Prince Moulay Abdellah, Rabat (MAR)",16 JUN 2019
3:56.0h,Tatyana KAZANKINA,17 DEC 1951,URS,1,Podolsk (URS),28 JUN 1976
3:56.05,Sifan HASSAN,01 JAN 1993,NED,2,"Stade Louis II, Monaco (MON)",17 JUL 2015
3:56.12,Gabriela DEBUES-STAFFORD,13 SEP 1995,CAN,6,"Khalifa International Stadium, Doha (QAT)",05 OCT 2019
3:56.14,Zamira ZAYTSEVA,16 FEB 1953,URS,2f1,Kiev (URS),27 JUL 1982
3:56.14,Sifan HASSAN,01 JAN 1993,NED,1,"FBK Stadium, Hengelo (NED)",11 JUN 2017
3:56.18,Maryam Yusuf JAMAL,16 SEP 1984,BRN,1,Rieti (ITA),27 AUG 2006
3:56.22,Paula IVAN,20 JUL 1963,ROU,1,"Letzigrund, Zürich (SUI)",17 AUG 1988
3:56.22,Sifan HASSAN,01 JAN 1993,NED,1,"Stadio Olimpico, Roma (ITA)",08 JUN 2017
3:56.28,Genzebe DIBABA,08 FEB 1991,ETH,1,"Stadio Olimpico, Roma (ITA)",06 JUN 2019
3:56.28,Freweyni HAILU,12 FEB 2001,ETH,3,"Stade Louis II, Monaco (MON)",09 JUL 2021
3:56.29,Shannon ROWBURY,19 SEP 1984,USA,3,"Stade Louis II, Monaco (MON)",17 JUL 2015
3:56.31,Dong LIU,24 DEC 1973,CHN,h,Shanghai (CHN),17 OCT 1997
3:56.41,Faith KIPYEGON,10 JAN 1994,KEN,1,"Hayward Field, Eugene, OR (USA)",28 MAY 2016
3:56.43,Yelena SOBOLEVA,03 OCT 1982,RUS,2,Paris (FRA),08 JUL 2006
3:56.50,Tetyana POZDNYAKOVA,04 MAR 1956,URS,3f1,Kiev (URS),27 JUL 1982
3:56.54,Abeba AREGAWI,05 JUL 1990,ETH,1,"Stadio Olimpico, Roma (ITA)",31 MAY 2012
3:56.55,Maryam Yusuf JAMAL,16 SEP 1984,BRN,1,"Stadio Olimpico, Roma (ITA)",10 JUL 2009
3:56.56,Tatyana KAZANKINA,17 DEC 1951,URS,1,"Lenin Stadium, Moskva (URS)",01 AUG 1980
3:56.60,Abeba AREGAWI,05 JUL 1990,SWE,1,"Suhaim bin Hamad Stadium, Doha (QAT)",10 MAY 2013
3:56.63,Nadezhda RALLDUGINA,15 NOV 1957,URS,1,Praha (TCH),18 AUG 1984
3:56.63,Ciara MAGEEAN,12 MAR 1992,IRL,1,"Boudewijnstadion, Bruxelles (BEL)",02 SEP 2022
