Mark,Competitor,DOB,Nat,Pos,Venue,Date
14:05.20,Faith KIPYEGON,10 JAN 1994,KEN,1,"Stade Charléty, Paris (FRA)",09 JUN 2023
14:06.62,Letesenbet GIDEY,20 MAR 1998,ETH,1,"Estadio de Atletismo del Turia, Valencia (ESP)",07 OCT 2020
14:07.94,Letesenbet GIDEY,20 MAR 1998,ETH,2,"Stade Charléty, Paris (FRA)",09 JUN 2023
14:11.15,Tirunesh DIBABA,01 OCT 1985,ETH,1,"Bislett Stadion, Oslo (NOR)",06 JUN 2008
14:12.59,Almaz AYANA,21 NOV 1991,ETH,1,"Stadio Olimpico, Roma (ITA)",02 JUN 2016
14:12.88,Meseret DEFAR,19 NOV 1983,ETH,1,Stockholm (SWE),22 JUL 2008
14:12.98,Ejgayehu TAYE,10 FEB 2000,ETH,1,"Hayward Field, Eugene, OR (USA)",27 MAY 2022
14:13.31,Ejgayehu TAYE,10 FEB 2000,ETH,3,"Stade Charléty, Paris (FRA)",09 JUN 2023
14:13.32,Gudaf TSEGAY,23 JUN 1997,ETH,1,"FBK Stadium, Hengelo (NED)",08 JUN 2021
14:14.09,Ejgayehu TAYE,10 FEB 2000,ETH,2,"FBK Stadium, Hengelo (NED)",08 JUN 2021
14:14.32,Almaz AYANA,21 NOV 1991,ETH,1,"Shanghai Stadium, Shanghai (CHN)",17 MAY 2015
14:15.24,Senbere TEFERI,03 MAY 1995,ETH,3,"FBK Stadium, Hengelo (NED)",08 JUN 2021
14:15.41,Genzebe DIBABA,08 FEB 1991,ETH,1,Paris (FRA),04 JUL 2015
14:16.31,Almaz AYANA,21 NOV 1991,ETH,1,"Complexe Sportif Prince Moulay Abdellah, Rabat (MAR)",22 MAY 2016
14:16.63,Meseret DEFAR,19 NOV 1983,ETH,1,Oslo (NOR),15 JUN 2007
14:18.37,Hellen OBIRI,13 DEC 1989,KEN,1,"Stadio Olimpico, Roma (ITA)",08 JUN 2017
14:18.89,Almaz AYANA,21 NOV 1991,ETH,1,"Boudewijnstadion, Bruxelles (BEL)",09 SEP 2016
14:19.76,Genzebe DIBABA,08 FEB 1991,ETH,1,"Hayward Field, Eugene, OR (USA)",30 MAY 2015
14:20.36,Hellen OBIRI,13 DEC 1989,KEN,1,"Olympic Stadium, London (GBR)",21 JUL 2019
14:20.68,Agnes Jebet TIROP,23 OCT 1995,KEN,2,"Olympic Stadium, London (GBR)",21 JUL 2019
14:20.87,Vivian Jepkemoi CHERUIYOT,11 SEP 1983,KEN,1,"Olympiastadion, Stockholm (SWE)",29 JUL 2011
14:21.29,Genzebe DIBABA,08 FEB 1991,ETH,1,"Bislett Stadion, Oslo (NOR)",11 JUN 2015
14:21.75,Hellen OBIRI,13 DEC 1989,KEN,1,"Complexe Sportif Prince Moulay Abdellah, Rabat (MAR)",13 JUL 2018
14:21.97,Almaz AYANA,21 NOV 1991,ETH,2,Paris (FRA),04 JUL 2015
14:22.12,Sifan HASSAN,01 JAN 1993,NED,3,"Olympic Stadium, London (GBR)",21 JUL 2019
14:22.12,Hellen OBIRI,13 DEC 1989,KEN,1,"Stade Louis II, Monaco (MON)",14 AUG 2020
14:22.34,Sifan HASSAN,01 JAN 1993,NED,2,"Complexe Sportif Prince Moulay Abdellah, Rabat (MAR)",13 JUL 2018
14:22.47,Hellen OBIRI,13 DEC 1989,KEN,1,"Shanghai Stadium, Shanghai (CHN)",13 MAY 2017
14:22.51,Vivian Jepkemoi CHERUIYOT,11 SEP 1983,KEN,2,Oslo (NOR),15 JUN 2007
14:23.05,Lilian Kasait RENGERUK,03 MAY 1997,KEN,4,"Stade Charléty, Paris (FRA)",09 JUN 2023
14:23.14,Letesenbet GIDEY,20 MAR 1998,ETH,3,"Complexe Sportif Prince Moulay Abdellah, Rabat (MAR)",13 JUL 2018
14:23.33,Senbere TEFERI,03 MAY 1995,ETH,4,"Complexe Sportif Prince Moulay Abdellah, Rabat (MAR)",13 JUL 2018
14:23.45,Freweyni HAILU,12 FEB 2001,ETH,5,"Stade Charléty, Paris (FRA)",09 JUN 2023
14:23.46,Tirunesh DIBABA,01 OCT 1985,ETH,1,Rieti (ITA),07 SEP 2008
14:23.67,Margaret Chelimo KIPKEMBOI,09 FEB 1993,KEN,6,"Stade Charléty, Paris (FRA)",09 JUN 2023
14:23.68,Tirunesh DIBABA,01 OCT 1985,ETH,1,Paris (FRA),06 JUL 2013
14:23.75,Liliya SHOBUKHOVA,13 NOV 1977,RUS,1,Kazan (RUS),19 JUL 2008
14:23.92,Shelby HOULIHAN,08 FEB 1993,USA,1,"Jesuit High School Track, Portland, OR (USA)",10 JUL 2020
14:24.24,Agnes Jebet TIROP,23 OCT 1995,KEN,5,"Complexe Sportif Prince Moulay Abdellah, Rabat (MAR)",13 JUL 2018
14:24.53,Meseret DEFAR,19 NOV 1983,ETH,1,"New York, NY (USA)",03 JUN 2006
14:24.59,Letesenbet GIDEY,20 MAR 1998,ETH,2,"Hayward Field, Eugene, OR (USA)",27 MAY 2022
14:24.68,Elvan ABEYLEGESSE,11 SEP 1982,TUR,1,Bergen (NOR),11 JUN 2004
14:25.22,Genzebe DIBABA,08 FEB 1991,ETH,1,"Hayward Field, Eugene, OR (USA)",26 MAY 2017
14:25.34,Francine NIYONSABA,05 MAY 1993,BDI,1,"Boudewijnstadion, Bruxelles (BEL)",03 SEP 2021
14:25.43,Vivian Jepkemoi CHERUIYOT,11 SEP 1983,KEN,1,"Boudewijnstadion, Bruxelles (BEL)",05 SEP 2008
14:25.52,Meseret DEFAR,19 NOV 1983,ETH,2,"Boudewijnstadion, Bruxelles (BEL)",05 SEP 2008
14:25.63,Ejgayehu TAYE,10 FEB 2000,ETH,2,"Boudewijnstadion, Bruxelles (BEL)",03 SEP 2021
14:25.78,Hellen OBIRI,13 DEC 1989,KEN,2,"Boudewijnstadion, Bruxelles (BEL)",09 SEP 2016
14:25.84,Almaz AYANA,21 NOV 1991,ETH,2,Paris (FRA),06 JUL 2013
14:25.84,Dawit SEYAUM,27 JUL 1996,ETH,1,"Bislett Stadion, Oslo (NOR)",16 JUN 2022
14:25.88,Hellen OBIRI,13 DEC 1989,KEN,1,"Boudewijnstadion, Bruxelles (BEL)",01 SEP 2017
14:26.17,Vivian Jepkemoi CHERUIYOT,11 SEP 1983,KEN,1,"Estádio Olímpico, Rio de Janeiro (BRA)",19 AUG 2016
14:26.23,Hellen OBIRI,13 DEC 1989,KEN,3,"Boudewijnstadion, Bruxelles (BEL)",03 SEP 2021
14:26.26,Sifan HASSAN,01 JAN 1993,NED,1,"Boudewijnstadion, Bruxelles (BEL)",06 SEP 2019
14:26.34,Karissa SCHWEIZER,04 MAY 1996,USA,2,"Jesuit High School Track, Portland, OR (USA)",10 JUL 2020
14:26.38,Hellen OBIRI,13 DEC 1989,KEN,1,"Bislett Stadion, Oslo (NOR)",01 JUL 2021
14:26.57,Letesenbet GIDEY,20 MAR 1998,ETH,2,"Stade Louis II, Monaco (MON)",14 AUG 2020
14:26.69,Gudaf TSEGAY,23 JUN 1997,ETH,2,"Bislett Stadion, Oslo (NOR)",16 JUN 2022
