Mark,Competitor,DOB,Nat,Pos,Venue,Date
5:21.56,Francine NIYONSABA,05 MAY 1993,BDI,1.0,"Sports Park Mladost, Zagreb (CRO)",14 SEP 2021
5:25.36,Sonia O'SULLIVAN,28 NOV 1969,IRL,1.0,Edinburgh (GBR),08 JUL 1994
5:25.86,Freweyni HAILU,12 FEB 2001,ETH,2.0,"Sports Park Mladost, Zagreb (CRO)",14 SEP 2021
5:26.93,Yvonne MURRAY,04 OCT 1964,GBR,2.0,Edinburgh (GBR),08 JUL 1994
5:27.50,Genzebe DIBABA,08 FEB 1991,ETH,1.0,"Mestský Stadion, Ostrava (CZE)",17 JUN 2014
5:27.73,Genzebe DIBABA,08 FEB 1991,ETH,1.0,Montreuil (FRA),19 JUN 2018
5:28.69,Maricica PUICĂ,29 JUL 1950,ROU,1.0,London (GBR),11 JUL 1986
5:28.72,Tatyana KAZANKINA,17 DEC 1951,URS,1.0,Moskva (URS),04 AUG 1984
5:29.42,Genzebe DIBABA,08 FEB 1991,ETH,1.0,Sollentuna (SWE),26 JUN 2014
5:29.58,Yvonne MURRAY,04 OCT 1964,GBR,2.0,London (GBR),11 JUL 1986
5:29.64,Tetyana POZDNYAKOVA,04 MAR 1956,URS,2.0,Moskva (URS),04 AUG 1984
5:30.19,Zola BUDD,26 MAY 1966,GBR,3.0,London (GBR),11 JUL 1986
5:30.19,Gelete BURKA,23 JAN 1986,ETH,1.0,"Boudewijnstadion, Bruxelles (BEL)",04 SEP 2009
5:30.39,Maricica PUICĂ,29 JUL 1950,ROU,1.0,Rieti (ITA),04 SEP 1985
5:30.92,Galina ZAKHAROVA,07 SEP 1956,URS,3.0,Moskva (URS),04 AUG 1984
5:31.03,Gulnara SAMITOVA-GALKINA,09 JUL 1978,RUS,1.0,Sochi (RUS),27 MAY 2007
5:31.52,Vivian Jepkemoi CHERUIYOT,11 SEP 1983,KEN,1.0,"Eugene, OR (USA)",07 JUN 2009
5:31.88,Maryam Yusuf JAMAL,16 SEP 1984,BRN,2.0,"Eugene, OR (USA)",07 JUN 2009
5:32.40,Dawit SEYAUM,27 JUL 1996,ETH,3.0,"Sports Park Mladost, Zagreb (CRO)",14 SEP 2021
5:32.7h,Mary DECKER,04 AUG 1958,USA,1.0,"Eugene, OR (USA)",03 AUG 1984
5:32.83,Roberta BRUNET,20 MAY 1965,ITA,,Torino (ITA),14 SEP 1996
5:33.15,Zola BUDD,26 MAY 1966,GBR,1.0,London (GBR),13 JUL 1984
5:33.43,Linet Chepkwemoi MASAI,05 DEC 1989,KEN,3.0,"Eugene, OR (USA)",07 JUN 2009
5:33.76,Genzebe DIBABA,08 FEB 1991,ETH,1.0,"Bregyó Athletic Center, Székesfehérvár (HUN)",09 JUL 2019
5:33.83,Elvan ABEYLEGESSE,11 SEP 1982,TUR,1.0,Istanbul (TUR),07 JUN 2003
5:33.85,Christina CAHILL,25 MAR 1957,GBR,2.0,London (GBR),13 JUL 1984
5:34.27,Senbere TEFERI,03 MAY 1995,ETH,2.0,"Mestský Stadion, Ostrava (CZE)",17 JUN 2014
5:34.49,Angela CHALMERS,06 SEP 1963,CAN,1.0,Sheffield (GBR),04 SEP 1994
5:34.53,Konstanze KLOSTERHALFEN,18 FEB 1997,GER,1.0,"Moselstadion, Trier (GER)",17 SEP 2021
5:35.20,Sally KIPYEGO,19 DEC 1985,KEN,4.0,"Eugene, OR (USA)",07 JUN 2009
5:35.38,Yvonne MURRAY,04 OCT 1964,GBR,1.0,London (GBR),12 JUL 1991
5:35.46,Vivian Jepkemoi CHERUIYOT,11 SEP 1983,KEN,2.0,"Boudewijnstadion, Bruxelles (BEL)",04 SEP 2009
5:35.5h,Maricica PUICĂ,29 JUL 1950,ROU,1.0,Bucureşti (ROU),19 MAY 1979
5:35.53,Yvonne MURRAY,04 OCT 1964,GBR,1.0,Sheffield (GBR),16 SEP 1990
5:35.59,Cornelia BÜRKI,03 OCT 1953,SUI,4.0,London (GBR),11 JUL 1986
5:35.62,Berhane ADERE,23 NOV 1973,ETH,1.0,Ostrava (CZE),12 JUN 2003
5:35.65,Mercy CHERONO,07 MAY 1991,KEN,3.0,"Boudewijnstadion, Bruxelles (BEL)",04 SEP 2009
5:35.80,Liliya SHOBUKHOVA,13 NOV 1977,RUS,2.0,Sochi (RUS),27 MAY 2007
5:35.83,Daniela YORDANOVA,08 MAR 1976,BUL,1.0,Sofia (BUL),08 JUL 2004
5:36.03,Yvonne MURRAY,04 OCT 1964,GBR,1.0,Sheffield (GBR),29 AUG 1993
5:36.06,Kristiina MÄKI,22 SEP 1991,CZE,4.0,"Sports Park Mladost, Zagreb (CRO)",14 SEP 2021
5:36.30,Svetlana APLACHKINA,28 NOV 1992,ANA,5.0,"Sports Park Mladost, Zagreb (CRO)",14 SEP 2021
5:36.52,Natalya PANTELEYEVA,10 SEP 1983,RUS,3.0,Sochi (RUS),27 MAY 2007
5:36.65,Mary SLANEY,04 AUG 1958,USA,1.0,"San Diego, CA (USA)",25 JUN 1988
5:37.00,Christine BENNING,30 MAR 1955,GBR,3.0,London (GBR),13 JUL 1984
5:37.00,Mercy CHERONO,07 MAY 1991,KEN,6.0,"Sports Park Mladost, Zagreb (CRO)",14 SEP 2021
5:37.36,Naomi MUGO,02 JAN 1977,KEN,2.0,Ostrava (CZE),12 JUN 2003
5:37.55,Zamira ZAYTSEVA,16 FEB 1953,URS,4.0,London (GBR),04 AUG 1984
5:37.60,Nadia BATTOCLETTI,12 APR 2000,ITA,1.0,"Centro Sportivo, Cles (ITA)",21 AUG 2021
5:37.62,Ulrike BRUNS,17 NOV 1953,GDR,1.0,Berlin (GDR),22 SEP 1985
5:37.71,Benita WILLIS-JOHNSON,06 MAY 1979,AUS,3.0,Ostrava (CZE),12 JUN 2003
5:37.86,Lesley LEHANE,12 MAR 1963,USA,5.0,London (GBR),11 JUL 1986
5:38.07,Zola BUDD-PIETERSE,26 MAY 1966,RSA,1.0,Cape Town (RSA),08 APR 1991
5:38.11,Pauline Chemning KORIKWIANG,01 MAR 1988,KEN,5.0,"Eugene, OR (USA)",07 JUN 2009
5:38.19,Beyenu DEGEFA,12 JUL 1999,ETH,2.0,Montreuil (FRA),19 JUN 2018
5:38.19,Caster SEMENYA,07 JAN 1991,RSA,1.0,Montreuil (FRA),11 JUN 2019
5:38.33,Yvonne MURRAY,04 OCT 1964,GBR,2.0,Sheffield (GBR),04 SEP 1994
5:38.34,Amy YODER BEGLEY,11 JAN 1978,USA,6.0,"Eugene, OR (USA)",07 JUN 2009
5:38.37,Susan KUIJKEN,08 JUL 1986,NED,1.0,Amsterdam (NED),31 AUG 2013
5:38.42,Regina JACOBS,28 AUG 1963,USA,3.0,Edinburgh (GBR),08 JUL 1994
5:38.44,Lidia CHOJECKA,25 JAN 1977,POL,4.0,"Boudewijnstadion, Bruxelles (BEL)",04 SEP 2009
5:38.50,Alison WYETH,26 MAY 1964,GBR,2.0,Sheffield (GBR),29 AUG 1993
5:38.51,Angelika ZAUBER,05 NOV 1958,GDR,1.0,Potsdam (GDR),18 AUG 1985
5:38.53,Mimi BELETE,09 JUN 1988,BRN,2.0,Amsterdam (NED),31 AUG 2013
5:38.66,Hawi FEYSA,01 FEB 1999,ETH,2.0,Montreuil (FRA),11 JUN 2019
5:38.71,Ulrike BRUNS,17 NOV 1953,GDR,1.0,Neubrandenburg (GDR),07 JUN 1985
5:38.80,Annette HAND-PETERS,31 MAY 1965,USA,1.0,"Eugene, OR (USA)",06 JUN 1992
