Mark,Competitor,DOB,Nat,Pos,Venue,Date
5:38.95,Mary SLANEY,04 AUG 1958,USA,2.0,London (GBR),12 JUL 1991
5:39.0h,Natalia MĂRĂŞESCU,03 OCT 1952,ROU,1.0,Auckland (NZL),13 JAN 1979
5:39.00,Annette SERGENT-PALLUY,17 NOV 1962,FRA,6.0,London (GBR),11 JUL 1986
5:39.17,Zoe BUCKMAN,21 DEC 1988,AUS,3.0,Amsterdam (NED),31 AUG 2013
5:39.19,Mary SLANEY,04 AUG 1958,USA,1.0,"Eugene, OR (USA)",06 JUN 1992
5:39.20,Paula RADCLIFFE,17 DEC 1973,GBR,3.0,Sheffield (GBR),29 AUG 1993
5:39.39,Fatima MAAMA-YVELAIN,31 DEC 1969,FRA,1.0,Nancy (FRA),03 SEP 2000
5:39.44,Yamna BELKACEM,20 FEB 1974,FRA,1.0,Nancy (FRA),12 SEP 1999
5:39.52,Elly VAN HULST,09 JUN 1959,NED,7.0,London (GBR),11 JUL 1986
5:39.90,Adanech ANBESA,23 JAN 1998,ETH,3.0,Montreuil (FRA),11 JUN 2019
5:39.96,Debbie SCOTT-BOWKER,16 DEC 1958,CAN,1.0,Gateshead (GBR),05 AUG 1986
5:39.96,Feyne GEMEDA,28 JUN 1992,ETH,3.0,"Mestský Stadion, Ostrava (CZE)",17 JUN 2014
