Mark,Competitor,DOB,Nat,Pos,Venue,Date
1:23:39,Yelena LASHMANOVA,09 APR 1992,RUS,1,Cheboksary (RUS),09 JUN 2018
1:23:49,Jiayu YANG,18 FEB 1996,CHN,1,Huangshan (CHN),20 MAR 2021
1:24:27,Hong LIU,12 MAY 1987,CHN,2,Huangshan (CHN),20 MAR 2021
1:24:31,Yelena LASHMANOVA,09 APR 1992,RUS,1,Sochi (RUS),18 FEB 2019
1:24:38,Hong LIU,12 MAY 1987,CHN,1,La Coruña (ESP),06 JUN 2015
1:24:45,Shijie QIEYANG,11 NOV 1990,CHN,3,Huangshan (CHN),20 MAR 2021
1:24:47,Elmira ALEMBEKOVA,30 JUN 1990,RUS,1,Sochi (RUS),27 FEB 2015
1:24:50,Olimpiada IVANOVA,29 AUG 1970,RUS,1,"Adler, Sochi (RUS)",04 MAR 2001
1:24:56,Olga KANISKINA,19 JAN 1985,RUS,1,"Adler, Sochi (RUS)",28 FEB 2009
1:24:58,Yelena LASHMANOVA,09 APR 1992,RUS,1,Cheboksary (RUS),25 JUN 2016
1:25:03,Marina NOVIKOVA,01 MAR 1989,RUS,2,Sochi (RUS),27 FEB 2015
1:25:04,Svetlana VASILYEVA,24 JUL 1992,RUS,3,Sochi (RUS),27 FEB 2015
1:25:08,Vera SOKOLOVA,23 JUN 1987,RUS,1,Sochi (RUS),26 FEB 2011
1:25:11,Olga KANISKINA,19 JAN 1985,RUS,1,"Adler, Sochi (RUS)",23 FEB 2008
1:25:11,Anisiya KORNIKOVA-KIRDYAPKINA,23 OCT 1989,RUS,1,Sochi (RUS),20 FEB 2010
1:25:12,Xiuzhi LYU,26 OCT 1993,CHN,1,Beijing (CHN),20 MAR 2015
1:25:16,Shijie QIEYANG,11 NOV 1990,CHN,1,"Olympic Stadium, London (GBR)",11 AUG 2012
1:25:18,Tatyana GUDKOVA,23 JAN 1978,RUS,1,Moskva (RUS),19 MAY 2000
1:25:18,Yelena LASHMANOVA,09 APR 1992,RUS,1,Sochi (RUS),18 FEB 2017
1:25:20,Olga POLYAKOVA,23 SEP 1980,RUS,2,Moskva (RUS),19 MAY 2000
1:25:22,Yekaterina MEDVEDEVA,29 MAR 1994,RUS,2,Sochi (RUS),18 FEB 2017
1:25:26,Vera SOKOLOVA,23 JUN 1987,RUS,2,"Adler, Sochi (RUS)",28 FEB 2009
1:25:26,Anisiya KORNIKOVA-KIRDYAPKINA,23 OCT 1989,RUS,3,"Adler, Sochi (RUS)",28 FEB 2009
1:25:27,Elmira ALEMBEKOVA,30 JUN 1990,RUS,1,Sochi (RUS),18 FEB 2012
1:25:29,Irina STANKINA,25 MAR 1977,RUS,3,Moskva (RUS),19 MAY 2000
1:25:29,Glenda MOREJÓN,30 MAY 2000,ECU,1,La Coruña (ESP),08 JUN 2019
1:25:30,Anisiya KORNIKOVA-KIRDYAPKINA,23 OCT 1989,RUS,2,"Adler, Sochi (RUS)",23 FEB 2008
1:25:30,María PÉREZ,29 APR 1996,ESP,1,Córdoba (ESP),26 MAR 2023
1:25:32,Yelena SHUMKINA,24 JAN 1988,RUS,4,"Adler, Sochi (RUS)",28 FEB 2009
1:25:34,Jiayu YANG,18 FEB 1996,CHN,2,La Coruña (ESP),08 JUN 2019
1:25:35,Vera SOKOLOVA,23 JUN 1987,RUS,2,Sochi (RUS),20 FEB 2010
1:25:37,Shijie QIEYANG,11 NOV 1990,CHN,1,Huangshan (CHN),10 MAR 2019
1:25:38,Vera SOKOLOVA,23 JUN 1987,RUS,4,Sochi (RUS),27 FEB 2015
1:25:41,Olimpiada IVANOVA,29 AUG 1970,RUS,1,"Olympiastadion, Helsinki (FIN)",07 AUG 2005
1:25:41,Yelena LASHMANOVA,09 APR 1992,RUS,1,Sochi (RUS),19 FEB 2021
1:25:42,Olga KANISKINA,19 JAN 1985,RUS,1,Cheboksary (RUS),11 MAY 2008
1:25:46,Tatyana SHEMYAKINA,03 SEP 1987,RUS,3,"Adler, Sochi (RUS)",23 FEB 2008
1:25:46,Hong LIU,12 MAY 1987,CHN,1,Taicang (CHN),30 MAR 2012
1:25:51,Xiuzhi LYU,26 OCT 1993,CHN,4,Huangshan (CHN),20 MAR 2021
1:25:52,Larisa YEMELYANOVA,06 JAN 1980,RUS,5,"Adler, Sochi (RUS)",28 FEB 2009
1:25:52,Tatyana SIBILEVA,17 MAY 1980,RUS,3,Sochi (RUS),20 FEB 2010
1:25:54,Olga KANISKINA,19 JAN 1985,RUS,1,Sochi (RUS),27 FEB 2016
1:25:56,Hong LIU,12 MAY 1987,CHN,1,Huangshan (CHN),06 MAR 2016
1:25:56,Hong LIU,12 MAY 1987,CHN,3,La Coruña (ESP),08 JUN 2019
1:25:59,Tamara KOVALENKO,05 JUN 1964,RUS,4,Moskva (RUS),19 MAY 2000
1:25:59,Liujing YANG,22 AUG 1998,CHN,5,Huangshan (CHN),20 MAR 2021
1:26:00,Hong LIU,12 MAY 1987,CHN,2,"Olympic Stadium, London (GBR)",11 AUG 2012
1:26:00,Vera SOKOLOVA,23 JUN 1987,RUS,1,Sochi (RUS),23 FEB 2013
1:26:02,Olga KANISKINA,19 JAN 1985,RUS,1,"Adler, Sochi (RUS)",19 FEB 2006
1:26:08,Olimpiada IVANOVA,29 AUG 1970,RUS,5,Moskva (RUS),19 MAY 2000
1:26:11,Margarita TURAVA,20 DEC 1980,BLR,1,Nesvizh (BLR),15 APR 2006
1:26:12,Elvira CHEPAREVA,10 JAN 2000,ANA,1,"Yelena Yelesina Stadium, Chelyabinsk (RUS)",27 AUG 2022
1:26:14,Irina PETROVA,25 MAY 1985,RUS,2,"Adler, Sochi (RUS)",19 FEB 2006
1:26:15,Elmira ALEMBEKOVA,30 JUN 1990,RUS,1,Murcia (ESP),17 MAY 2015
1:26:16,Tatyana SIBILEVA,17 MAY 1980,RUS,4,"Adler, Sochi (RUS)",23 FEB 2008
1:26:16,Lyudmila ARKHIPOVA,12 SEP 1980,RUS,5,"Adler, Sochi (RUS)",23 FEB 2008
1:26:17,Eleonora Anna GIORGI,14 SEP 1989,ITA,2,Murcia (ESP),17 MAY 2015
1:26:17,María Guadalupe GONZÁLEZ ROMERO,09 JAN 1989,MEX,1,Roma (ITA),07 MAY 2016
1:26:18,Jiayu YANG,18 FEB 1996,CHN,1,"Olympic Stadium, London (GBR)",13 AUG 2017
1:26:19,María Guadalupe GONZÁLEZ ROMERO,09 JAN 1989,MEX,2,"Olympic Stadium, London (GBR)",13 AUG 2017
1:26:22,Wang YAN,02 MAY 1971,CHN,1,Guangzhou (CHN),19 NOV 2001
1:26:22,Yelena NIKOLAYEVA,01 FEB 1966,RUS,1,Cheboksary (RUS),18 MAY 2003
1:26:23,Liping WANG,08 JUL 1976,CHN,2,Guangzhou (CHN),19 NOV 2001
1:26:23,Yelena LASHMANOVA,09 APR 1992,RUS,1,Sochi (RUS),19 FEB 2018
1:26:27,Margarita TURAVA,20 DEC 1980,BLR,1,La Coruña (ESP),13 MAY 2006
1:26:27,Sofiya BRODATSKAYA,24 OCT 1994,RUS,3,Sochi (RUS),18 FEB 2017
1:26:28,Irina PUDOVKINA,11 FEB 1980,RUS,1,Sochi (RUS),12 MAR 2005
1:26:28,Xiuzhi LYU,26 OCT 1993,CHN,1,Huangshan (CHN),04 MAR 2017
1:26:28,Shijie QIEYANG,11 NOV 1990,CHN,1,La Coruña (ESP),02 JUN 2018
1:26:29,Tatyana SIBILEVA,17 MAY 1980,RUS,2,Cheboksary (RUS),11 MAY 2008
1:26:29,Na WANG,29 MAY 1995,CHN,2,Huangshan (CHN),04 MAR 2017
1:26:31,Olga KANISKINA,19 JAN 1985,RUS,1,"National Stadium, Beijing (CHN)",21 AUG 2008
