Mark,Competitor,DOB,Nat,Pos,Venue,Date
20:36.31,María PÉREZ,29 APR 1996,ESP,1,"Estadio Vallehermoso, Madrid (ESP)",11 JUN 2023
20:36.96,Kerry SAXBY,02 JUN 1961,AUS,1,Sydney (AUS),03 DEC 1989
20:37.7h,Bingjie JIN,03 JUN 1971,CHN,1,Hefei (CHN),03 MAR 1990
20:37.83,Kjersti TYSSE-PLÄTZER,18 JAN 1972,NOR,1,"Stadion, Førde (NOR)",08 SEP 2001
20:38.0h,Yueling CHEN,01 APR 1968,CHN,2,Hefei (CHN),03 MAR 1990
20:38.14,Kerry SAXBY-JUNNA,02 JUN 1961,AUS,1,Sydney (AUS),20 FEB 1993
20:38.16,María PÉREZ,29 APR 1996,ESP,1,Granollers (ESP),14 JUL 2018
20:38.2h,Olga KANISKINA,19 JAN 1985,RUS,2,Saransk (RUS),19 JUN 2005
20:38.65,Sari ESSAYAH,21 FEB 1967,FIN,1,Mikkeli (FIN),31 JUL 1993
20:40.06,Kerry SAXBY-JUNNA,02 JUN 1961,AUS,1,Sydney (AUS),20 FEB 1994
20:40.24,Susana FEITOR,28 JAN 1975,POR,1,Rio Maior (POR),09 MAY 2001
20:40.3h,Tatyana KOROLYOVA,1982,RUS,3,Saransk (RUS),19 JUN 2005
20:40.6h,Olga KARDOPOLTSEVA,11 SEP 1966,URS,1,Alushta (URS),05 MAY 1990
20:41.47,Júlia TAKÁCS,29 JUN 1989,ESP,1,Alcorcón (ESP),12 JUL 2014
20:42.25,Kumiko OKADA,17 OCT 1991,JPN,1,Kumagaya (JPN),19 MAY 2019
20:42.31,Ileana SALVADOR,16 JAN 1962,ITA,1,Bologna (ITA),23 JUN 1992
20:42.67,Shijie QIEYANG,11 NOV 1990,CHN,2,Tianjin (CHN),16 SEP 2012
20:42.9h,Irina PUDOVKINA,11 FEB 1980,RUS,4,Saransk (RUS),19 JUN 2005
20:44.02,Sari ESSAYAH,21 FEB 1967,FIN,1,Helsinki (FIN),28 JUL 1991
20:44.2h,Elisabetta PERRONE,09 JUL 1968,ITA,1,Voghera (ITA),13 APR 1995
20:45.03,Kerry SAXBY-JUNNA,02 JUN 1961,AUS,1,"SIAC Homebush, Sydney (AUS)",11 MAR 1994
20:45.11,Beatriz PASCUAL,09 MAY 1982,ESP,1,Granollers (ESP),18 JUL 2012
20:45.32,Kerry SAXBY,02 JUN 1961,AUS,1,Perth (AUS),27 MAR 1988
20:45.6h,Ileana SALVADOR,16 JAN 1962,ITA,1,Torino (ITA),23 MAY 1992
20:46.12,Eleonora Anna GIORGI,14 SEP 1989,ITA,1,Milano (ITA),24 APR 2013
20:46.23,Kjersti TYSSE-PLÄTZER,18 JAN 1972,NOR,1,Kristiansand (NOR),20 AUG 2000
20:46.58,Johanna JACKSON,17 JAN 1985,GBR,1,Sydney (AUS),14 FEB 2009
20:46.60,Valentina SAVCHUK,19 JAN 1975,UKR,1,Uzhgorod (UKR),09 MAY 2001
20:46.9h,Annarita SIDOTI,25 JUL 1969,ITA,1,Messina (ITA),16 APR 1994
20:46.91,Beate ANDERS,04 FEB 1968,GDR,1,Dresden (GER),19 AUG 1990
20:48.11,Rossella GIORDANO,01 DEC 1972,ITA,1,Roma (ITA),10 MAY 1997
20:48.3h,Natalya SHIVIREVA,31 AUG 1978,RUS,5,Saransk (RUS),19 JUN 2005
20:48.55,Ileana SALVADOR,16 JAN 1962,ITA,1,Bologna (ITA),02 AUG 1993
20:48.75,Anežka DRAHOTOVÁ,22 JUL 1995,CZE,1,Uherské Hradiste (CZE),26 AUG 2018
20:49.1h,Yueling CHEN,01 APR 1968,CHN,1,Zhengzhou (CHN),03 MAR 1991
20:49.39,Elisabetta PERRONE,09 JUL 1968,ITA,1,Napoli (ITA),03 JUL 1994
20:49.70,Mayumi KAWASAKI,10 MAY 1980,JPN,1,Tendo (JPN),16 MAY 2009
20:50.03,Ileana SALVADOR,16 JAN 1962,ITA,1,Macerata (ITA),06 SEP 1989
20:50.03,Chahinez NASRI,03 JUN 1996,TUN,1,"Stadion Radés, Radés (TUN)",23 JUN 2021
20:50.3h,Yiaoling FAN,14 MAY 1971,CHN,2,Zhengzhou (CHN),03 MAR 1991
20:50.57,Kerry SAXBY,02 JUN 1961,AUS,1,Canberra (AUS),05 NOV 1989
20:50.60,Alina IVANOVA,16 MAR 1969,URS,1,Bryansk (URS),15 JUL 1989
20:50.6h,Olimpiada IVANOVA,29 AUG 1970,RUS,1,Moskva (RUS),21 JAN 1997
20:50.63,Ileana SALVADOR,16 JAN 1962,ITA,1,Pescara (ITA),13 SEP 1990
20:51.0h,Ileana SALVADOR,16 JAN 1962,ITA,1,Mogliano Veneto (ITA),02 JUL 1989
20:51.03,Jemima MONTAG,15 FEB 1998,AUS,1,"Lakeside Stadium, Melbourne (AUS)",27 FEB 2021
20:51.2h,Ileana SALVADOR,16 JAN 1962,ITA,1,Piombino Dese (ITA),23 JUN 1993
20:51.55,María PÉREZ,29 APR 1996,ESP,1,Murcia (ESP),07 MAY 2022
20:51.89,Shanshan WANG,16 JUN 1987,CHN,3,Tianjin (CHN),16 SEP 2012
20:51.96,Katarzyna RADTKE,31 AUG 1969,POL,1,Sopot (POL),20 JUN 1993
20:51.99,Sari ESSAYAH,21 FEB 1967,FIN,1,Jyväskylä (FIN),04 JUL 1992
20:52.24,Tamara SUROVTSEVA,12 JUN 1960,URS,2,Rostock (GER),23 JUN 1990
20:52.76,María PÉREZ,29 APR 1996,ESP,1,Castellón (ESP),04 MAY 2019
20:52.82,Kerry SAXBY,02 JUN 1961,AUS,1,Melbourne (AUS),01 APR 1990
20:52.9h,Sari ESSAYAH,21 FEB 1967,FIN,1,Brunflo (SWE),28 JUN 1992
20:53.31,Kerry SAXBY-JUNNA,02 JUN 1961,AUS,1,Adelaide (AUS),07 MAR 1992
20:53.34,Vira ZOZULYA,31 AUG 1970,UKR,1,Uzhgorod (UKR),08 MAY 1998
20:53.43,Erica ALFRIDI,22 FEB 1968,ITA,1,Vigevano (ITA),18 MAY 2002
20:53.69,Ileana SALVADOR,16 JAN 1962,ITA,1,Udine (ITA),23 JUN 1992
20:53.71,Elisabetta PERRONE,09 JUL 1968,ITA,2,Bologna (ITA),02 AUG 1993
20:53.97,Beatriz PASCUAL,09 MAY 1982,ESP,1,Barcelona (ESP),01 JUN 2008
20:54.04,Erica ALFRIDI,22 FEB 1968,ITA,1,Roma (ITA),10 JUL 1998
20:54.2h,Bingjie JIN,03 JUN 1971,CHN,3,Zhengzhou (CHN),03 MAR 1991
20:54.39,Elisabetta PERRONE,09 JUL 1968,ITA,1,Formia (ITA),04 JUN 1994
20:54.42,Sari ESSAYAH,21 FEB 1967,FIN,1,Helsinki (FIN),26 AUG 1995
20:54.65,Yelena NIKOLAYEVA,01 FEB 1966,RUS,1,Tivoli (ITA),05 SEP 2002
20:54.83,María José POVES,16 MAR 1978,ESP,1,Barcelona (ESP),16 JUN 2012
20:54.90,Jemima MONTAG,15 FEB 1998,AUS,1,"Lakeside Stadium, Melbourne (AUS)",05 MAR 2023
20:55.0h,Bingjie JIN,03 JUN 1971,CHN,1,Anshan (CHN),02 SEP 1989
20:55.7h,Annarita SIDOTI,25 JUL 1969,ITA,1,Palermo (ITA),02 APR 1995
20:55.75,Beate ANDERS,04 FEB 1968,GER,1,Duisburg (GER),10 JUL 1993
20:55.76,Kerry SAXBY,02 JUN 1961,AUS,1,Sydney (AUS),10 JAN 1988
20:56.21,Annarita SIDOTI,25 JUL 1969,ITA,2,Roma (ITA),10 JUL 1998
20:56.29,Elisa RIGAUDO,17 JUN 1980,ITA,1,Pescara (ITA),14 SEP 2002
20:56.7h,Xiaohui ZUO,1971,CHN,4,Zhengzhou (CHN),03 MAR 1991
20:56.75,Sabine ZIMMER-KRANTZ,06 FEB 1981,GER,1,Kassel (GER),24 JUL 2011
20:56.88,Michelle ROHL,12 NOV 1965,USA,1,"Philadelphia, PA (USA)",24 APR 1996
20:57.11,María VASCO,26 DEC 1975,ESP,1,Barcelona (ESP),02 JUN 2007
20:57.35,Ileana SALVADOR,16 JAN 1962,ITA,1,Donnas (ITA),22 MAY 1993
20:57.85,Ileana SALVADOR,16 JAN 1962,ITA,1,Cesenatico (ITA),26 JUL 1989
20:57.96,Cristiana PELLINO,21 SEP 1970,ITA,3,Roma (ITA),10 JUL 1998
20:58.0h,Ileana SALVADOR,16 JAN 1962,ITA,1,Belluco (ITA),11 MAY 1989
20:58.6h,Rimma MAKAROVA,18 JUL 1963,RUS,1,St. Petersburg (RUS),07 MAY 1995
20:58.8h,Lyudmila ARKHIPOVA,12 SEP 1980,RUS,6,Saransk (RUS),19 JUN 2005
20:59.06,Ileana SALVADOR,16 JAN 1962,ITA,1,Livorno (ITA),17 JUN 1995
20:59.7h,Anne-Marie JUDKINS,01 MAR 1964,NZL,2,Brunflo (SWE),28 JUN 1992
20:59.79,María PÉREZ,29 APR 1996,ESP,1,Castellón (ESP),16 JUN 2018
21:00.0h,Antonella PALMISANO,06 AUG 1991,ITA,1,"Stadio Olindo Galli, Tivoli (ITA)",03 OCT 2020
21:00.15,Shijie QIEYANG,11 NOV 1990,CHN,,Torino (ITA),26 MAY 2018
21:00.28,Katarzyna RADTKE,31 AUG 1969,POL,1,Sopot (POL),08 AUG 1992
21:00.40,Sari ESSAYAH,21 FEB 1967,FIN,1,Helsinki (FIN),31 AUG 1992
21:00.4h,Annarita SIDOTI,25 JUL 1969,ITA,2,Voghera (ITA),13 APR 1995
21:00.80,Yelena NIKOLAYEVA,01 FEB 1966,URS,1,Schwechat (AUT),12 JUN 1991
21:00.9h,Yekaterina KONEVA,,RUS,7,Saransk (RUS),19 JUN 2005
21:01.11,Svetlana TOLSTAYA,09 AUG 1971,KAZ,1,Almaty (KAZ),23 MAY 1999
21:01.24,Johanna JACKSON,17 JAN 1985,GBR,1f1,Brisbane (AUS),07 FEB 2009
21:01.41,Viktória MADARÁSZ,12 MAY 1985,HUN,1,"Bregyó Athletic Center, Székesfehérvár (HUN)",05 SEP 2020
21:01.43,Vera SANTOS,03 DEC 1981,POR,1f1,Abrantes (POR),10 JUN 2010
21:01.8h,Susana FEITOR,28 JAN 1975,POR,1,Fana (NOR),08 MAY 1993
21:02.42,Lidia SANCHEZ-PUEBLA,17 JUL 1996,ESP,1,Plasencia (ESP),28 JUN 2017
21:02.49,Mayumi KAWASAKI,10 MAY 1980,JPN,1,Yamagata (JPN),27 SEP 2008
21:02.6h,Jingxue LI,10 FEB 1970,CHN,2,Anshan (CHN),02 SEP 1989
21:02.72,Viktória MADARÁSZ,12 MAY 1985,HUN,1,Budapest (HUN),30 JUN 2017
21:02.9h,Rossella GIORDANO,01 DEC 1972,ITA,3,Voghera (ITA),13 APR 1995
21:03.11,María PÉREZ,29 APR 1996,ESP,1,"Estadi Olímpic Camilo Cano, La Nucia (ESP)",11 JUN 2022
21:03.14,Beate ANDERS,04 FEB 1968,GER,1,Hannover (GER),27 JUL 1991
21:03.15,Agnese PASTARE,27 OCT 1988,LAT,1,Valmiera (LAT),20 JUL 2013
21:03.33,Jess ROTHWELL,18 JUN 1989,AUS,1,Melbourne (AUS),20 FEB 2009
21:03.45,Olive LOUGHNANE,14 JAN 1976,IRL,1,Dublin (IRL),01 AUG 2009
21:03.59,Júlia TAKÁCS,29 JUN 1989,ESP,1,Gijón (ESP),25 JUL 2015
21:03.8h,Xiong YAN,01 APR 1967,CHN,3,Hefei (CHN),03 MAR 1990
21:03.8h,Beatriz PASCUAL,09 MAY 1982,ESP,1,Pamplona (ESP),30 JUL 2011
21:04.34,Beate GUMMELT,04 FEB 1968,GER,1,Bremen (GER),01 JUL 1995
21:04.48,Sari ESSAYAH,21 FEB 1967,FIN,1,Jyväskylä (FIN),12 JUN 1993
21:05.33,Alina IVANOVA,16 MAR 1969,RUS,1,København (DEN),25 AUG 1992
21:05.41,Irina STANKINA,25 MAR 1977,RUS,1,"Estadio Universitario, Lisboa (POR)",23 JUL 1994
21:05.53,Katarzyna RADTKE,31 AUG 1969,POL,1,Sopot (POL),23 JUL 1994
21:05.7h,Vera VASILYEVA,,RUS,8,Saransk (RUS),19 JUN 2005
21:05.84,Jingjing NIE,01 MAR 1988,CHN,4,Tianjin (CHN),16 SEP 2012
21:06.0h,Susana FEITOR,28 JAN 1975,POR,1,Fana (NOR),07 MAY 1994
21:06.1h,Larisa YEMELYANOVA,06 JAN 1980,RUS,9,Saransk (RUS),19 JUN 2005
21:06.3h,Anisiya KORNIKOVA-KIRDYAPKINA,23 OCT 1989,RUS,1,Saransk (RUS),10 JUN 2006
21:06.4h,Antigoni NTRISMPIOTI,21 MAR 1984,GRE,1,"Municipal Stadium, Karpenisi (GRE)",23 JUN 2022
21:06.7h,Sun YAN,04 MAY 1973,CHN,5,Zhengzhou (CHN),03 MAR 1991
21:07.32,Elisabetta PERRONE,09 JUL 1968,ITA,1,Vigevano (ITA),21 MAY 1994
21:07.51,Raquel GONZÁLEZ,16 NOV 1989,ESP,1,Cartagena (ESP),29 APR 2015
21:07.54,Raquel GONZÁLEZ,16 NOV 1989,ESP,2,Castellón (ESP),04 MAY 2019
21:07.97,Júlia TAKÁCS,29 JUN 1989,ESP,1,Avilés (ESP),15 JUN 2013
21:08.2h,Rimma MAKAROVA,18 JUL 1963,RUS,2,Moskva (RUS),21 JAN 1997
21:08.23,Rossella GIORDANO,01 DEC 1972,ITA,3,Cesenatico (ITA),01 JUL 1995
21:08.38,Melanie SEEGER,08 JAN 1977,GER,2,Tivoli (ITA),05 SEP 2002
21:08.65,Yelena NIKOLAYEVA,01 FEB 1966,URS,1,Portsmouth (GBR),19 JUN 1988
21:08.9h,Kjersti TYSSE-PLÄTZER,18 JAN 1972,NOR,1,Ulvik (NOR),20 JUN 1999
21:08.97,Kumiko OKADA,17 OCT 1991,JPN,1,Fukui (JPN),08 OCT 2018
21:09.04,Raquel GONZÁLEZ,16 NOV 1989,ESP,1,Barcelona (ESP),30 JUN 2016
21:09.05,Beate ANDERS,04 FEB 1968,GDR,2,Bryansk (URS),15 JUL 1989
21:09.08,Olivia SANDERY,22 JAN 2003,AUS,1,"SA Athletic Stadium, Adelaide (AUS)",03 MAR 2023
21:09.23,Ileana SALVADOR,16 JAN 1962,ITA,1,Padova (ITA),16 SEP 1990
21:09.24,Raquel GONZÁLEZ,16 NOV 1989,ESP,1,Alcobendas (ESP),18 JUN 2016
21:09.26,Madelein SVENSSON,20 JUL 1969,SWE,2,København (DEN),25 AUG 1992
21:09.27,Rossella GIORDANO,01 DEC 1972,ITA,4,Roma (ITA),10 JUL 1998
21:09.74,Olga LUKYANCHUK,07 DEC 1976,UKR,2,Uzhgorod (UKR),09 MAY 2001
21:10.34,Anne-Marie JUDKINS,01 MAR 1964,NZL,3,København (DEN),25 AUG 1992
21:10.85,Zhuo CHEN,,CHN,1,Zhengzhou (CHN),30 AUG 2005
21:10.92,Raquel GONZÁLEZ,16 NOV 1989,ESP,1,Cartagena (ESP),09 MAY 2014
21:11.01,Sabine ZIMMER-KRANTZ,06 FEB 1981,GER,,Mannheim (GER),12 JUN 1998
21:11.21,María José POVES,16 MAR 1978,ESP,2,Barcelona (ESP),02 JUN 2007
21:11.24,Melanie SEEGER,08 JAN 1977,GER,2,Kassel (GER),24 JUL 2011
21:11.74,Anna TERLYUKEVICH,15 AUG 1987,BLR,1,"Dinamo National Olympic Stadium, Minsk (BLR)",18 AUG 2022
21:12.0h,Nadezhda RYASHKINA,22 JAN 1967,URS,1,Fana (NOR),29 APR 1989
21:12.09,María VASCO,26 DEC 1975,ESP,2,Barcelona (ESP),01 JUN 2008
21:12.19,Nadezhda RYASHKINA,22 JAN 1967,URS,1,Schwechat (AUT),05 SEP 1990
21:12.63,Jess ROTHWELL,18 JUN 1989,AUS,2f1,Brisbane (AUS),07 FEB 2009
21:12.73,Elisa RIGAUDO,17 JUN 1980,ITA,1,Firenze (ITA),04 JUN 2011
21:12.87,Susana FEITOR,28 JAN 1975,POR,2,"Estadio Universitario, Lisboa (POR)",23 JUL 1994
21:12.91,Yanxue MAO,15 FEB 1994,CHN,5,Tianjin (CHN),16 SEP 2012
21:13.1h,Irina STANKINA,25 MAR 1977,RUS,1,Izhevsk (RUS),03 JUN 1995
21:13.16,Yingzi CUI,26 JAN 1971,CHN,1,Jinan (CHN),30 OCT 1988
21:13.69,Katarzyna ZDZIEBŁO,28 NOV 1996,POL,1,"Stadion OSiR, Wloclawek (POL)",29 AUG 2020
21:14.1h,Cristiana PELLINO,21 SEP 1970,ITA,4,Voghera (ITA),13 APR 1995
21:14.20,Raquel GONZÁLEZ,16 NOV 1989,ESP,2,Granollers (ESP),14 JUL 2018
21:14.39,Sabine ZIMMER-KRANTZ,06 FEB 1981,GER,1,"Parc des Sports, Annecy (FRA)",01 AUG 1998
21:14.75,Sabine ZIMMER-KRANTZ,06 FEB 1981,GER,1,Ulm (GER),05 JUL 2009
21:15.03,Raquel GONZÁLEZ,16 NOV 1989,ESP,1,"Complex Esportiu L’Hospitalet Nord, L'Hospitalet (ESP)",10 JUL 2021
21:15.1h,Valentina TSYBULSKAYA,19 FEB 1968,BLR,1,Druskininkai (LTU),09 SEP 1996
21:15.11,Maya SAZONOVA,28 MAY 1965,KAZ,2,Almaty (KAZ),23 MAY 1999
21:15.4h,Maria Grazia ORSANI,11 JUN 1969,ITA,1,Avellino (ITA),08 MAY 1993
21:15.57,María VASCO,26 DEC 1975,ESP,2,Granollers (ESP),18 JUL 2012
21:15.6h,Sari ESSAYAH,21 FEB 1967,FIN,1,Lapinlahti (FIN),12 AUG 1989
21:15.9h,Oksana KIRILLOVA,1988,RUS,10,Saransk (RUS),19 JUN 2005
21:15.99,Claudia IOVAN,25 FEB 1978,ROU,1,Ljubljana (SLO),24 JUL 1997
21:16.33,Ileana SALVADOR,16 JAN 1962,ITA,1,Torino (ITA),12 JUN 1991
21:16.4h,Kerry SAXBY,02 JUN 1961,AUS,1,Sydney (AUS),04 APR 1987
21:17.58,Júlia TAKÁCS,29 JUN 1989,ESP,2,Plasencia (ESP),28 JUN 2017
21:17.76,Júlia TAKÁCS,29 JUN 1989,ESP,2,Barcelona (ESP),16 JUN 2012
21:17.8h,Brigita VIRBALYTĖ-DIMSIENĖ,01 FEB 1985,LTU,1,Valga (EST),17 MAY 2014
21:17.82,Lyudmila OLYANOVSKA,20 FEB 1993,UKR,1,"Avangard Stadium, Lutsk (UKR)",15 AUG 2020
21:17.89,Jolanta DUKURE,20 SEP 1979,LAT,2,"Parc des Sports, Annecy (FRA)",01 AUG 1998
21:17.9h,Svetlana KALITKA,28 MAR 1970,UKR,1,Košice (SVK),02 MAY 1998
21:17.97,Kumiko OKADA,17 OCT 1991,JPN,1,Kumagaya (JPN),16 MAY 2015
21:18.05,Miao YU,02 APR 1989,CHN,2,Zhengzhou (CHN),30 AUG 2005
21:18.1h,Yili WANG,04 APR 1971,CHN,3,Anshan (CHN),02 SEP 1989
21:18.12,Olga KARDOPOLTSEVA,11 SEP 1966,URS,2,Schwechat (AUT),05 SEP 1990
21:18.22,Raquel GONZÁLEZ,16 NOV 1989,ESP,1,Barcelona (ESP),01 JUL 2018
21:18.39,Yelena ARSHINTSEVA,05 APR 1971,RUS,1,Schwechat (AUT),01 JUL 1992
21:18.83,Alina YUSHCHANKA,29 JUL 1990,BLR,2,"Dinamo National Olympic Stadium, Minsk (BLR)",18 AUG 2022
21:19.00,Beate GUMMELT,04 FEB 1968,GER,1,Erfurt (GER),02 JUL 1994
21:19.19,Cheryl WEBB,03 OCT 1976,AUS,2,Sydney (AUS),14 FEB 2009
21:19.2h,Annarita SIDOTI,25 JUL 1969,ITA,1,Catania (ITA),25 APR 1992
21:19.3h,María José POVES,16 MAR 1978,ESP,1,Castellón (ESP),11 JUN 2016
21:19.43,Ileana SALVADOR,16 JAN 1962,ITA,1,Verona (ITA),28 JUN 1990
21:19.55,Regan LAMBLE,14 OCT 1991,AUS,2,"Campo XXV Aprile, Milano (ITA)",22 APR 2016
21:19.6h,Júlia TAKÁCS,29 JUN 1989,ESP,2,Pamplona (ESP),30 JUL 2011
21:19.81,Yelena SAYKO,24 DEC 1967,RUS,4,København (DEN),25 AUG 1992
21:19.81,Ileana SALVADOR,16 JAN 1962,ITA,1,Torino (ITA),20 MAY 1995
21:19.91,Sari ESSAYAH,21 FEB 1967,FIN,1,Stockholm (SWE),28 AUG 1993
21:19.95,Zuzana MALÍKOVÁ,02 AUG 1983,SVK,1,Banská Bystrica (SVK),06 MAY 2007
21:20.03,Hongmiao GAO,17 MAR 1974,CHN,1,"Olympic Stadium, Jamsil, Seoul (KOR)",20 SEP 1992
21:20.2h,Hong YAN,23 OCT 1966,CHN,1,Xinglong (CHN),29 MAR 1987
21:20.42,Natalya SPIRIDONOVA,06 APR 1963,URS,3,Rostock (GER),23 JUN 1990
21:20.57,Sari ESSAYAH,21 FEB 1967,FIN,1,Kangasniemi (FIN),06 JUN 1993
21:20.63,Kathrin BOYDE,04 DEC 1970,GER,2,Hannover (GER),27 JUL 1991
21:20.97,Agnieszka DYGACZ,18 JUL 1985,POL,1,Katowice (POL),02 JUL 2014
21:20.98,Júlia TAKÁCS,29 JUN 1989,ESP,2,Castellón (ESP),16 JUN 2018
21:21.00,Kumiko OKADA,17 OCT 1991,JPN,1,Kumagaya (JPN),21 MAY 2016
21:21.14,Lijun ZHAI,28 NOV 1986,CHN,3,Zhengzhou (CHN),30 AUG 2005
21:21.14,Irina YUMANOVA,09 APR 1990,RUS,2,Ostrava (CZE),12 JUL 2007
21:21.16,Kerry SAXBY-JUNNA,02 JUN 1961,AUS,1,Sydney (AUS),04 MAR 1995
21:21.25,Tanya HOLLIDAY,21 SEP 1988,AUS,1f1,Sydney (AUS),18 FEB 2012
21:21.29,Sibilla DI VINCENZO,22 JAN 1983,ITA,1,Sulmona (ITA),24 SEP 2011
21:21.43,María José POVES,16 MAR 1978,ESP,2,Avilés (ESP),15 JUN 2013
21:21.49,Beatriz PASCUAL,09 MAY 1982,ESP,1,Mataró (ESP),07 JUL 2010
21:21.51,Tanya HOLLIDAY,21 SEP 1988,AUS,1,Sydney (AUS),09 MAR 2013
21:21.52,Bethan DAVIES,07 NOV 1990,GBR,1,Birmingham (GBR),02 JUL 2017
21:21.53,Kerry SAXBY,02 JUN 1961,AUS,1,Sydney (AUS),24 FEB 1991
21:21.67,Johanna JACKSON,17 JAN 1985,GBR,1,Birmingham (GBR),12 JUL 2009
21:21.80,Susana FEITOR,28 JAN 1975,POR,1,San Sebastián (ESP),29 JUL 1993
21:22.2h,Erica ALFRIDI,22 FEB 1968,ITA,5,Voghera (ITA),13 APR 1995
21:22.23,Ana CABECINHA,29 APR 1984,POR,1,Faro (POR),21 MAR 2015
21:22.42,Sachiko KONISHI,04 FEB 1982,JPN,1,Hiroshima (JPN),05 JUL 2009
21:22.49,Kumi OTOSHI,29 JUL 1985,JPN,1,Kitami (JPN),19 JUN 2011
21:22.6h,Tatyana RAGOZINA,03 SEP 1964,UKR,1,Alushta (UKR),21 FEB 1993
21:22.8h,Yiaoling FAN,14 MAY 1971,CHN,4,Hefei (CHN),03 MAR 1990
21:22.91,María José POVES,16 MAR 1978,ESP,2,Alcobendas (ESP),18 JUN 2016
21:23.07,Anne MANNING,13 NOV 1959,AUS,2,Sydney (AUS),16 FEB 1996
21:23.10,Ryoko SAKAKURA,09 MAY 1976,JPN,1,Tama (JPN),15 APR 2007
21:23.51,Valentina TRAPLETTI,12 JUL 1985,ITA,1,Modena (ITA),23 JUN 2018
21:23.54,Kelian GAO,15 AUG 1983,CHN,1,Chengdu (CHN),06 SEP 2000
21:23.60,Beki SMITH,25 NOV 1986,AUS,2f1,Sydney (AUS),18 FEB 2012
21:23.7h,Natalya TROFIMOVA,17 JAN 1975,RUS,3,Moskva (RUS),21 JAN 1997
21:23.85,Chahinez NASRI,03 JUN 1996,TUN,1,Blois (FRA),17 JUN 2017
21:24.07,Cristiana PELLINO,21 SEP 1970,ITA,1,Milano (ITA),06 SEP 2000
21:24.40,Nanako FUJII,07 MAY 1999,JPN,2,Fukui (JPN),08 OCT 2018
21:24.65,Ileana SALVADOR,16 JAN 1962,ITA,5,København (DEN),25 AUG 1992
21:24.71,Ping GUAN,01 FEB 1966,CHN,1,Beijing (CHN),08 OCT 1989
21:24.71,Natalya TROFIMOVA,17 JAN 1975,RUS,3,"Estadio Universitario, Lisboa (POR)",23 JUL 1994
21:24.73,Eleonora Anna GIORGI,14 SEP 1989,ITA,1,Milano (ITA),23 APR 2015
21:24.76,Mária URBANIKNÉ ROSZA,12 FEB 1967,HUN,1,Budapest (HUN),18 AUG 1990
21:24.77,Katarzyna RADTKE,31 AUG 1969,POL,1,Sopot (POL),10 MAY 1992
