Mark,Competitor,DOB,Nat,Pos,Venue,Date
20:01.80,Eleonora Anna GIORGI,14 SEP 1989,ITA,1,Misterbianco (ITA),18 MAY 2014
20:02.60,Gillian O'SULLIVAN,21 AUG 1976,IRL,1,Dublin (IRL),13 JUL 2002
20:03.00,Kerry SAXBY-JUNNA,02 JUN 1961,AUS,1,Sydney (AUS),11 FEB 1996
20:07.52,Beate ANDERS,04 FEB 1968,GDR,1,Rostock (GER),23 JUN 1990
20:11.45,Sabine ZIMMER-KRANTZ,06 FEB 1981,GER,1,"Wattenscheid, Bochum (GER)",02 JUL 2005
20:12.41,Elisabetta PERRONE,09 JUL 1968,ITA,1,Rieti (ITA),02 AUG 2003
20:13.26,Kerry SAXBY-JUNNA,02 JUN 1961,AUS,1,Hobart (AUS),25 FEB 1996
20:15.71,Lyudmila OLYANOVSKA,20 FEB 1993,UKR,1,Kyiv (UKR),04 JUN 2014
20:17.19,Kerry SAXBY,02 JUN 1961,AUS,1,Sydney (AUS),14 JAN 1990
20:17.35,Jemima MONTAG,15 FEB 1998,AUS,1,"Lakeside Stadium, Melbourne (AUS)",26 FEB 2022
20:18.87,Melanie SEEGER,08 JAN 1977,GER,1,Braunschweig (GER),10 JUL 2004
20:21.69,Annarita SIDOTI,25 JUL 1969,ITA,1,Cesenatico (ITA),01 JUL 1995
20:25.2h,Ileana SALVADOR,16 JAN 1962,ITA,1,Barcelona (ESP),05 APR 1992
20:27.47,Sabine ZIMMER-KRANTZ,06 FEB 1981,GER,2,Braunschweig (GER),10 JUL 2004
20:27.59,Ileana SALVADOR,16 JAN 1962,ITA,1,Trento (ITA),03 JUN 1989
20:28.05,Tatyana KALMYKOVA,10 JAN 1990,RUS,1,Ostrava (CZE),12 JUL 2007
20:28.17,María PÉREZ,29 APR 1996,ESP,1,Andújar (ESP),30 APR 2022
20:28.62,Sari ESSAYAH,21 FEB 1967,FIN,1,Tuusula (FIN),09 JUL 1994
20:30.0h,Kerry SAXBY-JUNNA,02 JUN 1961,AUS,1,Brisbane (AUS),06 MAR 1993
20:30.04,Júlia TAKÁCS,29 JUN 1989,ESP,1,Cáceres (ESP),02 JUL 2014
20:31.4h,Irina STANKINA,25 MAR 1977,RUS,1,"Adler, Sochi (RUS)",10 FEB 1996
20:31.46,Eleonora Anna GIORGI,14 SEP 1989,ITA,1,"Campo XXV Aprile, Milano (ITA)",22 APR 2016
20:32.75,Kerry SAXBY,02 JUN 1961,AUS,1,Brisbane (AUS),19 MAR 1989
20:33.21,Kerry SAXBY-JUNNA,02 JUN 1961,AUS,1,Sydney (AUS),10 FEB 1995
20:33.42,Elisabetta PERRONE,09 JUL 1968,ITA,2,Cesenatico (ITA),01 JUL 1995
20:34.76,Sari ESSAYAH,21 FEB 1967,FIN,1,Kokemäki (FIN),03 JUL 1994
20:34.76,Hong LIU,12 MAY 1987,CHN,1,Tianjin (CHN),16 SEP 2012
20:36.2h,Irina PETROVA,25 MAY 1985,RUS,1,Saransk (RUS),19 JUN 2005
