Mark,Competitor,DOB,Nat,Pos,Venue,Date
2:37:11,Klavdiya AFANASYEVA,15 JAN 1996,RUS,1.0,Saransk (RUS),20 MAY 2023
2:37:15,María PÉREZ,29 APR 1996,ESP,1.0,Poděbrady (CZE),21 MAY 2023
2:37:44,Kimberly GARCÍA LEÓN,19 OCT 1993,PER,1.0,Dudince (SVK),25 MAR 2023
2:37:46,Margarita NIKIFOROVA,19 AUG 1998,RUS,1.0,"Yelena Yelesina Stadium, Chelyabinsk (RUS)",27 AUG 2022
2:38:24,Klavdiya AFANASYEVA,15 JAN 1996,RUS,1.0,Sochi (RUS),18 FEB 2019
2:38:42,Hong LIU,12 MAY 1987,CHN,,"Wajima Race Walk Course, Wajima (JPN)",16 APR 2023
2:38:49,Margarita NIKIFOROVA,19 AUG 1998,RUS,1.0,Cheboksary (RUS),21 MAY 2022
2:39:16,María PÉREZ,29 APR 1996,ESP,1.0,Lepe (ESP),30 JAN 2022
2:39:16,Kimberly GARCÍA LEÓN,19 OCT 1993,PER,1.0,"Autzen Complex, Eugene, OR (USA)",22 JUL 2022
2:39:51,Darya GOLUBECHKOVA,10 SEP 2000,ANA,1.0,Voronovo (RUS),05 SEP 2021
2:40:03,Katarzyna ZDZIEBŁO,28 NOV 1996,POL,2.0,"Autzen Complex, Eugene, OR (USA)",22 JUL 2022
2:40:06,Hong LIU,12 MAY 1987,CHN,2.0,Dudince (SVK),25 MAR 2023
2:40:27,Klavdiya AFANASYEVA,15 JAN 1996,RUS,1.0,"Avtodrom, Sochi (RUS)",13 FEB 2023
2:40:37,Shijie QIEYANG,11 NOV 1990,CHN,3.0,"Autzen Complex, Eugene, OR (USA)",22 JUL 2022
2:40:59,Xueying BAI,26 APR 2000,CHN,1.0,Huangshan (CHN),04 MAR 2023
2:41:00,Li MA,15 JAN 2000,CHN,1.0,Xi'an (CHN),24 SEP 2022
2:41:28,Margarita NIKIFOROVA,19 AUG 1998,RUS,1.0,Sochi (RUS),31 JAN 2022
2:41:38,María PÉREZ,29 APR 1996,ESP,1.0,Cieza (ESP),26 FEB 2023
2:41:58,Antigoni NTRISMPIOTI,21 MAR 1984,GRE,4.0,"Autzen Complex, Eugene, OR (USA)",22 JUL 2022
2:41:59,Shijie QIEYANG,11 NOV 1990,CHN,2.0,Huangshan (CHN),04 MAR 2023
2:42:27,Raquel GONZÁLEZ,16 NOV 1989,ESP,5.0,"Autzen Complex, Eugene, OR (USA)",22 JUL 2022
2:42:39,Maocuo LI,20 OCT 1992,CHN,3.0,Huangshan (CHN),04 MAR 2023
2:42:45,Laura GARCÍA-CARO,16 APR 1995,ESP,6.0,"Autzen Complex, Eugene, OR (USA)",22 JUL 2022
2:42:52,Lamei YIN,21 DEC 2002,CHN,4.0,Huangshan (CHN),04 MAR 2023
2:43:06,Shijie QIEYANG,11 NOV 1990,CHN,1.0,Dudince (SVK),23 APR 2022
2:43:14,Margarita NIKIFOROVA,19 AUG 1998,RUS,1.0,Sochi (RUS),19 FEB 2021
2:43:19,Kimberly GARCÍA LEÓN,19 OCT 1993,PER,2.0,Dudince (SVK),23 APR 2022
2:43:25,Quanming WU,16 NOV 2001,CHN,1.0,Nanjing (CHN),22 JAN 2022
2:43:43,Eleonora Anna GIORGI,14 SEP 1989,ITA,1.0,Grosseto (ITA),26 JAN 2020
2:43:59,Yelena LASHMANOVA,09 APR 1992,RUS,2.0,Sochi (RUS),31 JAN 2022
2:44:00,Margarita NIKIFOROVA,19 AUG 1998,RUS,2.0,Sochi (RUS),18 FEB 2019
2:44:11,Kumiko OKADA,17 OCT 1991,JPN,1.0,"Wajima Race Walk Course, Wajima (JPN)",16 APR 2023
2:44:17,María PÉREZ,29 APR 1996,ESP,1.0,Sevilla (ESP),14 FEB 2021
2:44:25,Serena SONODA,10 SEP 1996,JPN,2.0,"Wajima Race Walk Course, Wajima (JPN)",16 APR 2023
2:44:28,Maocuo LI,20 OCT 1992,CHN,7.0,"Autzen Complex, Eugene, OR (USA)",22 JUL 2022
2:44:29,Darya GOLUBECHKOVA,10 SEP 2000,RUS,3.0,Sochi (RUS),31 JAN 2022
2:45:00,Elmira ALEMBEKOVA,30 JUN 1990,RUS,2.0,Sochi (RUS),19 FEB 2021
2:45:02,Viviane LYRA,29 JUL 1993,BRA,8.0,"Autzen Complex, Eugene, OR (USA)",22 JUL 2022
2:45:09,Serena SONODA,10 SEP 1996,JPN,9.0,"Autzen Complex, Eugene, OR (USA)",22 JUL 2022
2:45:21,Eleonora Anna GIORGI,14 SEP 1989,ITA,1.0,Gioiosa Marea (ITA),27 JAN 2019
2:45:42,Raquel GONZÁLEZ,16 NOV 1989,ESP,2.0,Poděbrady (CZE),21 MAY 2023
2:45:46,Maocuo LI,20 OCT 1992,CHN,3.0,Dudince (SVK),23 APR 2022
2:45:48,Serena SONODA,10 SEP 1996,JPN,1.0,Wajima (JPN),17 APR 2022
2:45:51,Inês HENRIQUES,01 MAY 1980,POR,1.0,"Circuito Urbano, Porto de Mos (POR)",07 JAN 2018
2:45:58,Cristina MONTESINOS,12 JUL 1994,ESP,3.0,Poděbrady (CZE),21 MAY 2023
2:46:02,Lamei YIN,21 DEC 2002,CHN,10.0,"Autzen Complex, Eugene, OR (USA)",22 JUL 2022
2:46:12,Maocuo LI,20 OCT 1992,CHN,2.0,Nanjing (CHN),22 JAN 2022
2:46:28,Kristina LYUBUSHKINA,19 SEP 1995,RUS,2.0,"Yelena Yelesina Stadium, Chelyabinsk (RUS)",27 AUG 2022
2:46:29,Anastasiya KALASHNIKOVA,29 JUN 1997,RUS,3.0,Sochi (RUS),19 FEB 2021
2:46:32,Magaly BONILLA,08 FEB 1992,ECU,3.0,Dudince (SVK),25 MAR 2023
2:46:38,Maocuo LI,20 OCT 1992,CHN,,Milazzo (ITA),29 JAN 2023
2:47:00,Antigoni NTRISMPIOTI,21 MAR 1984,GRE,1.0,"Odeonplatz, München (GER)",16 AUG 2022
2:47:34,Quanming WU,16 NOV 2001,CHN,4.0,Dudince (SVK),25 MAR 2023
2:47:38,Zhenxia MA,01 AUG 1998,CHN,1.0,Huangshan (CHN),23 APR 2022
2:47:42,Lamei YIN,21 DEC 2002,CHN,2.0,Xi'an (CHN),24 SEP 2022
2:47:48,Antigoni NTRISMPIOTI,21 MAR 1984,GRE,1.0,Megara (GRE),23 JAN 2022
2:47:54,Rebecca HENDERSON,04 JUL 2001,AUS,1.0,"Albert Park, Melbourne (AUS)",21 MAY 2023
2:47:57,Margarita NIKIFOROVA,19 AUG 1998,RUS,2.0,"Avtodrom, Sochi (RUS)",13 FEB 2023
2:47:57,Cuihong XIONG,01 MAY 1998,CHN,5.0,Huangshan (CHN),04 MAR 2023
2:47:59,Erica SENA,03 MAY 1985,BRA,5.0,Dudince (SVK),25 MAR 2023
2:48:05,Laura GARCÍA-CARO,16 APR 1995,ESP,2.0,Lepe (ESP),30 JAN 2022
2:48:13,Olga SHARGINA,24 JUL 1996,RUS,1.0,Sochi (RUS),19 FEB 2018
2:48:26,Guo NA,22 JUN 1999,CHN,3.0,Nanjing (CHN),22 JAN 2022
2:48:27,Paola PÉREZ,21 DEC 1989,ECU,1.0,Lima (PER),06 FEB 2022
2:48:33,Glenda MOREJÓN,30 MAY 2000,ECU,1.0,Muscat (OMA),05 MAR 2022
2:48:40,Raquel GONZÁLEZ,16 NOV 1989,ESP,2.0,Sevilla (ESP),14 FEB 2021
2:48:46,Magaly BONILLA,08 FEB 1992,ECU,2.0,Lima (PER),06 FEB 2022
2:48:53,Katarzyna ZDZIEBŁO,28 NOV 1996,POL,6.0,Dudince (SVK),25 MAR 2023
2:48:59,Kristina LYUBUSHKINA,19 SEP 1995,RUS,4.0,Sochi (RUS),31 JAN 2022
2:49:09,Serena SONODA,10 SEP 1996,JPN,1.0,Takahata (JPN),23 OCT 2022
2:49:10,Raquel GONZÁLEZ,16 NOV 1989,ESP,2.0,"Odeonplatz, München (GER)",16 AUG 2022
2:49:12,Viviane LYRA,29 JUL 1993,BRA,4.0,Dudince (SVK),23 APR 2022
2:49:23,Rui LIANG,18 JUN 1994,CHN,1.0,Huangshan (CHN),04 MAR 2018
2:49:27,Johana ORDÓŇEZ,12 DEC 1987,ECU,3.0,Lima (PER),06 FEB 2022
2:49:29,Robyn STEVENS,24 APR 1983,USA,5.0,Dudince (SVK),23 APR 2022
2:49:37,Xueying BAI,26 APR 2000,CHN,4.0,Nanjing (CHN),22 JAN 2022
2:49:37,Katarzyna ZDZIEBŁO,28 NOV 1996,POL,1.0,Opole (POL),14 MAY 2022
2:49:38,Lamei YIN,21 DEC 2002,CHN,2.0,Huangshan (CHN),23 APR 2022
2:49:39,Federica CURIAZZI,14 AUG 1992,ITA,4.0,Poděbrady (CZE),21 MAY 2023
2:49:43,Olga NIEDZIAŁEK,30 JUN 1997,POL,11.0,"Autzen Complex, Eugene, OR (USA)",22 JUL 2022
2:49:45,Li MA,15 JAN 2000,CHN,7.0,Dudince (SVK),25 MAR 2023
2:49:49,Darya GOLUBECHKOVA,10 SEP 2000,ANA,2.0,Cheboksary (RUS),21 MAY 2022
2:49:50,Darya GOLUBECHKOVA,10 SEP 2000,ANA,3.0,"Yelena Yelesina Stadium, Chelyabinsk (RUS)",27 AUG 2022
2:49:55,Antigoni NTRISMPIOTI,21 MAR 1984,GRE,1.0,Poděbrady (CZE),16 MAY 2021
2:49:58,Viktória MADARÁSZ,12 MAY 1985,HUN,3.0,"Odeonplatz, München (GER)",16 AUG 2022
2:50:01,Aleksandra BUSHKOVA,13 JAN 1997,RUS,3.0,Sochi (RUS),18 FEB 2019
2:50:04,Antigoni NTRISMPIOTI,21 MAR 1984,GRE,1.0,Megara (GRE),28 FEB 2021
2:50:05,Nadezhda MOKEYEVA,10 JAN 1996,RUS,4.0,Sochi (RUS),18 FEB 2019
2:50:10,Faying MA,30 AUG 1993,CHN,5.0,Nanjing (CHN),22 JAN 2022
2:50:11,Cristina MONTESINOS,12 JUL 1994,ESP,2.0,Cieza (ESP),26 FEB 2023
2:50:14,Hang YIN,07 FEB 1997,CHN,2.0,Huangshan (CHN),04 MAR 2018
2:50:23,Allanah PITCHER,19 SEP 2003,AUS,,"Wajima Race Walk Course, Wajima (JPN)",16 APR 2023
2:50:26,Maocuo LI,20 OCT 1992,CHN,2.0,Muscat (OMA),05 MAR 2022
2:50:29,Viktória MADARÁSZ,12 MAY 1985,HUN,6.0,Dudince (SVK),23 APR 2022
2:50:31,Kang ZHOU,24 DEC 1989,CHN,3.0,Huangshan (CHN),04 MAR 2018
2:50:39,Magaly BONILLA,08 FEB 1992,ECU,12.0,"Autzen Complex, Eugene, OR (USA)",22 JUL 2022
2:50:54,Katarzyna ZDZIEBŁO,28 NOV 1996,POL,,Ivano-Frankivsk (UKR),24 OCT 2021
2:50:57,Viviane LYRA,29 JUL 1993,BRA,1.0,Asunción (PAR),14 OCT 2022
2:51:01,Laura GARCÍA-CARO,16 APR 1995,ESP,3.0,Sevilla (ESP),14 FEB 2021
2:51:05,Eleonora Anna GIORGI,14 SEP 1989,ITA,2.0,Poděbrady (CZE),16 MAY 2021
2:51:05,Kristina LYUBUSHKINA,19 SEP 1995,RUS,3.0,"Avtodrom, Sochi (RUS)",13 FEB 2023
2:51:11,Erica SENA,03 MAY 1985,BRA,,Macas (ECU),13 MAR 2021
2:51:12,Inês HENRIQUES,01 MAY 1980,POR,13.0,"Autzen Complex, Eugene, OR (USA)",22 JUL 2022
2:51:20,Xiangkun CHANG,06 JUN 1998,CHN,1.0,Taicang (CHN),09 APR 2023
2:51:23,Olga CHOJECKA,30 JUN 1997,POL,8.0,Dudince (SVK),25 MAR 2023
2:51:38,Viviane LYRA,29 JUL 1993,BRA,1.0,"Rua, Brasilia (BRA)",05 MAR 2023
2:51:41,Kristina LYUBUSHKINA,19 SEP 1995,RUS,2.0,Saransk (RUS),20 MAY 2023
2:51:42,Anastasiya KALASHNIKOVA,29 JUN 1997,RUS,4.0,"Yelena Yelesina Stadium, Chelyabinsk (RUS)",27 AUG 2022
2:51:43,Wenjing HU,16 SEP 2002,CHN,6.0,Huangshan (CHN),04 MAR 2023
2:51:48,Katarzyna ZDZIEBŁO,28 NOV 1996,POL,3.0,Muscat (OMA),05 MAR 2022
2:51:50,Lidia BARCELLA,21 APR 1997,ITA,3.0,Poděbrady (CZE),16 MAY 2021
2:51:50,Tereza ĎURDIAKOVÁ,20 FEB 1991,CZE,1.0,Banská Bystrica (SVK),17 OCT 2021
2:51:51,Kyriaki FILTISAKOU,14 AUG 2000,GRE,2.0,Megara (GRE),23 JAN 2022
2:51:53,Evelyn INGA,16 APR 1998,PER,4.0,Lima (PER),06 FEB 2022
2:51:53,Sandra Viviana GALVIS,28 JUN 1986,COL,7.0,Dudince (SVK),23 APR 2022
2:51:58,Nastassia YATSEVICH,18 JAN 1985,BLR,1.0,Gomel (BLR),04 APR 2018
2:51:59,Nadiya BOROVSKA,25 FEB 1981,UKR,1.0,Ivano-Frankivsk (UKR),24 OCT 2021
2:52:05,Faying MA,30 AUG 1993,CHN,4.0,Huangshan (CHN),04 MAR 2018
2:52:06,Nadia Lizeth GONZALEZ MANJARREZ,21 MAR 1997,MEX,14.0,"Autzen Complex, Eugene, OR (USA)",22 JUL 2022
2:52:06,Federica CURIAZZI,14 AUG 1992,ITA,4.0,"Odeonplatz, München (GER)",16 AUG 2022
2:52:07,Mirna ORTÍZ,28 FEB 1987,GUA,1.0,San Jerónimo (GUA),08 MAY 2022
2:52:10,Laura GARCÍA-CARO,16 APR 1995,ESP,4.0,Muscat (OMA),05 MAR 2022
2:52:13,Nicole COLOMBI,29 DEC 1995,ITA,5.0,Poděbrady (CZE),21 MAY 2023
2:52:14,Xiangkun CHANG,06 JUN 1998,CHN,7.0,Huangshan (CHN),04 MAR 2023
2:52:15,Mengyuan CHEN,04 NOV 2003,CHN,8.0,Huangshan (CHN),04 MAR 2023
2:52:17,Maocuo LI,20 OCT 1992,CHN,5.0,Huangshan (CHN),04 MAR 2018
