Mark,Competitor,DOB,Nat,Pos,Venue,Date
2:28.98,Svetlana MASTERKOVA,17 JAN 1968,RUS,1,Bruxelles (BEL),23 AUG 1996
2:29.15,Faith KIPYEGON,10 JAN 1994,KEN,1,"Stade Louis II, Monaco (MON)",14 AUG 2020
2:29.34,Maria de Lurdes MUTOLA,27 OCT 1972,MOZ,1,Bruxelles (BEL),25 AUG 1995
2:29.66,Maria de Lurdes MUTOLA,27 OCT 1972,MOZ,2,Bruxelles (BEL),23 AUG 1996
2:29.92,Faith KIPYEGON,10 JAN 1994,KEN,1,"Boudewijnstadion, Bruxelles (BEL)",04 SEP 2020
2:30.12,Maria de Lurdes MUTOLA,27 OCT 1972,MOZ,1,Bruxelles (BEL),30 AUG 2002
2:30.6h,Tatyana PROVIDOKHINA,26 MAR 1953,URS,1,Podolsk (URS),20 AUG 1978
2:30.67,Christine WACHTEL,06 JAN 1965,GDR,1,"Olympiastadion, Berlin (GER)",17 AUG 1990
2:30.70,Caster SEMENYA,07 JAN 1991,RSA,1,"Olympiastadion, Berlin (GER)",02 SEP 2018
2:30.72,Maria de Lurdes MUTOLA,27 OCT 1972,MOZ,1,Stockholm (SWE),10 JUL 1995
2:30.82,Laura MUIR,09 MAY 1993,GBR,2,"Stade Louis II, Monaco (MON)",14 AUG 2020
2:30.85,Martina KÄMPFERT-STEUK,11 NOV 1959,GDR,1,Berlin (GER),09 JUL 1980
2:31.01,Caster SEMENYA,07 JAN 1991,RSA,1,"Complexe Sportif Prince Moulay Abdellah, Rabat (MAR)",13 JUL 2018
2:31.06,Ciara MAGEEAN,12 MAR 1992,IRL,3,"Stade Louis II, Monaco (MON)",14 AUG 2020
2:31.11,Jemma REEKIE,06 MAR 1998,GBR,4,"Stade Louis II, Monaco (MON)",14 AUG 2020
2:31.18,Svetlana MASTERKOVA,17 JAN 1968,RUS,1,Nice (FRA),17 JUL 1999
2:31.5h,Maricica PUICĂ,29 JUL 1950,ROU,1,Poiana Brasov (ROU),01 JUN 1986
2:31.50,Natalya ARTYOMOVA,05 JAN 1963,URS,1,Berlin (GER),10 SEP 1991
2:31.51,Sandra GASSER,27 JUL 1962,SUI,1,Jerez de la Frontera (ESP),13 SEP 1989
2:31.55,Maria de Lurdes MUTOLA,27 OCT 1972,MOZ,1,Bruxelles (BEL),28 AUG 1998
2:31.65,Olga DVIRNA,11 FEB 1953,URS,1,Athina (GRE),01 SEP 1982
2:31.66,Jolanda ČEPLAK,12 SEP 1976,SLO,1,Rovereto (ITA),28 AUG 2002
2:31.74,Anita WEIß,16 JUL 1955,GDR,1,Potsdam (GDR),13 JUL 1980
2:31.77,Sigrun WODARS,07 NOV 1965,GDR,2,"Olympiastadion, Berlin (GER)",17 AUG 1990
2:31.8h,Olga DVIRNA,11 FEB 1953,URS,1,Podolsk (URS),05 AUG 1979
2:31.80,Regina JACOBS,28 AUG 1963,USA,1,"Brunswick, ME (USA)",03 JUL 1999
2:31.85,Doina MELINTE,27 DEC 1956,ROU,3,"Olympiastadion, Berlin (GER)",17 AUG 1990
2:31.93,Patricia DJATÉ-TAILLARD,03 JAN 1971,FRA,2,Bruxelles (BEL),25 AUG 1995
2:31.95,Ulrike BRUNS,17 NOV 1953,GDR,1,Berlin (GER),18 AUG 1978
2:32.12,Halimah NAKAAYI,16 OCT 1994,UGA,5,"Stade Louis II, Monaco (MON)",14 AUG 2020
2:32.22,Maria de Lurdes MUTOLA,27 OCT 1972,MOZ,2,Nice (FRA),17 JUL 1999
2:32.25,Letitia VRIESDE,05 OCT 1964,SUR,2,Berlin (GER),10 SEP 1991
2:32.29,Christiane WARTENBERG,27 OCT 1956,GDR,2,Potsdam (GDR),13 JUL 1980
2:32.3h,Laimutė BAIKAUSKAITĖ,10 JUN 1956,URS,1,Podolsk (URS),12 SEP 1985
2:32.30,Sofia ENNAOUI,30 AUG 1995,POL,6,"Stade Louis II, Monaco (MON)",14 AUG 2020
2:32.33,Maria de Lurdes MUTOLA,27 OCT 1972,MOZ,1,"Eugene, OR (USA)",04 JUN 1995
2:32.36,Sandra GASSER,27 JUL 1962,SUI,4,"Olympiastadion, Berlin (GER)",17 AUG 1990
2:32.38,Doina MELINTE,27 DEC 1956,ROU,3,Berlin (GER),10 SEP 1991
