Mark,Competitor,DOB,Nat,Pos,Venue,Date
2:32.40,Ella KOVÁCS,11 DEC 1964,ROU,1,Villeneuve d'Ascq (FRA),02 JUL 1993
2:32.55,Kelly HOLMES,19 APR 1970,GBR,1,Leeds (GBR),15 JUN 1997
2:32.57,Maria de Lurdes MUTOLA,27 OCT 1972,MOZ,1,"Eugene, OR (USA)",05 JUN 1993
2:32.6h,Raisa BELOUSOVA,29 FEB 1952,URS,2,Podolsk (URS),05 AUG 1979
2:32.70,Jolanta JANUCHTA,16 JAN 1955,POL,1,Zürich (SUI),19 AUG 1981
2:32.77,Yvonne MAI,22 AUG 1965,GDR,5,"Olympiastadion, Berlin (GER)",17 AUG 1990
2:32.77,Natalya TSYGANOVA,07 FEB 1971,RUS,3,Nice (FRA),17 JUL 1999
2:32.8h,Tamara SOROKINA,15 AUG 1950,URS,1,Podolsk (URS),24 JUL 1976
2:32.82,Kelly HOLMES,19 APR 1970,GBR,1,Sheffield (GBR),23 JUL 1995
2:32.82,Faith KIPYEGON,10 JAN 1994,KEN,1,"FBK Stadium, Hengelo (NED)",10 OCT 2020
2:32.87,Ulrike BRUNS,17 NOV 1953,GDR,3,Potsdam (GDR),13 JUL 1980
2:32.9h,Lyudmila KALNITSKAYA,03 JAN 1953,URS,2,Podolsk (URS),20 AUG 1978
2:32.97,Lyubov GURINA,06 AUG 1957,RUS,2,Villeneuve d'Ascq (FRA),02 JUL 1993
2:33.0h,Totka PETROVA,17 DEC 1956,BUL,1,Sofia (BUL),13 AUG 1978
2:33.02,Maria de Lurdes MUTOLA,27 OCT 1972,MOZ,1,Göteborg (SWE),24 AUG 1994
2:33.04,Olga DVIRNA,11 FEB 1953,URS,2,Zürich (SUI),19 AUG 1981
2:33.06,Mayte MARTÍNEZ,17 MAY 1976,ESP,1,Huelva (ESP),13 SEP 2007
2:33.08,Lyubov GURINA,06 AUG 1957,URS,4,Berlin (GER),10 SEP 1991
2:33.12,Ana Fidelia QUIROT,23 MAR 1963,CUB,2,Jerez de la Frontera (ESP),13 SEP 1989
2:33.15,Hasna BENHASSI,01 JUN 1978,MAR,4,Nice (FRA),17 JUL 1999
2:33.15,Maria de Lurdes MUTOLA,27 OCT 1972,MOZ,1,Stockholm (SWE),05 AUG 2003
2:33.18,Gabriella DORIO,26 JUN 1957,ITA,1,Formia (ITA),28 AUG 1982
2:33.18,Kelly HOLMES,19 APR 1970,GBR,3,Bruxelles (BEL),25 AUG 1995
2:33.33,Maria de Lurdes MUTOLA,27 OCT 1972,MOZ,1,"Eugene, OR (USA)",04 JUN 1994
2:33.4h,Andrea LANGE-HAHMANN,03 JUN 1966,GDR,1,Potsdam (GDR),28 MAY 1987
2:33.44,Brigitte KRAUS,12 AUG 1956,FRG,1,Berlin (GER),17 AUG 1979
2:33.49,Yuliya CHIZHENKO,30 AUG 1979,RUS,1,Linz (AUT),22 AUG 2006
2:33.5h,Brigitte KRAUS,12 AUG 1956,FRG,1,Troisdorf (GER),04 AUG 1978
2:33.5h,Ulrike BRUNS,17 NOV 1953,GDR,1,Potsdam (GDR),30 MAY 1985
2:33.53,Maria de Lurdes MUTOLA,27 OCT 1972,MOZ,1,Stockholm (SWE),17 JUL 2001
2:33.55,Lyubov KREMLYOVA,21 DEC 1961,RUS,3,Villeneuve d'Ascq (FRA),02 JUL 1993
2:33.59,Christiane WARTENBERG,27 OCT 1956,GDR,1,Dresden (GER),05 JUL 1980
2:33.6h,Svetlana ULMASOVA,04 FEB 1953,URS,3,Podolsk (URS),05 AUG 1979
2:33.70,Kirsty WADE,06 AUG 1962,GBR,1,Gateshead (GBR),09 AUG 1985
2:33.8h,Nikolina SHTEREVA,21 JAN 1955,BUL,1,Sofia (BUL),04 JUL 1976
2:33.84,Liliya NURUTDINOVA,15 DEC 1963,URS,5,Berlin (GER),10 SEP 1991
2:33.92,Laura MUIR,09 MAY 1993,GBR,1,"Alexander Stadium, Birmingham (GBR)",18 AUG 2018
2:33.93,Suzy FAVOR HAMILTON,08 AUG 1968,USA,2,"Eugene, OR (USA)",04 JUN 1995
2:33.96,Lyudmila ROGACHOVA,30 OCT 1966,RUS,4,Villeneuve d'Ascq (FRA),02 JUL 1993
2:34.04,Julie JENKINS,12 AUG 1964,USA,6,"Olympiastadion, Berlin (GER)",17 AUG 1990
2:34.08,Svetlana CHERKASOVA,20 MAY 1978,RUS,2,Stockholm (SWE),17 JUL 2001
2:34.1h,Valentina ILYINYKH,12 DEC 1956,URS,4,Podolsk (URS),05 AUG 1979
2:34.11,Ulrike BRUNS,17 NOV 1953,GDR,1,Potsdam (GDR),28 AUG 1982
2:34.11,Christiane WARTENBERG,27 OCT 1956,GDR,1,Berlin (GER),31 JUL 1983
2:34.11,Habitam ALEMU,09 JUL 1997,ETH,1f1,"Schönbuchstadion, Pliezhausen (GER)",08 MAY 2022
2:34.13,Tetyana POZDNYAKOVA,04 MAR 1956,URS,2,Athina (GRE),01 SEP 1982
2:34.14,Diane CUMMINS,19 JAN 1974,CAN,2,Bruxelles (BEL),30 AUG 2002
2:34.19,Agnes SAMARIA,11 AUG 1972,NAM,3,Bruxelles (BEL),30 AUG 2002
2:34.2h,Brigitte KRAUS,12 AUG 1956,FRG,2,Berlin (GER),18 AUG 1978
2:34.20,Brigitte KRAUS,12 AUG 1956,FRG,1,Ulm (GER),27 JUL 1979
2:34.2h,Ulrike BRUNS,17 NOV 1953,GDR,1,Potsdam (GDR),12 JUL 1984
2:34.23,Christin WURTH-THOMAS,11 JUL 1980,USA,1,Dubnica nad Váhom (SVK),06 SEP 2009
2:34.25,Natalya GORELOVA,18 APR 1973,RUS,3,Stockholm (SWE),17 JUL 2001
2:34.29,Lyudmila BORISOVA,03 AUG 1966,RUS,1,St. Petersburg (RUS),25 JUN 1996
2:34.31,Zulia CALATAYUD,09 NOV 1979,CUB,4,Bruxelles (BEL),30 AUG 2002
2:34.35,Hasna BENHASSI,01 JUN 1978,MAR,2,Huelva (ESP),13 SEP 2007
2:34.35,Janat CHEMUSTO,05 JUL 1998,UGA,1,"Parc des Sports C. Ehrmann, Nice (FRA)",17 JUN 2023
2:34.47,Stephanie GRAF,26 APR 1973,AUT,2,Bruxelles (BEL),28 AUG 1998
2:34.48,Rénelle LAMOTE,26 DEC 1993,FRA,2,"Alexander Stadium, Birmingham (GBR)",18 AUG 2018
2:34.59,Adelle TRACEY,27 MAY 1993,GBR,3,"Alexander Stadium, Birmingham (GBR)",18 AUG 2018
2:34.6h,Heike OEHME,11 NOV 1963,GDR,1,Cottbus (GER),14 MAY 1986
2:34.60,Yelena AFANASYEVA,01 MAR 1967,RUS,3,Bruxelles (BEL),28 AUG 1998
2:34.60,Nouria MÉRAH-BENIDA,19 OCT 1970,ALG,5,Nice (FRA),17 JUL 1999
2:34.65,Mary SLANEY,04 AUG 1958,USA,1,Hengelo (NED),14 AUG 1988
2:34.66,Maite ZÚÑIGA,28 DEC 1964,ESP,3,Jerez de la Frontera (ESP),13 SEP 1989
2:34.66,Sonia O'SULLIVAN,28 NOV 1969,IRL,5,Villeneuve d'Ascq (FRA),02 JUL 1993
2:34.68,Sifan HASSAN,01 JAN 1993,NED,1,"FBK Stadium, Hengelo (NED)",24 MAY 2015
2:34.71,Mary MORAA,15 JUN 2000,KEN,1,"Stadion De Veen, Heusden-Zolder (BEL)",03 JUL 2021
2:34.73,Paula IVAN,20 JUL 1963,ROU,1,"Crystal Palace, London (GBR)",14 JUL 1989
2:34.77,Olga RASPOPOVA,27 DEC 1978,RUS,1,Nice (FRA),09 JUL 2001
2:34.8h,Christina NEUMANN-LIEBETRAU,30 DEC 1953,GDR,1,Dresden (GER),07 AUG 1977
2:34.8h,Hildegard ULLRICH-KÖRNER,20 DEC 1959,GDR,2,Potsdam (GDR),12 JUL 1984
2:34.8h,Mary SLANEY,04 AUG 1958,USA,1,"Eugene, OR (USA)",04 JUL 1985
2:34.8h,Petya STRASHILOVA,18 MAR 1965,BUL,1,Sofia (BUL),14 JUL 1995
2:34.81,Olena BUZHENKO-SERGEYEVA,16 NOV 1972,UKR,6,Nice (FRA),17 JUL 1999
2:34.82,Irina MISTYUKEVICH,17 JUN 1977,RUS,2,Nice (FRA),09 JUL 2001
2:34.84,Angelika CICHOCKA,15 MAR 1988,POL,1,Sopot (POL),28 JUL 2016
2:34.85,Carla SACRAMENTO,10 DEC 1971,POR,4,Bruxelles (BEL),25 AUG 1995
2:34.86,Gabriella DORIO,26 JUN 1957,ITA,1,Riccione (ITA),26 AUG 1984
2:34.88,Halimah NAKAAYI,16 OCT 1994,UGA,2,"Olympiastadion, Berlin (GER)",02 SEP 2018
2:34.89,Audrey WERRO,27 MAR 2004,SUI,2,"Parc des Sports C. Ehrmann, Nice (FRA)",17 JUN 2023
2:34.90,Natalya TSYGANOVA,07 FEB 1971,RUS,3,Nice (FRA),09 JUL 2001
2:34.90,Anna SHCHAGINA,07 DEC 1991,RUS,1,Moskva (RUS),18 JUL 2016
2:34.91,Tatyana TOMASHOVA,01 JUL 1975,RUS,1,Linz (AUT),23 AUG 2005
2:34.92,Christina CAHILL,25 MAR 1957,GBR,2,Gateshead (GBR),09 AUG 1985
2:34.93,Joanna JÓŹWIK,30 JAN 1991,POL,2,Sopot (POL),28 JUL 2016
2:34.94,Margrit KLINGER,22 JUN 1960,FRG,1,Letter (FRG),08 SEP 1983
2:34.96,Montserrat PUJOL,27 APR 1961,ESP,4,Jerez de la Frontera (ESP),13 SEP 1989
2:34.99,Angela CHALMERS,06 SEP 1963,CAN,1,Victoria (CAN),19 AUG 1994
2:35.0h,Karin KREBS,18 AUG 1943,GDR,1,Potsdam (GDR),28 AUG 1974
2:35.03,Liliya NURUTDINOVA,15 DEC 1963,RUS,6,Villeneuve d'Ascq (FRA),02 JUL 1993
2:35.03,Regina JACOBS,28 AUG 1963,USA,2,Göteborg (SWE),24 AUG 1994
2:35.06,Fabia TRABALDO,05 MAR 1972,ITA,1,Parma (ITA),23 JUL 1992
2:35.06,Ludmila FORMANOVÁ,02 JAN 1974,CZE,7,Nice (FRA),17 JUL 1999
2:35.1h,Brigitte KRAUS,12 AUG 1956,FRG,1,Lüdenscheid (GER),07 JUL 1976
2:35.15,Sofia ENNAOUI,30 AUG 1995,POL,3,Sopot (POL),28 JUL 2016
2:35.15,Lovisa LINDH,09 JUL 1991,SWE,1,Göteborg (SWE),11 JUL 2017
2:35.19,Tina PAULINO,07 JUL 1973,MOZ,5,Bruxelles (BEL),25 AUG 1995
2:35.2h,Rositsa PEKHLIVANOVA,31 JAN 1955,BUL,2,Sofia (BUL),04 JUL 1976
2:35.2h,Ulrike BRUNS,17 NOV 1953,GDR,2,Dresden (GER),07 AUG 1977
2:35.20,Patricia DJATÉ-TAILLARD,03 JAN 1971,FRA,1,Nancy (FRA),12 SEP 1995
2:35.20,Yuliya CHIZHENKO,30 AUG 1979,RUS,2,Linz (AUT),23 AUG 2005
2:35.21,Ellen VAN LANGEN,09 FEB 1966,NED,1,Sheffield (GBR),29 AUG 1993
2:35.21,Irina MISTYUKEVICH,17 JUN 1977,RUS,4,Stockholm (SWE),17 JUL 2001
2:35.3h,Irina MARACHEVA,24 SEP 1984,RUS,1,Florø (NOR),04 JUN 2011
2:35.30,Nelly JEPKOSGEI,14 JUL 1991,BRN,3,"Olympiastadion, Berlin (GER)",02 SEP 2018
2:35.32,Shireen BAILEY,27 SEP 1959,GBR,1,Birmingham (GBR),19 JUL 1986
2:35.39,Faith MACHARIA,09 FEB 1976,KEN,4,Nice (FRA),09 JUL 2001
2:35.4h,Irina NIKITINA,16 JUN 1961,URS,5,Podolsk (URS),05 AUG 1979
2:35.4h,Katrin WÜHN,19 NOV 1965,GDR,3,Potsdam (GDR),12 JUL 1984
2:35.43,Lyubov GURINA,06 AUG 1957,RUS,1,Noisy-le-Grand (FRA),02 JUL 1994
2:35.43,Nelly JEPKOSGEI,14 JUL 1991,KEN,1,"Boudewijnstadion, Bruxelles (BEL)",06 SEP 2013
2:35.43,Caster SEMENYA,07 JAN 1991,RSA,1,Pretoria (RSA),08 MAR 2018
2:35.46,Regina JACOBS,28 AUG 1963,USA,2,Stockholm (SWE),10 JUL 1995
2:35.47,Jemma REEKIE,06 MAR 1998,GBR,1,"Stadion Śląski, Chorzów (POL)",05 SEP 2021
2:35.48,Kirsty WADE,06 AUG 1962,GBR,2,Birmingham (GBR),19 JUL 1986
2:35.49,Lyubov TSYOMA,19 MAY 1963,RUS,2,"Eugene, OR (USA)",05 JUN 1993
2:35.5h,Ulrike BRUNS,17 NOV 1953,GDR,1,Potsdam (GDR),17 MAY 1981
2:35.5h,Christiane WARTENBERG,27 OCT 1956,GDR,4,Potsdam (GDR),12 JUL 1984
2:35.51,Lorraine BAKER,09 APR 1964,GBR,3,Birmingham (GBR),19 JUL 1986
2:35.52,Sandra GASSER,27 JUL 1962,SUI,1,Nottwil (SUI),09 SEP 1990
2:35.52,Diana MEZULIÁNÍKOVÁ,10 APR 1992,CZE,1,"Atletické středisko Emila Zátopka, Stará Boleslav (CZE)",24 AUG 2022
2:35.54,Gabriela Katharina LESCH,17 AUG 1964,GER,6,Berlin (GER),10 SEP 1991
2:35.54,Katie SNOWDEN,09 MAR 1994,GBR,4,"Alexander Stadium, Birmingham (GBR)",18 AUG 2018
2:35.56,Jolanta JANUCHTA,16 JAN 1955,POL,1,London (GBR),11 SEP 1981
2:35.56,Nelya NEPORADNA,29 JUL 1985,UKR,2,Stockholm (SWE),05 AUG 2003
2:35.57,Joanna JÓŹWIK,30 JAN 1991,POL,2,"FBK Stadium, Hengelo (NED)",24 MAY 2015
2:35.58,Selina BÜCHEL,26 JUL 1991,SUI,7,"Stade Louis II, Monaco (MON)",14 AUG 2020
2:35.62,Christina CAHILL,25 MAR 1957,GBR,1,London (GBR),30 AUG 1982
2:35.64,Nikolina SHTEREVA,21 JAN 1955,BUL,1,Sofia (BUL),14 AUG 1982
2:35.64,Esther GUERRERO,07 FEB 1990,ESP,2,"Boudewijnstadion, Bruxelles (BEL)",04 SEP 2020
2:35.65,Vesela YATSINSKA,16 JAN 1951,BUL,2,Sofia (BUL),17 AUG 1982
2:35.7h,Maricica PUICĂ,29 JUL 1950,ROU,1,Poiana Brasov (ROU),01 JUN 1984
2:35.7h,Heike OEHME,11 NOV 1963,GDR,1,Cottbus (GER),25 MAY 1988
2:35.73,Winny CHEBET,20 DEC 1990,KEN,2,"Boudewijnstadion, Bruxelles (BEL)",06 SEP 2013
2:35.74,Tina PAULINO,07 JUL 1973,MOZ,5,Nice (FRA),09 JUL 2001
2:35.74,Hirut MESHESHA,20 JAN 2001,ETH,2,"Stadion Śląski, Chorzów (POL)",05 SEP 2021
2:35.77,Kirsty WADE,06 AUG 1962,GBR,1,Gateshead (GBR),27 JUN 1986
2:35.79,Yvonne GRAHAM,22 AUG 1965,JAM,3,Göteborg (SWE),24 AUG 1994
2:35.8h,Ulrike BRUNS,17 NOV 1953,GDR,3,Berlin (GER),09 JUL 1980
2:35.80,Aleksandra GULYAYEVA,30 APR 1994,ANA,2,"Stadion De Veen, Heusden-Zolder (BEL)",03 JUL 2021
2:35.84,Christina CAHILL,25 MAR 1957,GBR,4,Birmingham (GBR),19 JUL 1986
2:35.85,Kirsty WADE,06 AUG 1962,GBR,1,Gateshead (GBR),05 AUG 1986
2:35.85,Ce'Aira BROWN,04 NOV 1993,USA,2,"Complexe Sportif Prince Moulay Abdellah, Rabat (MAR)",13 JUL 2018
2:35.86,Ella KOVÁCS,11 DEC 1964,ROU,7,Berlin (GER),10 SEP 1991
2:35.86,Diane MODAHL-EDWARDS,17 JUN 1966,GBR,2,Sheffield (GBR),29 AUG 1993
2:35.89,Letitia VRIESDE,05 OCT 1964,SUR,6,Nice (FRA),09 JUL 2001
2:35.9h,Gunhild HOFFMEISTER,06 JUL 1944,GDR,1,Potsdam (GDR),20 AUG 1972
2:35.90,Linden HALL,20 JUN 1991,AUS,1f1,"Hagenauer Reserve, Box Hill, Melbourne (AUS)",02 MAR 2021
2:35.92,Hassiba BOULMERKA,10 JUL 1968,ALG,7,Villeneuve d'Ascq (FRA),02 JUL 1993
2:35.93,Christine WACHTEL,06 JAN 1965,GER,8,Berlin (GER),10 SEP 1991
2:35.93,Carla SACRAMENTO,10 DEC 1971,POR,3,Stockholm (SWE),10 JUL 1995
2:35.94,Patricia DJATÉ-TAILLARD,03 JAN 1971,FRA,4,Bruxelles (BEL),28 AUG 1998
2:35.96,Anna BUKIS,08 SEP 1953,POL,2,London (GBR),11 SEP 1981
2:35.96,Yelena AFANASYEVA,01 MAR 1967,RUS,1,Villeneuve d'Ascq (FRA),29 JUN 1997
2:35.96,Anna JAKUBCZAK,02 FEB 1973,POL,1,Brisbane (AUS),17 SEP 2000
2:35.98,Elise VANDERELST,27 JAN 1998,BEL,3,"Stadion De Veen, Heusden-Zolder (BEL)",03 JUL 2021
2:36.00,Olena BUZHENKO-SERGEYEVA,16 NOV 1972,UKR,5,Bruxelles (BEL),28 AUG 1998
2:36.0h,Marina ARZAMASOVA,17 DEC 1987,BLR,2,Florø (NOR),04 JUN 2011
2:36.04,Faith MACHARIA,09 FEB 1976,KEN,5,Stockholm (SWE),17 JUL 2001
2:36.04,Lovisa LINDH,09 JUL 1991,SWE,1,Göteborg (SWE),15 JUL 2016
2:36.07,Dina ALEKSANDROVA,09 AUG 1992,RUS,2,Moskva (RUS),18 JUL 2016
2:36.09,Yelena AFANASYEVA,01 MAR 1967,RUS,4,Stockholm (SWE),10 JUL 1995
2:36.10,Ludmila FORMANOVÁ,02 JAN 1974,CZE,5,Bruxelles (BEL),30 AUG 2002
2:36.11,Kirsty WADE,06 AUG 1962,GBR,1,London (GBR),22 AUG 1987
2:36.13,Jennifer MEADOWS,17 APR 1981,GBR,3,"FBK Stadium, Hengelo (NED)",24 MAY 2015
2:36.13,Kaela EDWARDS,08 DEC 1993,USA,3,"Complexe Sportif Prince Moulay Abdellah, Rabat (MAR)",13 JUL 2018
2:36.13,Winnie NANYONDO,23 AUG 1993,UGA,4,"Complexe Sportif Prince Moulay Abdellah, Rabat (MAR)",13 JUL 2018
2:36.16,Yekaterina PODKOPAYEVA,11 JUN 1952,RUS,1,Nancy (FRA),14 SEP 1994
2:36.2h,Waltraud STROTZER,16 SEP 1952,GDR,3,Dresden (GER),07 AUG 1977
2:36.21,Ellen KIEßLING,17 FEB 1968,GDR,7,"Olympiastadion, Berlin (GER)",17 AUG 1990
2:36.26,Carmen DOUMA-HUSSAR,12 MAR 1977,CAN,3,Linz (AUT),23 AUG 2005
2:36.29,Diane MODAHL-EDWARDS,17 JUN 1966,GBR,8,Nice (FRA),17 JUL 1999
2:36.3h,Ileana SILAI,14 OCT 1941,ROU,1,Poiana Brasov (ROU),06 JUL 1977
2:36.30,Luciana de Paula MENDES,26 JUL 1971,BRA,6,Bruxelles (BEL),25 AUG 1995
2:36.30,Noélie YARIGO,26 DEC 1985,BEN,4,"Stadion De Veen, Heusden-Zolder (BEL)",03 JUL 2021
2:36.33,Jolanda ČEPLAK,12 SEP 1976,SLO,1,Zagreb (CRO),11 JUL 2005
2:36.34,Julie JENKINS,12 AUG 1964,USA,2,Hengelo (NED),14 AUG 1988
2:36.34,Nelya NEPORADNA,29 JUL 1985,UKR,2,Zagreb (CRO),11 JUL 2005
2:36.35,Elena BELLÒ,18 JAN 1997,ITA,3,"Parc des Sports C. Ehrmann, Nice (FRA)",17 JUN 2023
2:36.36,Margrit KLINGER,22 JUN 1960,FRG,2,Berlin (GER),17 AUG 1979
2:36.4h,Lilyana TOMOVA,09 AUG 1946,BUL,4,Sofia (BUL),04 JUL 1976
2:36.41,Yekaterina KUPINA,02 FEB 1986,RUS,1,"Stadion Orzeł, Warszawa (POL)",25 AUG 2013
2:36.45,Yekaterina KUPINA,02 FEB 1986,RUS,3,"Boudewijnstadion, Bruxelles (BEL)",06 SEP 2013
2:36.46,Jennifer TOOMEY,19 DEC 1971,USA,3,Zagreb (CRO),11 JUL 2005
2:36.47,Christina CAHILL,25 MAR 1957,GBR,3,London (GBR),11 SEP 1981
2:36.47,Oksana MERNIKOVA,21 NOV 1967,BLR,1,Southampton (GBR),06 JUN 1993
2:36.47,Hazel CLARK,03 OCT 1977,USA,7,Nice (FRA),09 JUL 2001
2:36.5h,Florence GIOLITTI,31 AUG 1966,FRA,1,St-Maur (FRA),08 JUL 1987
2:36.50,Yelena SOBOLEVA,03 OCT 1982,RUS,4,Linz (AUT),23 AUG 2005
2:36.50,Angelika CICHOCKA,15 MAR 1988,POL,4,"FBK Stadium, Hengelo (NED)",24 MAY 2015
2:36.51,Angelika CICHOCKA,15 MAR 1988,POL,1,Gliwice (POL),10 SEP 2017
2:36.53,Colleen QUIGLEY,20 NOV 1992,USA,5,"Alexander Stadium, Birmingham (GBR)",18 AUG 2018
2:36.54,Suzy FAVOR HAMILTON,08 AUG 1968,USA,7,Bruxelles (BEL),25 AUG 1995
2:36.54,Winnie NANYONDO,23 AUG 1993,UGA,8,"Stade Louis II, Monaco (MON)",14 AUG 2020
2:36.58,Yanka DIMOVA,27 JAN 1959,BUL,1,Sofia (BUL),08 AUG 1984
2:36.6h,Katalin SZALAI,04 MAR 1961,HUN,,Budapest (HUN),10 JUL 1984
2:36.61,Florence GIOLITTI,31 AUG 1966,FRA,1,Marseille (FRA),01 JUL 1986
2:36.63,Aníta HINRIKSDÓTTIR,13 JAN 1996,ISL,5,"FBK Stadium, Hengelo (NED)",24 MAY 2015
2:36.63,Danielle JONES,21 AUG 1996,USA,3,"Stadion Śląski, Chorzów (POL)",05 SEP 2021
2:36.67,Inessa GUSAROVA,29 OCT 1995,RUS,3,Moskva (RUS),18 JUL 2016
2:36.68,Diana MEZULIÁNÍKOVÁ,10 APR 1992,CZE,4,"Stadion Śląski, Chorzów (POL)",05 SEP 2021
2:36.7h,Vasilena AMZINA,29 JUN 1942,BUL,3,Potsdam (GDR),20 AUG 1972
2:36.70,Elly VAN HULST,09 JUN 1959,NED,4,London (GBR),11 SEP 1981
2:36.70,Gabriela Katharina LESCH,17 AUG 1964,FRG,8,"Olympiastadion, Berlin (GER)",17 AUG 1990
2:36.7h,Ingvill MÅKESTAD BOVIM,07 AUG 1981,NOR,3,Florø (NOR),04 JUN 2011
2:36.71,Natalya PANTELEYEVA,10 SEP 1983,RUS,2,Linz (AUT),22 AUG 2006
2:36.72,Claudia HOLLINGSWORTH,12 APR 2005,AUS,2f1,"Hagenauer Reserve, Box Hill, Melbourne (AUS)",02 MAR 2021
2:36.74,Violeta BECLEA-SZEKELY,26 MAR 1965,ROU,2,"Crystal Palace, London (GBR)",14 JUL 1989
2:36.75,Seltana AIT HAMMOU,21 MAY 1980,MAR,3,Stockholm (SWE),05 AUG 2003
2:36.76,Anne-Marie VAN NUFFEL,22 MAY 1956,BEL,3,Berlin (GER),17 AUG 1979
2:36.76,Zoya NAUMOV,17 JUL 1995,ESP,4,"Parc des Sports C. Ehrmann, Nice (FRA)",17 JUN 2023
2:36.77,Olga RASPOPOVA,27 DEC 1978,RUS,6,Stockholm (SWE),17 JUL 2001
2:36.79,Jemma REEKIE,06 MAR 1998,GBR,6,"Alexander Stadium, Birmingham (GBR)",18 AUG 2018
2:36.8h,Lore HENNIG,16 JUN 1953,GDR,4,Dresden (GER),07 AUG 1977
2:36.8h,Hildegard ULLRICH-KÖRNER,20 DEC 1959,GDR,5,Dresden (GER),07 AUG 1977
